CO2_Capture_Compression,Zone,etaPCO2_MWh_per_tonne,Inv_Cost_per_tonne_per_hr_yr,Fixed_OM_Cost_per_tonne_per_hr_yr,Min_capacity_tonne_per_hr,Max_capacity_tonne_per_hr,CO2_Capture_Compression_Min_Output,CO2_Capture_Compression_Max_Output,Ref_capacity_tonne_per_hr,Ref_CAPEX_per_yr,Ref_Fixed_OM_per_yr
MIS_INKY_CAPTURE_COMP,1,0,0,0,0,3000000,0,1,300,11278000,3900000
PJM_WMAC_CAPTURE_COMP,2,0,0,0,0,3000000,0,1,300,11278000,3900000
PJM_SMAC_CAPTURE_COMP,3,0,0,0,0,3000000,0,1,300,11278000,3900000
PJM_West_CAPTURE_COMP,4,0,0,0,0,3000000,0,1,300,11278000,3900000
PJM_AP_CAPTURE_COMP,5,0,0,0,0,3000000,0,1,300,11278000,3900000
PJM_COMD_CAPTURE_COMP,6,0,0,0,0,3000000,0,1,300,11278000,3900000
PJM_ATSI_CAPTURE_COMP,7,0,0,0,0,3000000,0,1,300,11278000,3900000
PJM_Dom_CAPTURE_COMP,8,0,0,0,0,3000000,0,1,300,11278000,3900000
PJM_PENE_CAPTURE_COMP,9,0,0,0,0,3000000,0,1,300,11278000,3900000
S_C_KY_CAPTURE_COMP,10,0,0,0,0,3000000,0,1,300,11278000,3900000
PJM_EMAC_CAPTURE_COMP,11,0,0,0,0,3000000,0,1,300,11278000,3900000
MIS_LMI_1_CAPTURE_COMP,12,0,0,0,0,3000000,0,1,300,11278000,3900000
MIS_LMI_2_CAPTURE_COMP,13,0,0,0,0,3000000,0,1,300,11278000,3900000
MIS_LMI_3_CAPTURE_COMP,14,0,0,0,0,3000000,0,1,300,11278000,3900000
MIS_LMI_4_CAPTURE_COMP,15,0,0,0,0,3000000,0,1,300,11278000,3900000
