Resource,Zone,THERM,MUST_RUN,STOR,FLEX,HYDRO,VRE,LDS,Num_VRE_Bins,New_Build,Existing_Cap_MW,Existing_Cap_MWh,Existing_Charge_Cap_MW,Max_Cap_MW,Max_Cap_MWh,Max_Charge_Cap_MW,Min_Cap_MW,Min_Cap_MWh,Inv_Cost_per_MWyr,Min_Charge_Cap_MW,Inv_Cost_per_MWhyr,Fixed_OM_Cost_per_MWyr,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Fixed_OM_Cost_Charge_per_MWyr,VRE_Trans_Cost_per_MWyr,Heat_Rate_MMBTU_per_MWh,Var_OM_Cost_per_MWh_In,Fuel,Cap_Size,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Up_Time,Down_Time,Ramp_Up_Percentage,Ramp_Dn_Percentage,Hydro_Energy_to_Power_Ratio,Min_Power,Self_Disch,Eff_Up,Eff_Down,Min_Duration,Max_Duration,Reg_Max,Rsv_Max,Resource_Type,Reg_Cost,Rsv_Cost,CapRes_1,CapRes_2,CapRes_3,CapRes_4,CapRes_5,CapRes_6,CapRes_7,CapRes_8,CapRes_9,CapRes_10,CapRes_11,CapRes_12,CapRes_13,CapRes_14,CapRes_15,ESR_1,ESR_2,region,cluster,CCS_Rate
MIS_INKY_conventional_hydroelectric_1,1,0,0,0,0,1,0,0,0,-1,397.698,0,0,0,-1,-1,0,0,0,0,0,46475,0,0,0,0,0,8.974,0,None,28.407,0,0,0,0,0.083,0.083,0,0.143,0,1,1,0,0,0,0,Conventional Hydroelectric,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,MIS_INKY,1,0
MIS_INKY_conventional_steam_coal_1,1,1,0,0,0,0,0,0,0,0,4013.898,0,0,0,-1,-1,0,0,0,0,0,64949.04,0,0,1.857,0,0,10.845,0,east_north_central_reference_coal,573.414,122.396,16.5,24,24,0.57,0.57,1,0.385,0,1,1,0,0,0.095,0.19,Conventional Steam Coal,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIS_INKY,1,0
MIS_INKY_natural_gas_fired_combined_cycle_2,1,1,0,0,0,0,0,0,0,0,644,0,0,0,-1,-1,0,0,0,0,0,9668,0,0,3.567,0,0,7.341,0,east_north_central_reference_naturalgas,644,90.959,2,6,6,0.64,0.64,1,0.458,0,1,1,0,0,0.106666667,0.213333333,Natural Gas Fired Combined Cycle,0,0,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIS_INKY,2,0
MIS_INKY_natural_gas_fired_combined_cycle_3,1,1,0,0,0,0,0,0,0,0,221,0,0,0,-1,-1,0,0,0,0,0,16291,0,0,4.495,0,0,8.2,0,east_north_central_reference_naturalgas,221,90.959,2,6,6,0.64,0.64,1,0.801,0,1,1,0,0,0.106666667,0.213333333,Natural Gas Fired Combined Cycle,0,0,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIS_INKY,3,0
MIS_INKY_natural_gas_fired_combined_cycle_1,1,1,0,0,0,0,0,0,0,0,557,0,0,0,-1,-1,0,0,0,0,0,9668,0,0,3.567,0,0,9.177,0,east_north_central_reference_naturalgas,557,90.959,2,6,6,0.64,0.64,1,0.375,0,1,1,0,0,0.106666667,0.213333333,Natural Gas Fired Combined Cycle,0,0,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIS_INKY,1,0
MIS_INKY_natural_gas_fired_combined_cycle_4,1,1,0,0,0,0,0,0,0,0,563,0,0,0,-1,-1,0,0,0,0,0,9668,0,0,3.567,0,0,6.985,0,east_north_central_reference_naturalgas,563,90.959,2,6,6,0.64,0.64,1,0.533,0,1,1,0,0,0.106666667,0.213333333,Natural Gas Fired Combined Cycle,0,0,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIS_INKY,4,0
MIS_INKY_natural_gas_fired_combustion_turbine_1,1,1,0,0,0,0,0,0,0,0,1085.91,0,0,0,-1,-1,0,0,0,0,0,11850.511,0,0,5.06,0,0,11.08,0,east_north_central_reference_naturalgas,51.71,117.941,3.5,1,1,0.64,0.64,1,0.433,0,1,1,0,0,0.63,1.26,Natural Gas Fired Combustion Turbine,0,0,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIS_INKY,1,0
MIS_INKY_natural_gas_fired_combustion_turbine_2,1,1,0,0,0,0,0,0,0,0,1787.994,0,0,0,-1,-1,0,0,0,0,0,10140.699,0,0,5.06,0,0,12.791,0,east_north_central_reference_naturalgas,99.333,117.941,3.5,1,1,0.64,0.64,1,0.481,0,1,1,0,0,0.63,1.26,Natural Gas Fired Combustion Turbine,0,0,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIS_INKY,2,0
MIS_INKY_onshore_wind_turbine_1,1,0,0,0,0,0,1,0,1,0,1539.904,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,9.058,0,None,192.488,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,Onshore Wind Turbine,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,MIS_INKY,1,0
MIS_INKY_small_hydroelectric_1,1,0,1,0,0,0,0,0,0,-1,3.766,0,0,0,-1,-1,0,0,0,0,0,46475,0,0,0,0,0,8.773,0,None,0.538,0,0,0,0,1,1,1,0.41,0,1,1,0,0,0,0,Small Hydroelectric,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,MIS_INKY,1,0
