H2_Pipelines,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,Max_No_Pipe,Existing_No_Pipe,Max_Flow_Tonne_p_Hr_Per_Pipe,H2Pipe_Inv_Cost_per_mile_yr,Pipe_length_miles,H2PipeCap_tonne_per_mile,Min_pipecap_stor_frac,len_bw_comp_mile,BoosterCompCapex_per_tonne_p_hr_yr,BoosterCompEnergy_MWh_per_tonne,H2PipeCompCapex,H2PipeCompEnergy
40,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,1000,0,97.387,90608.5,185,0.36,0,31,5.07E+04,0.15,225784,0.289
41,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,1000,0,97.387,90608.5,185,0.36,0,31,5.07E+04,0.15,225784,0.289
42,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,1000,0,24.236,90608.5,180,0.36,0,31,5.07E+04,0.15,225784,0.289
43,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,1000,0,24.236,90608.5,180,0.36,0,31,5.07E+04,0.15,225784,0.289
44,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,1000,0,24.236,90608.5,180,0.36,0,31,5.07E+04,0.15,225784,0.289
45,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,1000,0,23.5,90608.5,65,0.36,0,31,5.07E+04,0.15,225784,0.289
46,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,1000,0,23.5,90608.5,295,0.36,0,31,5.07E+04,0.15,225784,0.289
47,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,1000,0,51.25,90608.5,65,0.36,0,31,5.07E+04,0.15,225784,0.289
48,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,1000,0,51.25,90608.5,295,0.36,0,31,5.07E+04,0.15,225784,0.289
49,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1000,0,51.25,90608.5,201,0.36,0,31,5.07E+04,0.15,225784,0.289
