,Network_zones,Network_Lines,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,Line_Max_Flow_MW,Line_Min_Flow_MW,transmission_path_name,distance_mile,Line_Loss_Percentage,Line_Reinforcement_Cost_per_MWyr,Line_Max_Reinforcement_MW,DerateCapRes_1,DerateCapRes_2,DerateCapRes_3,DerateCapRes_4,DerateCapRes_5,DerateCapRes_6,DerateCapRes_7,DerateCapRes_8,DerateCapRes_9,DerateCapRes_10,DerateCapRes_11,DerateCapRes_12,DerateCapRes_13,DerateCapRes_14,DerateCapRes_15,CapRes_Excl_1,CapRes_Excl_2,CapRes_Excl_3,CapRes_Excl_4,CapRes_Excl_5,CapRes_Excl_6,CapRes_Excl_7,CapRes_Excl_8,CapRes_Excl_9,CapRes_Excl_10,CapRes_Excl_11,CapRes_Excl_12,CapRes_Excl_13,CapRes_Excl_14,CapRes_Excl_15,CapRes_1,CapRes_2,CapRes_3,CapRes_4,CapRes_5,CapRes_6,CapRes_7,CapRes_8,CapRes_9,CapRes_10,CapRes_11,CapRes_12,CapRes_13,CapRes_14,CapRes_15
PJM_EMAC,z11,11,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,4800,-4800,PJM_West_to_PJM_AP,198,1.98E-02,14345,4.80E+03,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIS_LMI_1,z12,12,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,980,-980,PJM_West_to_PJM_COMD,375,3.75E-02,25365,9.80E+02,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIS_LMI_2,z13,13,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,7400,-7400,PJM_West_to_PJM_ATSI,156,1.56E-02,10540,7.40E+03,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIS_LMI_3,z14,14,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,1530,-1530,PJM_West_to_PJM_Dom,296,2.96E-02,20036,1.53E+03,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIS_LMI_4,z15,15,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,1214,-1214,PJM_West_to_S_C_KY,112,1.12E-02,7545,1.21E+03,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,16,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,2444,-2444,PJM_AP_to_PJM_ATSI,177,1.77E-02,12823,2.44E+03,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,17,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,5400,-5400,PJM_AP_to_PJM_Dom,175,1.75E-02,12620,5.40E+03,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,18,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,2785,-2785,PJM_AP_to_PJM_PENE,118,1.18E-02,14931,2.79E+03,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,19,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,PJM_ATSI_to_PJM_PENE,192,1.92E-02,23411,0.00E+00,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,20,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,MIS_INKY_to_MIS_LMI_1,308,3.10E-02,16225,0.00E+00,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,21,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,1400,-1400,PJM_West_to_MIS_LMI_3,337,3.40E-02,20415,5.60E+03,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,22,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0.00E+00,0.00E+00,MIS_LMI_1_to_MIS_LMI_2,138,0.00E+00,0,1.00E+04,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,23,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0.00E+00,0.00E+00,MIS_LMI_1_to_MIS_LMI_3,72,0.00E+00,0,1.00E+04,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,24,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0.00E+00,0.00E+00,MIS_LMI_1_to_MIS_LMI_4,106,0.00E+00,0,1.00E+04,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,25,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0.00E+00,0.00E+00,MIS_LMI_2_to_MIS_LMI_3,68,0.00E+00,0,1.00E+04,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0.00E+00,0.00E+00,MIS_LMI_2_to_MIS_LMI_4,128,0.00E+00,0,1.00E+04,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0.00E+00,0.00E+00,MIS_LMI_3_to_MIS_LMI_4,84,0.00E+00,0,1.00E+04,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
