Resource,Zone,Capacity
GEO_SEQ_INJECT_1,1,0.0
GEO_SEQ_INJECT_2,2,0.0
GEO_SEQ_INJECT_3,3,0.0
GEO_SEQ_INJECT_4,4,0.0
GEO_SEQ_INJECT_5,5,0.0
GEO_SEQ_INJECT_6,6,6.02859112418807
GEO_SEQ_INJECT_7,7,238.1060372297348
GEO_SEQ_INJECT_8,8,320.16225983086576
GEO_SEQ_INJECT_9,9,75.6727625206537
GEO_SEQ_INJECT_10,10,21.261984961374214
GEO_SEQ_GAS_INJECT_1,1,0.0
GEO_SEQ_GAS_INJECT_2,2,0.0
GEO_SEQ_GAS_INJECT_3,3,0.0
GEO_SEQ_GAS_INJECT_4,4,0.0
GEO_SEQ_GAS_INJECT_5,5,0.0
GEO_SEQ_GAS_INJECT_6,6,0.0
GEO_SEQ_GAS_INJECT_7,7,0.0
GEO_SEQ_GAS_INJECT_8,8,0.0
GEO_SEQ_GAS_INJECT_9,9,0.0
GEO_SEQ_GAS_INJECT_10,10,0.0
Total,n/a,661.2316356668166
