Resource,Zone,Investment_Cost,Fixed_OM_Cost,Var_OM_Cost,Startup_Cost
Liquid_DAC_1,1,17884.531707719223,6089.991400473356,0.5989281450168441,0.0
Liquid_DAC_2,2,14682.188910414772,4999.538465184341,0.4658026776548379,0.0
Liquid_DAC_3,3,3934.162801361888,1339.6502642568498,0.10401114168077111,0.0
Liquid_DAC_4,4,17128.233479803046,5832.458814243278,0.5670486244706465,0.0
Liquid_DAC_5,5,17342.647770178955,5905.470576914386,0.5829922839838675,0.0
Liquid_DAC_6,6,13998.301057896719,4766.6628602320725,0.5065143782650697,0.0
Liquid_DAC_7,7,18130.13172777458,6173.62244178531,0.5730682302616185,0.0
Liquid_DAC_8,8,17752.059991972565,6044.88249726652,0.5898615133242132,0.0
Liquid_DAC_9,9,16497.08569288996,5617.542110940977,0.552591511240221,0.0
Liquid_DAC_10,10,16936.309904836726,5767.105527940092,0.5616423118223286,0.0
Solid_DAC_1,1,1.7104272179243844e6,187761.18332102266,21.721994455914658,0.0
Solid_DAC_2,2,1.1078608011581585e8,1.2161479471360236e7,1408.7942757340081,0.0
Solid_DAC_3,3,193473.67629919804,21238.463714047306,2.4427195612706183,0.0
Solid_DAC_4,4,276426.52984064724,30344.56643363496,3.4883021250125825,0.0
Solid_DAC_5,5,1.4837110705146043e7,1.628735460865656e6,188.65069016632722,0.0
Solid_DAC_6,6,1.728301497493007e6,189723.32228118725,21.962977267554926,0.0
Solid_DAC_7,7,2.613299260133863e8,2.868734526161985e7,3323.166685005843,0.0
Solid_DAC_8,8,3.471974267566176e8,3.811340173418509e7,4415.098705458529,0.0
Solid_DAC_9,9,114879.18242010329,12610.797468672994,1.4323765629555023,0.0
Solid_DAC_10,10,1.7268392803072292e7,1.8956280821417703e6,219.56504075826118,0.0
