,CO2 Pipeline Power Consumption,CO2 Pipeline Power Consumption,CO2 Pipeline Power Consumption,CO2 Pipeline Power Consumption,CO2 Pipeline Power Consumption,CO2 Pipeline Power Consumption,CO2 Pipeline Power Consumption,CO2 Pipeline Power Consumption,CO2 Pipeline Power Consumption,CO2 Pipeline Power Consumption
Zone,1,2,3,4,5,6,7,8,9,10
AnnualSum,555.9695986945198,6878.9871203323155,144.81534356960833,317.41665159267,1884.1745831671014,937.3306651567561,529.6857935331923,229.98601573167278,245.63141292665586,41.56434951553306
t1,0.4911763718870038,8.833235101596209,0.3206758909146844,0.6962355724583763,1.6427580038675176,0.10477379127047685,0.26175585031054494,0.07971822255416691,0.32328182492940155,0.04802745089010529
t2,0.5015999239594362,8.839206628330368,0.3204567333881858,0.551436210735735,1.6358565618899672,0.10097282128598725,0.25625176213025325,0.18189317991747742,0.3154148510941803,0.046770695157507924
t3,0.5539574868504218,8.819480386088365,0.32067710948107164,0.5476976232634977,1.7356231228943373,0.10038528503722574,0.31374718296608084,0.22026240464850627,0.30672089273997816,0.04636363983556448
t4,0.5520645406383407,8.817612946314858,0.3214405066895505,0.7014335300891625,1.748397664258351,0.09940303442501223,0.30591210062990776,0.2925600449878749,0.3019092181494599,0.046185500589957684
t5,0.49400278706748163,8.83139069981663,0.32284557726480145,0.6864518844685303,1.6354487654989827,0.10014398264309746,0.31085322724314646,0.21985387729342445,0.3086683563657179,0.04642539667419534
t6,0.18205293854284,8.294119725953662,0.18164826765602596,0.23576334959497647,1.06316201215401,0.11149035819345018,0.17144159763683092,0.08024899578225002,0.3547070219591532,0.050173093669946746
t7,0.08558943772666834,8.077297659547368,0.09284388725320661,0.09385558194856847,0.9162320456230011,0.039585635339138496,0.0372168786078632,0.02482758571478279,0.3801001514779362,0.06949037212900107
t8,0.060469470715723686,8.096330306917334,0.0950833173879041,0.09598015867622087,0.8922982964509503,0.02092874190313803,0.020786603430693336,0.027118938224633418,0.3870305255095953,0.07484881936592824
t9,0.06058912883112312,8.095922300956655,0.09487001899030933,0.09639475877464157,0.8922819930319101,0.017661765776729198,0.019138056727850176,0.018477020273338318,0.3868250951301028,0.0763945369297755
t10,0.08577419827590346,8.079084744327071,0.09575503038459555,0.09803809935708438,0.9147832313857155,0.0035965411266975235,0.003998703318650918,0.029010359135687915,0.38283615299608476,0.0769685255131214
t11,0.08786508156746876,8.081723917105098,0.08273518273121208,0.09984615672946494,0.9172188447811752,0.003597616205526024,0.004210088484093033,0.029864132396449812,0.3821032136451773,0.0775101613740228
t12,0.08707666141971002,8.082337608671866,0.08225610642139226,0.09923031706447394,0.9164461028978724,0.003598843520968473,0.004254208498792229,0.02986458778234146,0.38146141908611125,0.0768604281575256
t13,0.08703490622381795,8.082324386136431,0.08228528365290941,0.09929993099505767,0.9164170092495398,0.0035866413297604145,0.00415277755931021,0.029321299371124175,0.3810031724164529,0.07695475900919116
t14,0.08690183814587357,8.082357845179411,0.08218840710819361,0.09920604686526048,0.9163162220908052,0.004486898279099113,0.004780352908903492,0.029065641267761462,0.38123294388561413,0.07678406502228768
t15,0.0869272558747444,8.078094476823276,0.09566504463078458,0.09780073201577737,0.9164116803345024,0.004326568102218914,0.004648810428505106,0.029211500161135794,0.38139069267513376,0.07656799961406058
t16,0.0869117612650811,8.078014439251804,0.09645019950151416,0.09774075802654023,0.9164485020999232,0.004267383439962194,0.004561762923343432,0.029417757006271833,0.38245169890936626,0.07658181984564642
t17,0.08751134191747642,8.08184615975124,0.082712098331721,0.0996750264458779,0.9170943366810367,0.004292132850766739,0.004532173483711233,0.02955984570741391,0.3856395326894053,0.07759918481428789
t18,0.08848181470831827,8.081476895680874,0.0831389238028796,0.10016283963331683,0.9181040202737144,0.0007412182165977422,0.001563733240668946,0.03001160504599536,0.3885365797399767,0.07828990817126988
t19,0.08796202091536189,8.077833969016229,0.09679040835542185,0.09816545501935023,0.9176510149959786,0.00039772843528463264,0.001597998717704954,0.030051889930767434,0.3875897913626638,0.07740012487689059
t20,0.08787285778607026,8.077930491317764,0.09680526176959939,0.09812658866858827,0.9175935358776041,0.000935302570617425,0.0021111187926327805,0.029983847976707945,0.3876223223624632,0.07729195029562277
t21,0.08439411205579052,8.095947243820747,0.1028395324650287,0.10502100020949258,0.9176282849232665,0.02091373184157439,0.018155855312302575,0.028213715888177393,0.3844326607519793,0.07314006714342147
t22,0.0840511350561261,8.096141172792276,0.10215497882375699,0.10427417750411269,0.9174562246978982,0.026668443900381568,0.025906027561519142,0.027235888667521392,0.3822160256649346,0.07152932129793696
t23,0.09069628064968271,8.111023633772161,0.09640363095905347,0.11227679508613572,0.9267717862936643,0.030029124350858326,0.044338920562807194,0.025082232700424062,0.38135020410954,0.06876869365606982
t24,0.34647507345983974,8.442690655386334,0.2203675231544312,0.29529552500433776,1.3503164397993992,0.025945662198460347,0.42568983329928695,0.2027025877709084,0.31636099272191615,0.05250368977007523
t25,0.5764608839996245,8.815021353756004,0.2467826482405517,0.5352383515966033,1.755534246839054,0.02556990107103181,0.6980688872572243,0.40566351314841476,0.28769689868712994,0.05146820304705676
t26,0.6348574049948782,8.800469400894551,0.24591259493930842,0.5405960575957529,1.866181354464547,0.02558880360971301,0.711829098108288,0.4566123052303118,0.2847207900003158,0.05131692242573734
t27,0.6281252926170766,8.80620022742978,0.22405763180697455,0.5139116159840669,1.8868862670595052,0.5929939976804489,0.7064449319270366,0.42644597343216123,0.25276447423721576,0.043156864365752834
t28,0.6268974580991761,8.805747996409,0.22329011242477098,0.5117801026485324,1.8867940601622046,0.6574816194838713,0.707116437172131,0.4233697152991697,0.2514191491454431,0.04307694484650999
t29,0.6176771760089129,8.798274315334535,0.22461779350875646,0.5042037335685701,1.8717007121503064,0.673997361869312,0.707342452357423,0.41414412890880425,0.25126412833215167,0.04306202575247521
t30,0.09031664357080749,8.085702525269262,0.09080670253055598,0.09484045873618502,0.9287405918737593,0.7613068913766605,0.713308060034422,0.024492948235045022,0.33694192898566844,0.053311860037279266
t31,0.08418932512324626,8.083756028297293,0.07033601688881441,0.09195663312291033,0.9201691448223611,0.7590520991523273,0.7114635356436418,0.021916981854280343,0.342312902920699,0.05513980682277039
t32,0.08525541976067072,8.082202104749092,0.07776498133890161,0.09443696326971254,0.916311684538957,0.05450516054923897,0.05468493779214785,0.02371091269721491,0.38030540472380564,0.06736827258669038
t33,0.08608745606728185,8.08217544188132,0.07993055295770726,0.09677659482724879,0.9164583576802827,0.029898516487980666,0.030995650505065468,0.025798524166892784,0.3820205591554246,0.07192482724604071
t34,0.08606205295502721,8.082161288998604,0.07990754674368693,0.09677461044394634,0.9163871993913691,0.030913479310857098,0.02998644275357564,0.025792354933643326,0.3819957954679328,0.07193776061965153
t35,0.08604161529489632,8.082138691302315,0.08001297134510085,0.09673853374231257,0.9164776246360054,0.03083035010711658,0.029997255233719506,0.025774742081726705,0.38199496085797857,0.07195723328290209
t36,0.0860454140350056,8.082135688359317,0.07986551318334623,0.09677593289841195,0.9165030316737952,0.03084083435365212,0.030014084867531078,0.02576874000264537,0.38196344041070557,0.07194713248566872
t37,0.08603588407658189,8.082134455110532,0.07986247257599444,0.09676470131864282,0.9165028914210189,0.030885365269781265,0.030017066227107283,0.025763511308850302,0.38193783849548596,0.07193128495429944
t38,0.08604528910693884,8.082133813353742,0.07985311659116957,0.09676204754536868,0.9164885068543708,0.030867851149685776,0.03001786053445781,0.025770681940692174,0.38193634974199336,0.07192080197475856
t39,0.08574602733474028,8.082016517476244,0.0792620396939144,0.09614535927515608,0.9163281897991599,0.0426230673602465,0.029772933872352116,0.025123528188171998,0.38154767056317634,0.07082021184574239
t40,0.09644876499274856,8.098623280240082,0.074679384608497,0.10726774013783186,0.9306006630017399,0.04193684184588873,0.029556595845838095,0.0261398133201574,0.38128256183977716,0.07012607372598725
t41,0.08621391402968985,8.086162983514178,0.06914644702950792,0.09722857947725695,0.9167811506616638,0.04344457173202822,0.03023305302723972,0.02546635458847355,0.3828177820914246,0.05994371531565862
t42,0.08615163758249257,8.086177557293292,0.06912987461913891,0.09718388207236411,0.9167614040042495,0.043426323034230344,0.03027477808823144,0.025454730204969824,0.3828353562276711,0.06017392520011313
t43,0.08575301480783193,8.08228460316745,0.07859594655234961,0.09620325807879782,0.9163956569576672,0.04265047193809185,0.029834751433157322,0.02515039957585442,0.38159165520880434,0.07077056351220808
t44,0.08577993783104662,8.082003022494918,0.07948371501153595,0.09610400084594124,0.9164437341382649,0.042613886249741086,0.02976731412794992,0.025134000942779514,0.38160140159047,0.07081529211253132
t45,0.09519967051632282,8.096314291083525,0.07494073146898465,0.10583517813325961,0.9288955676234486,0.042136027982118504,0.02951020414052523,0.02612982834100444,0.38140836745246864,0.06945070626846084
t46,0.09377712758651553,8.094505796100574,0.07502863677181631,0.10164231283835004,0.9283964109004968,0.09457260635990883,0.0642475219710737,0.027000065167393093,0.37806813482829005,0.06198740283833718
t47,0.09042944103524439,8.085607816528308,0.09080539163493093,0.09512281255333942,0.9289032883100012,0.9679585890530906,0.6929599749582515,0.02452814865604196,0.3344192347250724,0.05316556791692201
t48,0.0905173290478957,8.085486018510574,0.09076679668801925,0.09516670747623542,0.9289672065127141,0.9934886613104397,0.712452431735358,0.02454972529280196,0.33399377444752987,0.05309009908570836
t49,0.13824830102324762,8.168555666761417,0.07663055443144481,0.1065144275636082,0.997741847540196,1.0024855888296071,0.7171020684733772,0.04715784449606019,0.32570858455184004,0.048716400448892014
t50,0.45857892244881737,8.612204199148607,0.06367227550681778,0.35245282663361965,1.5740441355252615,0.9707295426798038,0.7233682671302452,0.27001373030792,0.25809291711876375,0.04404435566429401
t51,0.4793310393713815,8.63962222030236,0.06388572684681283,0.36964242029147787,1.6499646571896713,4.723234934183892,0.7162795611556455,0.27394535863805397,0.25095094608271507,0.04388696561327552
t52,0.5024402639093908,8.662486057871103,0.06352534382383698,0.3913961049586286,1.69324867468289,4.758721860686119,0.7162572164629525,0.26100440560903143,0.24894750994739906,0.0437791968539196
t53,0.09342887196461971,8.095428700166726,0.0690335663897676,0.09979340809704519,0.9323413247992921,4.944966526443035,0.7103171953993708,0.025459554103725694,0.3334066426356459,0.05273884077169645
t54,0.08386316868197807,8.081712896461083,0.07113520686100594,0.09145353514977875,0.919569966150421,4.8131371956845825,0.7106384806107057,0.0215875066760648,0.3354533744024047,0.054847052307698416
t55,0.08471686401415202,8.07754053434468,0.06132622458897658,0.08874888298705957,0.9131334130799351,4.656716169418951,0.7066001634159216,0.02087687553094693,0.33742757915838195,0.05346109111712523
t56,0.08895594314173334,8.105479176614176,0.050116804039949996,0.06983567895288559,0.9132696297383439,0.05848127501272915,0.039984321254278504,0.025051453486526723,0.39046440926950093,0.04697908756738366
t57,0.08484233568392502,8.111963334892172,0.048220777678660905,0.06664041652622155,0.9143742341800868,0.04671725242013291,0.03234892936747419,0.02502354310890058,0.3934925351348037,0.03880183110408416
t58,0.08492125061411296,8.111614981552753,0.04903622723151,0.06764131822468325,0.9143650748566888,0.04074973789189131,0.02846304350176778,0.0255189673971441,0.39349484713378285,0.03912164888986143
t59,0.084918105677009,8.111620609571451,0.049030506153553144,0.06758292772023389,0.9143486516003727,0.04078441683365002,0.028536676445030194,0.025528239605643797,0.3934162718250753,0.038840795651174875
t60,0.0845023741293059,8.105326545525823,0.058692825466356506,0.06679401264741958,0.9140117889001736,0.03984918877613812,0.027892833403652825,0.025088126161666086,0.39109569938157024,0.04763609590781493
t61,0.08461037164591777,8.105672004230131,0.058243458151619146,0.0661570608342776,0.9141008561709815,0.03994701211823143,0.027937907002779486,0.025110171505384287,0.3909958408951278,0.04697657122103314
t62,0.08452376344800454,8.105481318914157,0.058560330822865964,0.06679294357901709,0.914028772652111,0.03985361151917254,0.027887939224000055,0.025078337778971324,0.3910247737695143,0.04767451308778026
t63,0.08026103578764472,8.106365097180252,0.05908960485474437,0.06724176971869067,0.9141526504436213,0.039968590230288606,0.027939537501041625,0.02302057514604481,0.39137526996977456,0.04829250265022955
t64,0.08691115734394943,8.107114078555133,0.060646267442532195,0.0692971187730734,0.9171492249197266,0.03932518635794764,0.027502509239324097,0.026344587186776732,0.38993775278529785,0.050366889336948925
t65,0.08977597688080201,8.109187769561485,0.049017048158940334,0.0676849575648829,0.913850656491585,0.040585479157164914,0.028373490585566867,0.026957457244018594,0.39236191602925274,0.03887516497939031
t66,0.10688129609818149,8.091990762836826,0.0328968488131973,0.05635566094399037,0.892913232948191,0.03632629280760308,0.030764227616013596,0.028503556140923238,0.39396748786822516,0.023222080774177603
t67,0.08977268511739633,8.109369544053893,0.04909811679463222,0.06783288891550127,0.9136177515111895,0.033130029903519445,0.028338819159893697,0.026933989123180676,0.3924977096328078,0.0481074329052521
t68,0.08948902081347265,8.102126557679746,0.059495380046868,0.0678922767275961,0.9135604863006631,0.032768560431831135,0.028039319023005646,0.02683542955227988,0.3898648309210083,0.048518027430743696
t69,0.08613981625203232,8.083170365603179,0.07890282078944781,0.09527560135160959,0.9165786622876391,0.031029176911852946,0.026340874761159715,0.026035990558026495,0.38206939829570535,0.072081896045289
t70,0.08716100603666745,8.085302608755823,0.07957487549805353,0.09429638879041885,0.9179861558670824,0.03093324539173297,0.029823812274541586,0.02637974575424416,0.3820949906877681,0.07146707243522685
t71,0.08496433945430143,8.10276907259308,0.07607444554358574,0.09070692766081609,0.9178719854202435,0.03845676066993274,0.03906186540309982,0.025866963618804778,0.38419217506899966,0.06917676171716768
t72,0.09175054260007352,8.097909929675716,0.07405173792674989,0.0884587963708923,0.9250444759201644,0.061346778038509436,0.061465879254504356,0.026523033941939462,0.3809332323040129,0.06454288807189142
t73,0.09153162903031224,8.097874692757681,0.07358247578842056,0.08785555334842272,0.9249645295039965,0.06963280637318153,0.0692872179811178,0.026096672786298968,0.38051151090515695,0.06345163737099459
t74,0.09151778180816418,8.097869115053518,0.07360518929308106,0.08787793237052238,0.9249378478967444,0.06960553311551795,0.06922059064495086,0.026083523817424605,0.3805413987894276,0.06345531718134576
t75,0.09460992069459932,8.104674975952262,0.07276016279618572,0.08569536951493308,0.9287492535370885,0.06931743073302857,0.06914596914592344,0.027571532520452538,0.3814218837194582,0.06312644989299575
t76,0.09821563434281583,8.11305277870732,0.0713809418117929,0.08312141496451451,0.9337599204017455,0.06869767421032835,0.06878664269153369,0.02942254308342294,0.3820047518513898,0.06274584922108432
t77,0.08811105084590701,8.094989475319714,0.06930109761311604,0.08418130446837047,0.9249653535741951,0.702167900374004,0.660885945675168,0.023494280910605684,0.3446969516674336,0.05480333251395727
t78,0.08784380030612504,8.109262172598322,0.05872629257864484,0.06748977258056074,0.9194870336775035,0.07331707354158747,0.07210200805268316,0.024610421162308257,0.3880009903555036,0.04636957833552676
t79,0.08956864010201773,8.115329076557957,0.03920759282143528,0.06689052296085964,0.914111080065519,0.05678855483405401,0.056863968068669696,0.025707515687187737,0.3941970536161652,0.029941862511560766
t80,0.09038230835455188,8.11513615247736,0.04064044690347769,0.06872510453818109,0.9142266824471978,0.03440701308442927,0.033092487526308736,0.02762493534538034,0.3949173958421727,0.0322945957718447
t81,0.09036621269006634,8.113824346231462,0.03982830670548111,0.06820009549594339,0.914152654874597,0.03466448824359766,0.029103339568798747,0.02787380838660016,0.3941177375258227,0.032623511044675285
t82,0.0925520322739172,8.162037402729108,0.0033186761855507475,0.006919953766393521,0.9154436122176282,0.04036601215389343,0.034977708162248586,0.03247158114386892,0.41506123583002796,0.001758894587465442
t83,0.09458377525619942,8.106782688399058,0.037302679723061845,0.0643146445495717,0.9075470654098577,0.035508850230039926,0.030377585200471693,0.02789824983707874,0.39406457484290125,0.02950421298153208
t84,0.09032293673647358,8.11509664747452,0.040692838310630496,0.06887604888541213,0.9141262846765634,0.034904608679509036,0.029993384086675876,0.027759167744273616,0.394887305847376,0.032271270004876965
t85,0.09027920199860705,8.114982130412315,0.04095421111823214,0.06882194401205234,0.9141125304193758,0.034917828286251236,0.030064153771747443,0.027727002613776575,0.39487633036027,0.032578978207020604
t86,0.0900431654509606,8.109214953623725,0.04944189623401165,0.06836192317848695,0.9139018081653,0.028387820717220406,0.02942489610926649,0.0275683866454125,0.3929080728775401,0.04013081451075006
t87,0.08962090285658435,8.102987530904901,0.05926361323071115,0.06748772095418311,0.9135797417007233,0.027057713126231037,0.02869512882146421,0.027186167007633093,0.3906758664166437,0.048551589911501325
t88,0.08729079954892185,8.107477393627294,0.06099350183720301,0.06966614562254585,0.917391172858172,0.027132824952218654,0.02827545753254992,0.027100980604070478,0.39078083272788056,0.051143769425591214
t89,0.090471364582565,8.115076690810703,0.040999863545641016,0.06914580831941837,0.914122812732701,0.028831172998903434,0.02985902874751217,0.0281254260019074,0.395230725753758,0.03290219680012176
