,Capture,Capture,Capture,Capture,Capture,Capture,Capture,Capture,Capture,Capture
Zone,1,2,3,4,5,6,7,8,9,10
AnnualSum,1209.5160345231654,77202.18023221656,138.50835605250495,204.76525230370584,10354.089995959745,1251.5626669997994,187751.18871625199,246879.2623224057,93.26951288847738,12453.348804101297
t1,1.4816788720944702,95.09994823756418,0.16757107377530508,0.2501522287674529,12.74827173680973,1.4955475340537372,224.31506007542544,298.01645359920576,0.11101070183635894,14.834310620829102
t2,1.4816718361804957,95.09999834483693,0.167575862565622,0.2501467464614724,12.748281184979753,1.49549684247355,224.31505555288754,298.0165575503902,0.11102444243567217,14.834319491855348
t3,1.4816486089911625,95.09999876487699,0.16757769334627612,0.25014221981782203,12.74827950160704,1.4955699264302114,224.31506718608014,298.01656815792217,0.11102599124674085,14.83432201946532
t4,1.4816357585983688,95.09999895829294,0.16758119083436,0.2501574110923177,12.748282078112135,1.4955705096301886,224.31503862125635,298.01657465820557,0.11102461688657343,14.83432538609329
t5,1.481655384266073,95.09999991280927,0.16758686155088046,0.2501627946625108,12.74829247255989,1.4955794563118476,224.31501494999165,298.01658715933655,0.11102357965637859,14.834327621843297
t6,1.4815085747303742,95.09987585878724,0.16754392402092588,0.2500778086884748,12.748166984317466,1.4955796148059306,224.31494999552555,298.01647654696666,0.1110151186896075,14.834324849504133
t7,1.48091029936882,95.09918650415895,0.1673281989711624,0.24952708945951532,12.747670121018396,1.495453529922674,224.31453159277052,298.0161059052906,0.1110057671627766,14.834318714776682
t8,1.4805837942080706,95.09917294836225,0.1673212508659678,0.24950021909511447,12.747374549128914,1.4952897756547543,224.31417908460233,298.01612823041523,0.11099080450727486,14.83430846094136
t9,1.4805787409697206,95.0991532112082,0.16730744188505411,0.2494851621719446,12.747352105619132,1.4950250052467933,224.3140226561653,298.01586083751715,0.11097942667272181,14.834298210381188
t10,1.4808889929137363,95.0991481789751,0.16730178754194064,0.2494742432405198,12.747596405445961,1.484268664682741,224.3048585816349,298.0161461443522,0.11096135309902624,14.834282411147964
t11,1.4809637680575825,95.09915335792769,0.16726490382230746,0.24948343931388156,12.747669161020255,1.483104518799901,224.30331419259664,298.0162818125986,0.11094865172201651,14.834282306385743
t12,1.4808730602668008,95.0991390826112,0.1672490240216805,0.24944596603696384,12.747571233839611,1.4829691781191991,224.303288609326,298.0162508201383,0.11094720282111263,14.834262223690542
t13,1.480853731970669,95.09914051498443,0.167255282162218,0.24945461179243997,12.747564154790584,1.4830015412034725,224.30407013927453,298.0161457620959,0.11095277158131722,14.834268790965899
t14,1.4808328770372703,95.09914136382093,0.16726136636927025,0.2494629447893891,12.747565017636532,1.4878899560677767,224.305982380845,298.01608925932925,0.11095922962820773,14.834274470620983
t15,1.480830972189681,95.09914665790572,0.16730961543789774,0.24946447512395153,12.747570509859683,1.4876049370176931,224.30607562366257,298.0160913813126,0.11096251544406417,14.834277088180293
t16,1.4808392418733156,95.099146869922,0.16732221962761842,0.24947874423406013,12.747591770919929,1.4862908453556885,224.30578153189174,298.0161085803513,0.11096913761657391,14.834285291010495
t17,1.4808674756285727,95.09916335022703,0.1672788231446828,0.24951115937371318,12.747623672052317,1.0358694690844918,157.0155410084828,298.01613607913885,0.11097597243097011,14.834313631784358
t18,1.4809224692994274,95.0991771010704,0.16728058835078471,0.24951948295148574,12.747686333149067,0.29857312613972126,44.86123201300752,298.0161574909742,0.1109838843603868,14.834324381983969
t19,1.4809217231725769,95.0991733596434,0.16731962487354046,0.24948707346079974,12.747670092885574,0.2975006280767664,44.863607563122294,298.0161599422833,0.11098036745538176,14.834303432420409
t20,1.4809015140241755,95.09918016550058,0.1673282841671976,0.24949177354293406,12.747646537498465,0.3005158250727712,44.86339317573737,298.0161649466535,0.11098076283169353,14.834302624147554
t21,1.4809206086466513,95.09928065034049,0.1673675712550222,0.2496005651850719,12.747656284148082,1.0498351234903882,157.02228719084422,298.0161663974037,0.11098233855961058,14.834302920829911
t22,1.4809722601097033,95.09928650745992,0.16737818917806868,0.24961614843719387,12.74771076315435,1.4953062085395121,224.3141067239084,298.0161606014275,0.11098813885994711,14.834307975836579
t23,1.4810367301734944,95.0993584651825,0.16738514570119678,0.2496823321397961,12.747760802703631,1.4953462978128136,224.31468237172342,298.01609894957977,0.1109958638345391,14.834314890096628
t24,1.4816408293949213,95.0999216302677,0.16755742720056638,0.25009487956679277,12.748279773568857,1.495337430019598,224.31516594828284,298.0166436475146,0.11099396973540315,14.834312205665409
t25,1.4816587356512005,95.09996616251921,0.1675919665309275,0.25016010088993273,12.748295461466336,1.4953319996605396,224.31516496531012,298.0166655412429,0.11100265261855785,14.834310609957866
t26,1.481687585701794,95.09996093729829,0.16758799705670357,0.2501580422739088,12.748323715831162,1.4953467914292422,224.3151757499754,298.0166767826342,0.11100473431013187,14.834311753145125
t27,1.481669844640481,95.099947803624,0.16759173928639823,0.2501543224024249,12.748308194907287,1.4955840231587059,224.31517746090944,298.0166640057529,0.11100544939120312,14.834312068177777
t28,1.4816599285587855,95.09994201696126,0.1675910642071275,0.2501514859029427,12.748299477942627,1.4955765962871244,224.3151890833546,298.01665784543843,0.11099907983628836,14.834308281532104
t29,1.4816480362999596,95.09991521570511,0.16759725737310735,0.25015012360118727,12.748284512893845,1.4955692670869547,224.31518329093075,298.0166427782241,0.11099258641289254,14.834305166427457
t30,1.481010857213412,95.09925775015573,0.16739835476394974,0.2496214158238353,12.74776828374006,1.4955670463196729,224.3151786559097,298.0162028041591,0.11097251218648954,14.8343064320723
t31,1.4809251160521493,95.09916865849105,0.1673117236230148,0.24957429939376125,12.74770842440112,1.4955645811834142,224.3151729118626,298.0161594286117,0.11096624781073332,14.83432766689068
t32,1.4808875717020478,95.09911596928822,0.1673081907571215,0.2495371425959927,12.747658003427311,1.4954198191369399,224.31485877824028,298.01615041074893,0.11097013028363269,14.834317283443934
t33,1.4808861199649366,95.09912044538832,0.16731009593017526,0.2495316377450632,12.747633880568685,1.4953047208946735,224.3146368541063,298.01616055823456,0.11096434058295952,14.834311800243213
t34,1.480883218720652,95.09912097906982,0.16731463743033548,0.24952369442276334,12.74761129070924,1.495313368019804,224.3146667574864,298.01616480983625,0.11095813560973068,14.834306411134115
t35,1.480881133196042,95.09911478940938,0.1673348528284452,0.24952459407579164,12.747626328918077,1.4953093571326153,224.31468409969906,298.016155832703,0.11095977251264708,14.834306070636744
t36,1.480876953227403,95.09910321932497,0.16732600442206083,0.249523365927932,12.747630042607398,1.4953124057331266,224.31470044508077,298.01614361318497,0.11095918713857485,14.834301226864026
t37,1.48087589775029,95.09909086739852,0.16732485881385997,0.2495245868750325,12.747630307616527,1.4953137945025574,224.31470487331913,298.01613770335115,0.11095879572011762,14.834300785043972
t38,1.4808766432346954,95.09908590237387,0.16732391154601287,0.24952517971921903,12.74762609245097,1.4953144483955514,224.3147083417736,298.01613763610555,0.11095917818003997,14.834298775505273
t39,1.480888301558919,95.09909498702918,0.16732474922589213,0.2495340543092289,12.7476285374559,1.495381794034152,224.31469772243767,298.01614643986665,0.11095935113904556,14.834298382724342
