Resource,Zone,Capacity
Liquid_DAC_1,1,0.01760011386761851
Liquid_DAC_2,2,0.014448697951518237
Liquid_DAC_3,3,0.0038715977812174146
Liquid_DAC_4,4,0.016855843056017797
Liquid_DAC_5,5,0.017066847514347106
Liquid_DAC_6,6,0.013775685972579828
Liquid_DAC_7,7,0.017841808108737384
Liquid_DAC_8,8,0.017469748850547712
Liquid_DAC_9,9,0.01623473241703074
Liquid_DAC_10,10,0.01666697164308448
Solid_DAC_1,1,1.4680770573045494
Solid_DAC_2,2,95.088818034655
Solid_DAC_3,3,0.1660604218587548
Solid_DAC_4,4,0.23725969876802214
Solid_DAC_5,5,12.734842847826796
Solid_DAC_6,6,1.4834187330423723
Solid_DAC_7,7,224.30213033730413
Solid_DAC_8,8,298.0030785496426
Solid_DAC_9,9,0.09860196932408358
Solid_DAC_10,10,14.821636971772145
Total,n/a,648.5557566686612
