Resource,Zone,Investment_Cost,Fixed_OM_Cost,Total_Cost
CAPTURE_COMP_1,1,57056.13612376796,19730.353864399276,76786.48998816723
CAPTURE_COMP_2,2,3.576778275505701e6,1.236871366773562e6,4.813649642279264e6
CAPTURE_COMP_3,3,8517.875762118065,2945.532494436997,11463.408256555062
CAPTURE_COMP_4,4,10887.537083923566,3764.9755831975444,14652.512667121111
CAPTURE_COMP_5,5,479669.8996930332,165872.72644110917,645542.6261341424
CAPTURE_COMP_6,6,59073.688578499525,20428.03559639547,79501.724174895
CAPTURE_COMP_7,7,8.434119768127415e6,2.9165691696840683e6,1.1350688937811483e7
CAPTURE_COMP_8,8,1.120476961266778e7,3.874676493119732e6,1.5079446105787512e7
CAPTURE_COMP_9,9,5550.843688860099,1919.5150192014883,7470.358708061587
CAPTURE_COMP_10,10,559070.5373294924,193329.9428608814,752400.4801903737
