Resource,Small_Electrolyzer_1.0,Large_SMR_1.0,Large_SMR_wCCS_90pct_1.0,Above_ground_storage_1.0,Small_Electrolyzer_2.0,Large_SMR_2.0,Large_SMR_wCCS_90pct_2.0,Above_ground_storage_2.0,Small_Electrolyzer_3.0,Large_SMR_3.0,Large_SMR_wCCS_90pct_3.0,Above_ground_storage_3.0,Small_Electrolyzer_4.0,Large_SMR_4.0,Large_SMR_wCCS_90pct_4.0,Above_ground_storage_4.0,Small_Electrolyzer_5.0,Large_SMR_5.0,Large_SMR_wCCS_90pct_5.0,Above_ground_storage_5.0,Small_Electrolyzer_6.0,Large_SMR_6.0,Large_SMR_wCCS_90pct_6.0,Above_ground_storage_6.0,Small_Electrolyzer_7.0,Large_SMR_7.0,Large_SMR_wCCS_90pct_7.0,Above_ground_storage_7.0,Small_Electrolyzer_8.0,Large_SMR_8.0,Large_SMR_wCCS_90pct_8.0,Above_ground_storage_8.0,Small_Electrolyzer_9.0,Large_SMR_9.0,Large_SMR_wCCS_90pct_9.0,Above_ground_storage_9.0,Small_Electrolyzer_10.0,Large_SMR_10.0,Large_SMR_wCCS_90pct_10.0,Above_ground_storage_10.0,Total
Zone,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,9,9,9,9,10,10,10,10,0
AnnualSum,0.0,0.0,0.0,6247.922,0.0,0.0,0.0,58368.094,0.0,0.0,0.0,7511.083,0.0,0.0,0.0,7697.0186,0.0,0.0,0.0,31520.904,0.0,0.0,0.0,7852.5586,0.0,0.0,0.0,98248.68,0.0,0.0,0.0,6174.966,0.0,0.0,0.0,18212.045,0.0,0.0,0.0,13302.864,255136.12
t1,0.0,0.0,0.0,0.3839281458589213,0.0,0.0,0.0,0.34415713600637826,0.0,0.0,0.0,0.4921899262767151,0.0,0.0,0.0,2.6976937075823653,0.0,0.0,0.0,0.24818766041829549,0.0,0.0,0.0,0.37262789282172704,0.0,0.0,0.0,0.19799397802986812,0.0,0.0,0.0,0.314959158780789,0.0,0.0,0.0,0.393469046393612,0.0,0.0,0.0,0.27882881548735783,5.72403546765603
t2,0.0,0.0,0.0,0.38652801112344537,0.0,0.0,0.0,0.3619625422776788,0.0,0.0,0.0,0.4801524077154977,0.0,0.0,0.0,0.3461844039037205,0.0,0.0,0.0,0.2554758919946075,0.0,0.0,0.0,0.4281169221856041,0.0,0.0,0.0,0.2027615582771907,0.0,0.0,0.0,0.4151060237524634,0.0,0.0,0.0,0.39295134631863227,0.0,0.0,0.0,0.27864355292441784,3.5478826604732587
t3,0.0,0.0,0.0,0.3814311103156934,0.0,0.0,0.0,0.35639315895650364,0.0,0.0,0.0,0.4901607613773362,0.0,0.0,0.0,0.35659706510759365,0.0,0.0,0.0,0.25376647060625795,0.0,0.0,0.0,0.5105698058532318,0.0,0.0,0.0,0.22730469110860738,0.0,0.0,0.0,0.3955063715124444,0.0,0.0,0.0,0.3924442418891375,0.0,0.0,0.0,0.27632118567399694,3.6404948624008027
t4,0.0,0.0,0.0,0.39744162535720384,0.0,0.0,0.0,0.9760902806638236,0.0,0.0,0.0,0.49750373288792515,0.0,0.0,0.0,2.3815314858966423,0.0,0.0,0.0,0.764053364203919,0.0,0.0,0.0,0.5427974102472436,0.0,0.0,0.0,0.34755615461993217,0.0,0.0,0.0,0.4328286894511981,0.0,0.0,0.0,0.3934115368120715,0.0,0.0,0.0,0.45749422951322494,7.1907085096531835
t5,0.0,0.0,0.0,0.3845659233018768,0.0,0.0,0.0,1.17732208138451,0.0,0.0,0.0,0.5093654605885083,0.0,0.0,0.0,0.43845149726594046,0.0,0.0,0.0,1.3720388296142816,0.0,0.0,0.0,0.5403005305696746,0.0,0.0,0.0,0.9004796446888932,0.0,0.0,0.0,0.4373835376900006,0.0,0.0,0.0,0.39190633509398554,0.0,0.0,0.0,0.6216581292691961,6.773471969466868
t6,0.0,0.0,0.0,0.3579969014381902,0.0,0.0,0.0,1.1954021572457303,0.0,0.0,0.0,0.45871201011223317,0.0,0.0,0.0,0.528525105312017,0.0,0.0,0.0,1.2893452614742178,0.0,0.0,0.0,0.5895850416374966,0.0,0.0,0.0,1.3644249591298618,0.0,0.0,0.0,0.44460762977567725,0.0,0.0,0.0,0.4043256951651267,0.0,0.0,0.0,0.727167389363551,7.360092150654101
t7,0.0,0.0,0.0,0.36921766721612065,0.0,0.0,0.0,3.0423593774526143,0.0,0.0,0.0,0.4302405687807953,0.0,0.0,0.0,0.44459428136981494,0.0,0.0,0.0,1.339377360036086,0.0,0.0,0.0,0.3460176220841297,0.0,0.0,0.0,2.6844195059402134,0.0,0.0,0.0,0.32133298217685785,0.0,0.0,0.0,0.39270390921546783,0.0,0.0,0.0,0.7998969357810166,10.170160210053115
t8,0.0,0.0,0.0,0.33542347231424946,0.0,0.0,0.0,1.631157131006516,0.0,0.0,0.0,0.4315357450473929,0.0,0.0,0.0,0.41035111555816495,0.0,0.0,0.0,1.1018330914342993,0.0,0.0,0.0,0.30845045049460507,0.0,0.0,0.0,2.1620704857856463,0.0,0.0,0.0,0.3332752986887598,0.0,0.0,0.0,0.395738843603486,0.0,0.0,0.0,0.7952521889881342,7.905087822921254
t9,0.0,0.0,0.0,0.33989093017460087,0.0,0.0,0.0,1.599608872026749,0.0,0.0,0.0,0.4397862409810054,0.0,0.0,0.0,0.4340274184971067,0.0,0.0,0.0,1.3379007391249096,0.0,0.0,0.0,0.3155148649809877,0.0,0.0,0.0,2.2636039108781274,0.0,0.0,0.0,0.3375845312501782,0.0,0.0,0.0,0.3945620672202986,0.0,0.0,0.0,0.793375159534008,8.25585473466797
t10,0.0,0.0,0.0,0.3230645432394051,0.0,0.0,0.0,0.7976698062358394,0.0,0.0,0.0,0.4483195570420244,0.0,0.0,0.0,0.4518314694574188,0.0,0.0,0.0,1.0339287784397584,0.0,0.0,0.0,0.32389024001742023,0.0,0.0,0.0,0.8877035824362686,0.0,0.0,0.0,0.32942149161491574,0.0,0.0,0.0,0.3916799175112322,0.0,0.0,0.0,0.7315486895509398,5.719058075545223
t11,0.0,0.0,0.0,0.3192009449683847,0.0,0.0,0.0,0.8923592761617357,0.0,0.0,0.0,0.47206052841086626,0.0,0.0,0.0,0.5336988036775194,0.0,0.0,0.0,1.1017197380312669,0.0,0.0,0.0,0.3466020120655206,0.0,0.0,0.0,0.892329162586142,0.0,0.0,0.0,0.290160543223447,0.0,0.0,0.0,0.4025976775879101,0.0,0.0,0.0,0.7383919901293353,5.989120676842128
