,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level
t48,13.100512277247685,-16.9414383615091,40.959590307021344,0.0,0.0,0.0,0.0,0.0,0.0
t49,10.840512277247685,-16.9414383615091,47.06051639128276,0.0,0.0,0.0,0.0,0.0,0.0
t50,10.390512277247685,-16.9414383615091,53.61144247554417,0.0,0.0,0.0,0.0,0.0,0.0
t51,10.890512277247685,-16.9414383615091,59.662368559805586,0.0,0.0,0.0,0.0,0.0,0.0
t52,13.200512277247686,-16.9414383615091,63.403294644067,0.0,0.0,0.0,0.0,0.0,0.0
t53,16.9414383615091,-16.9414383615091,63.403294644067,0.0,0.0,0.0,0.0,0.0,0.0
t54,16.9414383615091,-16.9414383615091,63.403294644067,0.0,0.0,0.0,0.0,0.0,0.0
t55,16.9414383615091,-16.9414383615091,63.403294644067,0.0,0.0,0.0,0.0,0.0,0.0
t56,16.9414383615091,-16.9414383615091,63.403294644067,0.0,0.0,0.0,0.0,0.0,0.0
t57,16.9414383615091,-16.9414383615091,63.403294644067,0.0,0.0,0.0,0.0,0.0,0.0
t58,16.9414383615091,-16.9414383615091,63.403294644067,0.0,0.0,0.0,0.0,0.0,0.0
t59,16.9414383615091,-16.9414383615091,63.403294644066996,0.0,0.0,0.0,0.0,0.0,0.0
t60,16.9414383615091,0.0,46.461856282557896,0.0,0.0,0.0,0.0,0.0,0.0
t61,16.9414383615091,-16.9414383615091,46.4618562825579,0.0,0.0,0.0,0.0,0.0,0.0
t62,16.9414383615091,-16.9414383615091,46.4618562825579,0.0,0.0,0.0,0.0,0.0,0.0
t63,16.9414383615091,0.0,29.520417921048804,0.0,0.0,0.0,0.0,0.0,0.0
t64,16.9414383615091,-16.9414383615091,29.52041792104886,0.0,0.0,0.0,0.0,0.0,0.0
t65,16.9414383615091,-16.9414383615091,29.52041792104886,0.0,0.0,0.0,0.0,0.0,0.0
t66,16.9414383615091,-16.9414383615091,29.52041792104886,0.0,0.0,0.0,0.0,0.0,0.0
t67,16.9414383615091,-16.9414383615091,29.52041792104886,0.0,0.0,0.0,0.0,0.0,0.0
t68,16.9414383615091,-16.9414383615091,29.52041792104886,0.0,0.0,0.0,0.0,0.0,0.0
t69,16.9414383615091,-16.9414383615091,29.52041792104886,0.0,0.0,0.0,0.0,0.0,0.0
t70,16.9414383615091,-16.9414383615091,29.52041792104886,0.0,0.0,0.0,0.0,0.0,0.0
t71,13.820512277247685,-16.9414383615091,32.641344005310295,0.0,0.0,0.0,0.0,0.0,0.0
t72,11.790512277247686,-16.9414383615091,37.79227008957171,0.0,0.0,0.0,0.0,0.0,0.0
t73,10.910512277247685,-16.9414383615091,43.823196173833125,0.0,0.0,0.0,0.0,0.0,0.0
t74,10.440512277247684,-16.9414383615091,50.32412225809411,0.0,0.0,0.0,0.0,0.0,0.0
t75,7.423192059797628,-16.9414383615091,59.84236855980558,0.0,0.0,0.0,0.0,0.0,0.0
t76,13.380512277247686,-16.9414383615091,63.403294644066996,0.0,0.0,0.0,0.0,0.0,0.0
t77,16.9414383615091,-16.9414383615091,63.403294644067,0.0,0.0,0.0,0.0,0.0,0.0
t78,16.40802777777776,-16.408027777777747,63.403294644066996,0.0,0.0,0.0,0.0,0.0,0.0
t79,16.9414383615091,-16.9414383615091,63.403294644067,0.0,0.0,0.0,0.0,0.0,0.0
t80,16.9414383615091,-16.9414383615091,63.403294644067,0.0,0.0,0.0,0.0,0.0,0.0
t81,16.9414383615091,0.0,46.4618562825579,0.0,0.0,0.0,0.0,0.0,0.0
t82,16.9414383615091,-16.9414383615091,46.4618562825579,0.0,0.0,0.0,0.0,0.0,0.0
t83,16.9414383615091,-16.9414383615091,46.46185628255789,0.0,0.0,0.0,0.0,0.0,0.0
t84,16.9414383615091,-16.9414383615091,46.46185628255789,0.0,0.0,0.0,0.0,0.0,0.0
t85,16.9414383615091,-16.9414383615091,46.46185628255789,0.0,0.0,0.0,0.0,0.0,0.0
t86,16.9414383615091,-16.9414383615091,46.46185628255789,0.0,0.0,0.0,0.0,0.0,0.0
t87,16.9414383615091,-16.9414383615091,46.46185628255775,0.0,0.0,0.0,0.0,0.0,0.0
t88,16.9414383615091,-16.9414383615091,46.46185628255775,0.0,0.0,0.0,0.0,0.0,0.0
t89,16.9414383615091,-16.9414383615091,46.46185628255775,0.0,0.0,0.0,0.0,0.0,0.0
t90,16.9414383615091,-16.9414383615091,46.46185628255775,0.0,0.0,0.0,0.0,0.0,0.0
t91,16.9414383615091,-0.7317666305314106,30.252184551580058,0.0,0.0,0.0,0.0,0.0,0.0
t92,16.9414383615091,-16.9414383615091,30.252184551580058,0.0,0.0,0.0,0.0,0.0,0.0
t93,16.9414383615091,-16.9414383615091,30.252184551580058,0.0,0.0,0.0,0.0,0.0,0.0
t94,16.9414383615091,-16.9414383615091,30.252184551580058,0.0,0.0,0.0,0.0,0.0,0.0
t95,10.384958690329157,-16.9414383615091,36.80866422275992,0.0,0.0,0.0,0.0,0.0,0.0
t96,11.910512277247685,-16.9414383615091,41.83959030702134,0.0,0.0,0.0,0.0,0.0,0.0
t97,11.010512277247685,-16.9414383615091,47.770516391282754,0.0,0.0,0.0,0.0,0.0,0.0
t98,10.510512277247685,-16.9414383615091,54.20144247554417,0.0,0.0,0.0,0.0,0.0,0.0
t99,11.070512277247685,-16.9414383615091,60.07236855980558,0.0,0.0,0.0,0.0,0.0,0.0
t100,13.610512277247686,-16.9414383615091,63.403294644066996,0.0,0.0,0.0,0.0,0.0,0.0
t101,16.9414383615091,-16.9414383615091,63.403294644066996,0.0,0.0,0.0,0.0,0.0,0.0
t102,15.558027777777745,-15.558027777777752,63.403294644066996,0.0,0.0,0.0,0.0,0.0,0.0
t103,16.9414383615091,-16.9414383615091,63.403294644066996,0.0,0.0,0.0,0.0,0.0,0.0
t104,16.9414383615091,-16.9414383615091,63.403294644066996,0.0,0.0,0.0,0.0,0.0,0.0
t105,16.9414383615091,-14.955889366857264,61.41774564941534,0.0,0.0,0.0,0.0,0.0,0.0
t106,16.9414383615091,-16.9414383615091,61.41774564941534,0.0,0.0,0.0,0.0,0.0,0.0
t107,16.9414383615091,-16.9414383615091,61.41774564941534,0.0,0.0,0.0,0.0,0.0,0.0
t108,16.9414383615091,-16.9414383615091,61.41774564941534,0.0,0.0,0.0,0.0,0.0,0.0
t109,16.9414383615091,-16.9414383615091,61.41774564941545,0.0,0.0,0.0,0.0,0.0,0.0
t110,16.9414383615091,0.0,44.47630728790635,0.0,0.0,0.0,0.0,0.0,0.0
t111,16.9414383615091,0.0,27.53486892639725,0.0,0.0,0.0,0.0,0.0,0.0
t112,16.9414383615091,-16.9414383615091,27.53486892639725,0.0,0.0,0.0,0.0,0.0,0.0
t113,16.9414383615091,-16.9414383615091,27.53486892639725,0.0,0.0,0.0,0.0,0.0,0.0
t114,16.9414383615091,-16.9414383615091,27.53486892639725,0.0,0.0,0.0,0.0,0.0,0.0
t115,16.9414383615091,-16.9414383615091,27.53486892639725,0.0,0.0,0.0,0.0,0.0,0.0
t116,16.9414383615091,-13.082472222222194,23.675902787110346,0.0,0.0,0.0,0.0,0.0,0.0
t117,16.9414383615091,-16.9414383615091,23.675902787110346,0.0,0.0,0.0,0.0,0.0,0.0
t118,16.9414383615091,-16.9414383615091,23.675902787110346,0.0,0.0,0.0,0.0,0.0,0.0
t119,14.300512277247686,-16.9414383615091,26.316828871371758,0.0,0.0,0.0,0.0,0.0,0.0
t120,12.060512277247685,-16.9414383615091,31.197754955633172,0.0,0.0,0.0,0.0,0.0,0.0
t121,12.010512277247685,-16.9414383615091,36.12868103989459,0.0,0.0,0.0,0.0,0.0,0.0
t122,11.170512277247685,-16.9414383615091,41.899607124156006,0.0,0.0,0.0,0.0,0.0,0.0
t123,11.110512277247686,-16.9414383615091,47.73053320841742,0.0,0.0,0.0,0.0,0.0,0.0
t124,11.890512277247685,-16.9414383615091,52.78145929267883,0.0,0.0,0.0,0.0,0.0,0.0
t125,6.3196030101231315,-16.9414383615091,63.403294644066996,0.0,0.0,0.0,0.0,0.0,0.0
t126,16.9414383615091,-16.9414383615091,63.403294644067,0.0,0.0,0.0,0.0,0.0,0.0
t127,16.9414383615091,-16.9414383615091,63.403294644067,0.0,0.0,0.0,0.0,0.0,0.0
t128,16.9414383615091,-16.9414383615091,63.403294644066996,0.0,0.0,0.0,0.0,0.0,0.0
t129,16.9414383615091,0.0,46.461856282557896,0.0,0.0,0.0,0.0,0.0,0.0
t130,16.9414383615091,-16.9414383615091,46.461856282557896,0.0,0.0,0.0,0.0,0.0,0.0
t131,16.9414383615091,-16.9414383615091,46.461856282557896,0.0,0.0,0.0,0.0,0.0,0.0
t132,16.9414383615091,0.0,29.520417921048796,0.0,0.0,0.0,0.0,0.0,0.0
t133,16.9414383615091,-16.9414383615091,29.520417921048796,0.0,0.0,0.0,0.0,0.0,0.0
t134,16.9414383615091,-16.9414383615091,29.520417921048796,0.0,0.0,0.0,0.0,0.0,0.0
t135,16.9414383615091,-16.9414383615091,29.520417921048796,0.0,0.0,0.0,0.0,0.0,0.0
t136,16.9414383615091,-16.9414383615091,29.52041792104886,0.0,0.0,0.0,0.0,0.0,0.0
t137,16.9414383615091,-16.9414383615091,29.52041792104886,0.0,0.0,0.0,0.0,0.0,0.0
t138,16.9414383615091,-1.7603160441538392,14.3392956036936,0.0,0.0,0.0,0.0,0.0,0.0
t139,16.9414383615091,-16.9414383615091,14.339295603693614,0.0,0.0,0.0,0.0,0.0,0.0
t140,16.9414383615091,-8.942472222222193,6.3403294644067,0.0,0.0,0.0,0.0,0.0,0.0
t141,16.941438361509064,-16.9414383615091,6.3403294644067,0.0,0.0,0.0,0.0,0.0,0.0
t142,16.9414383615091,-16.9414383615091,6.3403294644067,0.0,0.0,0.0,0.0,0.0,0.0
t143,16.350512277247685,-16.9414383615091,6.9312555486681156,0.0,0.0,0.0,0.0,0.0,0.0
t144,13.810512277247685,-16.9414383615091,10.06218163292953,0.0,0.0,0.0,0.0,0.0,0.0
t145,12.030512277247684,-16.9414383615091,14.973107717190945,0.0,0.0,0.0,0.0,0.0,0.0
t146,12.860512277247686,-16.9414383615091,19.0540338014524,0.0,0.0,0.0,0.0,0.0,0.0
t147,10.510512277247685,-16.9414383615091,25.484959885713817,0.0,0.0,0.0,0.0,0.0,0.0
t148,11.270512277247686,-16.9414383615091,31.15588596997523,0.0,0.0,0.0,0.0,0.0,0.0
t149,13.110512277247686,-16.9414383615091,34.986812054236644,0.0,0.0,0.0,0.0,0.0,0.0
t150,15.650512277247685,-16.9414383615091,36.27773813849806,0.0,0.0,0.0,0.0,0.0,0.0
t151,16.9414383615091,-16.9414383615091,36.277738138498066,0.0,0.0,0.0,0.0,0.0,0.0
t152,16.9414383615091,-16.9414383615091,36.277738138498066,0.0,0.0,0.0,0.0,0.0,0.0
t153,16.9414383615091,-16.9414383615091,36.277738138498066,0.0,0.0,0.0,0.0,0.0,0.0
t154,16.9414383615091,-16.9414383615091,36.277738138498066,0.0,0.0,0.0,0.0,0.0,0.0
t155,16.9414383615091,-16.9414383615091,36.277738138498066,0.0,0.0,0.0,0.0,0.0,0.0
t156,16.9414383615091,-16.9414383615091,36.277738138498066,0.0,0.0,0.0,0.0,0.0,0.0
t157,16.9414383615091,-16.9414383615091,36.277738138498066,0.0,0.0,0.0,0.0,0.0,0.0
t158,16.9414383615091,-16.9414383615091,36.277738138498066,0.0,0.0,0.0,0.0,0.0,0.0
t159,16.9414383615091,-16.9414383615091,36.27773813849841,0.0,0.0,0.0,0.0,0.0,0.0
t160,16.9414383615091,-16.9414383615091,36.27773813849841,0.0,0.0,0.0,0.0,0.0,0.0
t161,16.9414383615091,-16.9414383615091,36.27773813849841,0.0,0.0,0.0,0.0,0.0,0.0
t162,16.9414383615091,-16.9414383615091,36.27773813849841,0.0,0.0,0.0,0.0,0.0,0.0
t163,16.9414383615091,-16.9414383615091,36.27773813849841,0.0,0.0,0.0,0.0,0.0,0.0
t164,16.9414383615091,-16.9414383615091,36.27773813849841,0.0,0.0,0.0,0.0,0.0,0.0
t165,16.9414383615091,-16.9414383615091,36.27773813849841,0.0,0.0,0.0,0.0,0.0,0.0
t166,16.9414383615091,-16.9414383615091,36.27773813849841,0.0,0.0,0.0,0.0,0.0,0.0
t167,15.710512277247684,-16.9414383615091,37.50866422275992,0.0,0.0,0.0,0.0,0.0,0.0
t168,13.620512277247684,-16.9414383615091,40.829590307021334,0.0,0.0,0.0,0.0,0.0,0.0
