,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level
Pipe,1,1,1,2,2,2,3,3,3
Zone,"[""z1""]","[""z2""]",NA,"[""z1""]","[""z3""]",NA,"[""z2""]","[""z3""]",NA
t1,10.770512277247686,-16.9414383615091,47.000516391282744,0.0,0.0,0.0,0.0,0.0,0.0
t2,10.370512277247686,-16.9414383615091,53.57144247554416,0.0,0.0,0.0,0.0,0.0,0.0
t3,10.900512277247685,-16.9414383615091,59.612368559805574,0.0,0.0,0.0,0.0,0.0,0.0
t4,13.150512277247685,-16.9414383615091,63.40329464406699,0.0,0.0,0.0,0.0,0.0,0.0
t5,16.9414383615091,-16.9414383615091,63.40329464406699,0.0,0.0,0.0,0.0,0.0,0.0
t6,16.9414383615091,-16.9414383615091,63.40329464406699,0.0,0.0,0.0,0.0,0.0,0.0
t7,16.9414383615091,-16.9414383615091,63.403294644067,0.0,0.0,0.0,0.0,0.0,0.0
t8,16.9414383615091,-16.9414383615091,63.403294644066996,0.0,0.0,0.0,0.0,0.0,0.0
t9,16.9414383615091,-16.9414383615091,63.40329464406703,0.0,0.0,0.0,0.0,0.0,0.0
t10,16.9414383615091,-16.9414383615091,63.40329464406703,0.0,0.0,0.0,0.0,0.0,0.0
t11,16.9414383615091,-16.9414383615091,63.40329464406703,0.0,0.0,0.0,0.0,0.0,0.0
t12,16.9414383615091,-16.9414383615091,63.40329464406703,0.0,0.0,0.0,0.0,0.0,0.0
t13,16.9414383615091,-16.9414383615091,63.40329464406703,0.0,0.0,0.0,0.0,0.0,0.0
t14,16.9414383615091,0.0,46.46185628255793,0.0,0.0,0.0,0.0,0.0,0.0
t15,16.9414383615091,0.0,29.520417921048832,0.0,0.0,0.0,0.0,0.0,0.0
t16,8.559383488974674,-2.320733393841642,23.2817678259158,0.0,0.0,0.0,0.0,0.0,0.0
t17,16.9414383615091,0.0,6.3403294644067,0.0,0.0,0.0,0.0,0.0,0.0
t18,16.9414383615091,-16.9414383615091,6.3403294644067,0.0,0.0,0.0,0.0,0.0,0.0
t19,16.941438361508517,-16.9414383615091,6.3403294644067,0.0,0.0,0.0,0.0,0.0,0.0
t20,13.81,-16.9414383615091,9.4717678259158,0.0,0.0,0.0,0.0,0.0,0.0
t21,16.9414383615091,-16.9414383615091,9.4717678259158,0.0,0.0,0.0,0.0,0.0,0.0
t22,16.470512277247686,-16.9414383615091,9.942693910177214,0.0,0.0,0.0,0.0,0.0,0.0
t23,13.680512277247686,-16.9414383615091,13.203619994438627,0.0,0.0,0.0,0.0,0.0,0.0
t24,2.68,-16.9414383615091,27.465058355947725,0.0,0.0,0.0,0.0,0.0,0.0
t25,11.640512277247685,-16.9414383615091,32.76598444020914,0.0,0.0,0.0,0.0,0.0,0.0
t26,10.950512277247686,-16.9414383615091,38.756910524470555,0.0,0.0,0.0,0.0,0.0,0.0
t27,10.810512277247685,-16.9414383615091,44.88783660873197,0.0,0.0,0.0,0.0,0.0,0.0
t28,11.610512277247686,-16.9414383615091,50.21876269299339,0.0,0.0,0.0,0.0,0.0,0.0
t29,13.580512277247685,-16.9414383615091,53.5796887772548,0.0,0.0,0.0,0.0,0.0,0.0
t30,16.420512277247685,-16.9414383615091,54.10061486151622,0.0,0.0,0.0,0.0,0.0,0.0
t31,16.9414383615091,-16.9414383615091,54.10061486151622,0.0,0.0,0.0,0.0,0.0,0.0
t32,16.9414383615091,-16.9414383615091,54.10061486151622,0.0,0.0,0.0,0.0,0.0,0.0
t33,16.9414383615091,-12.125689147837804,49.284865647844924,0.0,0.0,0.0,0.0,0.0,0.0
t34,16.9414383615091,-16.9414383615091,49.284865647844924,0.0,0.0,0.0,0.0,0.0,0.0
t35,16.9414383615091,-16.9414383615091,49.284865647844924,0.0,0.0,0.0,0.0,0.0,0.0
t36,16.9414383615091,-16.9414383615091,49.284865647844924,0.0,0.0,0.0,0.0,0.0,0.0
t37,16.9414383615091,-16.9414383615091,49.284865647844924,0.0,0.0,0.0,0.0,0.0,0.0
t38,16.9414383615091,-7.944374689607275,40.287801975943104,0.0,0.0,0.0,0.0,0.0,0.0
t39,16.9414383615091,-12.181374524064518,35.52773813849852,0.0,0.0,0.0,0.0,0.0,0.0
t40,16.9414383615091,-16.9414383615091,35.52773813849852,0.0,0.0,0.0,0.0,0.0,0.0
t41,16.9414383615091,-16.9414383615091,35.52773813849852,0.0,0.0,0.0,0.0,0.0,0.0
t42,16.9414383615091,-16.9414383615091,35.52773813849852,0.0,0.0,0.0,0.0,0.0,0.0
t43,16.9414383615091,-16.9414383615091,35.52773813849852,0.0,0.0,0.0,0.0,0.0,0.0
t44,16.9414383615091,-16.9414383615091,35.52773813849852,0.0,0.0,0.0,0.0,0.0,0.0
t45,16.9414383615091,-16.9414383615091,35.52773813849852,0.0,0.0,0.0,0.0,0.0,0.0
t46,16.9414383615091,-16.9414383615091,35.52773813849852,0.0,0.0,0.0,0.0,0.0,0.0
t47,15.350512277247685,-16.9414383615091,37.11866422275993,0.0,0.0,0.0,0.0,0.0,0.0
