Resource,Small_Electrolyzer_1,Small_Electrolyzer_2,Small_Electrolyzer_3,Flex_Demand_1,Large_SMR_1,Large_SMR_2,Large_SMR_3,Large_SMR_wCCS_90pct_1,Large_SMR_wCCS_90pct_2,Large_SMR_wCCS_90pct_3,Above_ground_storage_1,Above_ground_storage_2,Above_ground_storage_3
Zone,1,2,3,2,1,2,3,1,2,3,1,2,3
t1,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,106.82555446529211,566.76680885052,244.03892261904747
t2,0.0,0.0,0.0,0.3999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,115.9760667425398,640.527842711233,274.3160059523808
t3,0.0,0.0,0.0,-4.8740000000000006,0.0,0.0,0.0,0.0,0.0,0.0,125.12657901978748,714.2888765719462,304.59308928571414
t4,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,134.27709129703516,781.5239104326592,327.5169642857145
t5,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,142.97852965854426,822.9349442933724,343.6440476190478
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.50996802005335,837.9259781540857,348.3211309523811
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.66140638156244,829.0370120147987,345.5082142857144
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.36284474307155,805.7180458755118,337.2652976190477
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.06428310458065,776.5490797362249,326.822380952381
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.57572146608976,740.360113596938,313.72946428571436
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.10715982759885,680.7811474576512,291.8265476190477
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.98859818910795,611.4521813183643,266.253630952381
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.07003655061705,537.4432151790774,238.92071428571433
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.24889197339334,483.4956874012995,212.76779761904766
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.13033033490244,431.1081596235217,187.19488095238097
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.749713823877116,383.0298984519022,164.12196428571428
t17,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,56.081152185386216,349.0723706741244,143.9890476190476
t18,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,51.26259054689531,314.9434045348376,130.16613095238094
t19,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,50.08402890840382,302.2544383955507,124.42321428571427
t20,0.0,0.0,0.0,8.4,0.0,0.0,0.0,0.0,0.0,0.0,50.08402890840382,302.2544383955507,124.78058928571426
t21,0.0,0.0,0.0,1.2000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,56.52546726991292,322.4054722562638,135.91767261904758
t22,0.0,0.0,0.0,1.2000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,65.67597954716061,369.26650611697687,154.1047559523809
t23,0.0,0.0,0.0,0.8399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,74.8264918244083,432.10753997768995,178.46183928571423
t24,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,74.8264918244083,494.78332661618083,203.48921428571424
t25,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,83.97700410165598,568.5443604768939,232.35629761904755
t26,0.0,0.0,0.0,0.011999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,93.12751637890366,642.3053943376069,259.32367261904756
t27,0.0,0.0,0.0,0.011999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,102.27802865615135,716.06642819832,289.6007559523809
t28,0.0,0.0,0.0,0.011999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,111.42854093339903,789.827462059033,318.54783928571413
t29,0.0,0.0,0.0,0.0011999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,120.57905321064672,853.636495919746,343.1249226190475
t30,0.0,0.0,0.0,0.0011999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,129.7295654878944,900.7475297804591,361.4020059523808
t31,0.0,0.0,0.0,0.0011999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,135.6910038494035,926.0485636411722,371.4690892857142
t32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.6324422109126,927.708264168552,372.6361726190475
t33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.62388057242168,910.9550472429364,365.0532559523808
t34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.5453189339308,877.1560811036495,352.86033928571413
t35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.8067572954399,839.4871149643626,339.20742261904746
t36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.12819565694899,796.3181488250757,323.4845059523808
t37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.9996340184581,744.5891826857888,304.5415892857141
t38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.7910723799672,695.5372802184038,283.2186726190474
t39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.4125107414763,635.3183779165615,259.2857559523808
t40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.37394910298539,566.4694117772747,233.8928392857141
