Costs,Total,Zone1,Zone2,Zone3
cH2Total,1.157480938851932e9,6.930837203485888e6,8.572211441011773e8,2.7964638290382576e8
cH2Fix,5.158983431755678e8,6.930837203485888e6,3.8211893889176434e8,1.2684889303529392e8
cH2Var,6.278996950779414e8,0.0,4.75102205209413e8,1.5279748986853182e8
cH2NSE,0.0,0.0,0.0,0.0
cH2Start,0.0,0.0,0.0,0.0
cNetworkExp,1.3682900598422868e7,-,-,-
