Zone,1,2,3,Total
AnnualSum,0.0,8.379048e6,2.6948385e6,1.1073886e7
t1,0.0,902.1126742128934,304.7814639195099,1206.8941381324032
t2,0.0,917.0559942007752,296.8597039259339,1213.9156981267092
t3,0.0,961.8859541644212,307.4820639173199,1269.368018081741
t4,0.0,961.8859541644212,286.2084625179079,1248.094416682329
t5,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t6,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t7,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t8,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t9,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t10,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t11,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t12,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t13,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t14,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t15,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t16,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t17,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t18,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t19,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t20,0.0,920.0173473842344,278.6782895240111,1198.6956369082454
t21,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t22,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t23,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t24,0.0,865.6973587479789,278.6782895240111,1144.37564827199
t25,0.0,948.5629941752253,309.64254391556796,1258.2055380907932
t26,0.0,913.0050942040601,278.6782895240111,1191.6833837280712
t27,0.0,904.5432142109222,305.6816639187799,1210.2248781297021
t28,0.0,946.7625941766852,309.64254391556796,1256.405138092253
t29,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t30,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t31,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t32,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t33,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t34,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t35,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t36,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t37,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t38,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t39,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t40,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t41,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t42,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t43,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t44,0.0,943.2425073654005,309.64254391556796,1252.8850512809684
t45,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t46,0.0,961.8859541644212,301.54862067213406,1263.4345748365552
t47,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t48,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t49,0.0,871.500682577118,278.6782895240111,1150.1789721011291
t50,0.0,882.0382142291722,297.21978392564193,1179.2579981548142
t51,0.0,908.7741542074912,278.6782895240111,1187.4524437315022
t52,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t53,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t54,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t55,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t56,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t57,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t58,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t59,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t60,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t61,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t62,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t63,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t64,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t65,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t66,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t67,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t68,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t69,0.0,961.8859541644212,278.6782895240111,1240.5642436884323
t70,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t71,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t72,0.0,956.4847541688011,309.64254391556796,1266.1272980843692
t73,0.0,909.7643742066882,307.6621039171739,1217.4264781238621
t74,0.0,865.6973587479789,278.6782895240111,1144.37564827199
t75,0.0,912.9150742041332,308.8323639162249,1221.747438120358
t76,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t77,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t78,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t79,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t80,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t81,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t82,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t83,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t84,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t85,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t86,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t87,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t88,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t89,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t90,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t91,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t92,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t93,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t94,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t95,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t96,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t97,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t98,0.0,961.8859541644212,299.7403439235979,1261.626298088019
t99,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t100,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t101,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t102,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t103,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t104,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t105,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t106,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t107,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t108,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t109,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t110,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t111,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t112,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t113,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t114,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t115,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t116,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t117,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t118,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t119,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t120,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t121,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t122,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t123,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t124,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t125,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t126,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t127,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t128,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t129,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t130,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t131,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t132,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t133,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t134,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t135,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t136,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t137,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t138,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t139,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t140,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t141,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t142,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t143,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t144,0.0,961.8859541644212,278.6782895240111,1240.5642436884323
t145,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t146,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t147,0.0,889.6299008896825,299.6503239236709,1189.2802248133535
t148,0.0,953.3779488664205,309.64254391556796,1263.0204927819884
