Resource,Small_Electrolyzer_1,Small_Electrolyzer_2,Small_Electrolyzer_3,Flex_Demand_1,Large_SMR_1,Large_SMR_2,Large_SMR_3,Large_SMR_wCCS_90pct_1,Large_SMR_wCCS_90pct_2,Large_SMR_wCCS_90pct_3,Above_ground_storage_1,Above_ground_storage_2,Above_ground_storage_3
Zone,1,2,3,2,1,2,3,1,2,3,1,2,3
AnnualSum,0.0,0.0,0.0,4848.1494,0.0,930798.5,299359.97,0.0,0.0,0.0,30416.02,203791.33,80086.04
t1,0.0,0.0,0.0,0.0,0.0,100.2124722222222,33.85708333333333,0.0,0.0,0.0,0.0,0.0,0.0
t2,0.0,0.0,0.0,4.0,0.0,101.8724722222222,32.977083333333326,0.0,0.0,0.0,0.0,0.0,0.0
t3,0.0,0.0,0.0,5.860000000000001,0.0,106.85247222222219,34.157083333333325,0.0,0.0,0.0,0.0,0.0,0.0
t4,0.0,0.0,0.0,0.0,0.0,106.85247222222219,31.793875000000348,0.0,0.0,0.0,0.0,0.0,0.0
t5,0.0,0.0,0.0,0.0,0.0,106.85247222222219,34.39708333333333,0.0,0.0,0.0,0.0,0.0,0.0
t6,0.0,0.0,0.0,0.0,0.0,106.85247222222219,34.39708333333333,0.0,0.0,0.0,0.0,0.0,0.0
t7,0.0,0.0,0.0,0.0,0.0,106.85247222222219,34.39708333333333,0.0,0.0,0.0,0.0,8.888966139286907,2.8129166666666734
t8,0.0,0.0,0.0,0.0,0.0,106.85247222222219,34.39708333333333,0.0,0.0,0.0,2.2985616384908987,23.318966139286914,8.242916666666673
t9,0.0,0.0,0.0,0.0,0.0,106.85247222222219,34.39708333333333,0.0,0.0,0.0,3.2985616384908987,29.16896613928691,10.442916666666676
t10,0.0,0.0,0.0,0.0,0.0,106.85247222222219,34.39708333333333,0.0,0.0,0.0,4.4885616384909,36.18896613928692,13.092916666666675
t11,0.0,0.0,0.0,0.0,0.0,106.85247222222219,34.39708333333333,0.0,0.0,0.0,8.4685616384909,59.578966139286905,21.90291666666667
t12,0.0,0.0,0.0,0.0,0.0,106.85247222222219,34.39708333333333,0.0,0.0,0.0,10.118561638490899,69.3289661392869,25.57291666666667
t13,0.0,0.0,0.0,0.0,0.0,106.85247222222219,34.39708333333333,0.0,0.0,0.0,10.9185616384909,74.00896613928691,27.33291666666667
t14,0.0,0.0,0.0,0.0,0.0,106.85247222222219,34.39708333333333,0.0,0.0,0.0,15.821144577223706,53.94752777777782,26.15291666666667
t15,0.0,0.0,0.0,0.0,0.0,106.85247222222219,34.39708333333333,0.0,0.0,0.0,10.118561638490899,52.38752777777782,25.57291666666667
t16,0.0,0.0,0.0,0.0,0.0,106.85247222222219,34.39708333333333,0.0,0.0,0.0,17.380616511025327,48.07826117161946,23.07291666666667
t17,0.0,0.0,0.0,0.0,0.0,106.85247222222219,34.39708333333333,0.0,0.0,0.0,7.6685616384909,33.95752777777781,20.132916666666674
t18,0.0,0.0,0.0,0.0,0.0,106.85247222222219,34.39708333333333,0.0,0.0,0.0,4.818561638490902,34.128966139286916,13.822916666666671
t19,0.0,0.0,0.0,0.0,0.0,106.85247222222219,34.39708333333333,0.0,0.0,0.0,1.1785616384914839,12.688966139286904,5.742916666666673
t20,0.0,0.0,0.0,4.0,0.0,102.2014383615091,30.957374999999995,0.0,0.0,0.0,0.0,0.0,0.0
t21,0.0,0.0,0.0,8.0,0.0,106.85247222222219,34.39708333333333,0.0,0.0,0.0,0.0,0.0,0.0
t22,0.0,0.0,0.0,0.0,0.0,106.85247222222219,34.39708333333333,0.0,0.0,0.0,0.0,0.0,0.0
t23,0.0,0.0,0.0,0.40000000000000036,0.0,106.85247222222219,34.39708333333333,0.0,0.0,0.0,0.0,0.0,0.0
t24,0.0,0.0,0.0,0.7999999999999998,0.0,96.16722499999996,30.957374999999995,0.0,0.0,0.0,0.0,0.0,0.0
