Resource,Zone,StartCap,RetCap,NewCap,EndCap
CCGT-H2_1.0,1.0,0,0.00017236047217735164,4.21256652164653,4.212394161174353
Fuel_cell_1.0,1.0,0,0.00011460903619849861,0.24401401384110152,0.24389940480490302
CCGT-H2_2.0,2.0,0,0.0001743789358701845,3.3701851393818467,3.3700107604459766
Fuel_cell_2.0,2.0,0,0.00011475327208152223,0.22338864803946923,0.2232738947673877
CCGT-H2_3.0,3.0,0,0.0001711683484938511,5.853995123174068,5.8538239548255735
Fuel_cell_3.0,3.0,0,0.00011510212530052142,0.23695536510102075,0.23684026297572022
CCGT-H2_4.0,4.0,0,0.00017430207139999113,3.075508804753904,3.0753345026825043
Fuel_cell_4.0,4.0,0,0.00011450974952464187,0.22077986520774143,0.22066535545821678
CCGT-H2_5.0,5.0,0,0.00017008567695998166,1.461150170182103,1.460980084505143
Fuel_cell_5.0,5.0,0,0.00011472612941159087,0.1793723099335947,0.1792575838041831
CCGT-H2_6.0,6.0,0,0.00014808018763023414,841.8977467491336,841.897598668946
Fuel_cell_6.0,6.0,0,0.00011600308887568046,0.33811296045366745,0.3379969573647918
CCGT-H2_7.0,7.0,0,0.00017639708535507063,612.3646370448552,612.3644606477698
Fuel_cell_7.0,7.0,0,0.00011488075107545897,0.269140004583916,0.26902512383284055
CCGT-H2_8.0,8.0,0,0.00016907625265183407,3059.411009517869,3059.410840441616
Fuel_cell_8.0,8.0,0,0.00011505656866910485,0.3051483372421627,0.3050332806734936
CCGT-H2_9.0,9.0,0,0.00017080800615396332,0.6548563909375318,0.6546855829313778
Fuel_cell_9.0,9.0,0,0.00011526917181455958,0.12665890774283645,0.12654363857102188
CCGT-H2_10.0,10.0,0,0.000166986625800317,4.639736614630346,4.639569628004545
Fuel_cell_10.0,10.0,0,0.0001152250156107659,0.22814785437198098,0.22803262935637023
Total,n/a,0,0.0028437785710551237,4539.3131103430815,4539.31026656451
