Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3
50000,1,1,1,50000,1,8760,8760,1,85107,69584,38672
,,,,,,,,2,81088,67617,37540
,,,,,,,,3,80049,67714,37547
,,,,,,,,4,80013,67701,37418
,,,,,,,,5,82646,71004,39549
,,,,,,,,6,92216,79789,44578
,,,,,,,,7,97457,82796,46529
,,,,,,,,8,107367,90046,50651
,,,,,,,,9,115952,92721,52009
,,,,,,,,10,122596,95861,53842
,,,,,,,,11,125155,93904,52635
,,,,,,,,12,128580,95516,53614
,,,,,,,,13,129802,94635,53150
,,,,,,,,14,126979,90332,50722
,,,,,,,,15,126331,90396,50866
,,,,,,,,16,131200,94758,53787
,,,,,,,,17,136648,99213,56705
,,,,,,,,18,139817,99041,56160
,,,,,,,,19,138121,97675,55334
,,,,,,,,20,129216,90467,51153
,,,,,,,,21,118674,84885,47922
,,,,,,,,22,108031,78146,43675
,,,,,,,,23,98462,73146,40308
,,,,,,,,24,92429,74169,37808
,,,,,,,,25,88864,70843,35664
,,,,,,,,26,85577,68878,34650
,,,,,,,,27,85212,69375,35130
,,,,,,,,28,85742,69423,35128
,,,,,,,,29,88309,71478,36114
,,,,,,,,30,96817,79040,40430
,,,,,,,,31,106360,85803,44086
,,,,,,,,32,118027,95280,49824
,,,,,,,,33,127399,99414,52780
,,,,,,,,34,133297,102137,54726
,,,,,,,,35,135775,100262,54468
,,,,,,,,36,138488,102327,55798
,,,,,,,,37,139664,101427,55506
,,,,,,,,38,136588,97135,53197
,,,,,,,,39,135699,97614,53597
,,,,,,,,40,140723,102427,56934
,,,,,,,,41,147384,108058,60441
,,,,,,,,42,151441,107824,60371
,,,,,,,,43,149355,106183,59319
,,,,,,,,44,140908,99652,55096
,,,,,,,,45,131423,95034,52072
,,,,,,,,46,122009,89649,48366
,,,,,,,,47,113359,85040,45102
,,,,,,,,48,116294,89726,45031
,,,,,,,,49,117812,90183,45080
,,,,,,,,50,119240,90367,44757
,,,,,,,,51,122751,92331,45770
,,,,,,,,52,127962,95842,47633
,,,,,,,,53,138397,105557,53122
,,,,,,,,54,172286,140338,70084
,,,,,,,,55,195489,151425,79587
,,,,,,,,56,197183,147961,78272
,,,,,,,,57,185925,135178,71343
,,,,,,,,58,184543,138317,73545
,,,,,,,,59,182796,135509,72763
,,,,,,,,60,180547,134058,72508
,,,,,,,,61,177007,131409,71231
,,,,,,,,62,174862,130704,71298
,,,,,,,,63,178471,134488,73944
,,,,,,,,64,188557,143016,79650
,,,,,,,,65,205107,155606,87283
,,,,,,,,66,199270,144362,80692
,,,,,,,,67,177293,128801,71403
,,,,,,,,68,164530,123421,68118
,,,,,,,,69,152335,110824,59143
,,,,,,,,70,141173,103468,54462
,,,,,,,,71,132471,98057,50890
,,,,,,,,72,124531,92204,47773
,,,,,,,,73,122710,91790,47506
,,,,,,,,74,123259,91429,47037
,,,,,,,,75,125386,92496,47808
,,,,,,,,76,129214,95218,49427
,,,,,,,,77,139026,104056,54762
,,,,,,,,78,173073,136728,71782
,,,,,,,,79,192873,147756,80864
,,,,,,,,80,191784,144633,79476
,,,,,,,,81,178617,132990,72485
,,,,,,,,82,176244,135944,74663
,,,,,,,,83,174318,133053,73241
,,,,,,,,84,171859,131831,72815
,,,,,,,,85,168444,128996,71435
,,,,,,,,86,166798,128821,71455
,,,,,,,,87,170860,133115,74172
,,,,,,,,88,181471,141963,79986
,,,,,,,,89,197917,153793,87584
,,,,,,,,90,192472,142268,80700
,,,,,,,,91,170728,127321,71799
,,,,,,,,92,157124,121941,68506
,,,,,,,,93,145339,109384,59132
,,,,,,,,94,134779,102033,54403
,,,,,,,,95,125795,96500,51088
,,,,,,,,96,122847,93609,47963
,,,,,,,,97,122364,93469,47577
,,,,,,,,98,123158,93181,47080
,,,,,,,,99,125591,94635,47794
,,,,,,,,100,129947,97723,49295
,,,,,,,,101,140351,107154,54532
,,,,,,,,102,174180,143079,71867
,,,,,,,,103,193369,154278,81289
,,,,,,,,104,193307,150279,80060
,,,,,,,,105,181524,137674,73124
,,,,,,,,106,179496,140421,75413
,,,,,,,,107,177594,137361,74281
,,,,,,,,108,176032,136188,73830
,,,,,,,,109,173022,133412,72519
,,,,,,,,110,171511,132688,72483
,,,,,,,,111,175805,137195,75642
,,,,,,,,112,186378,146201,82030
,,,,,,,,113,202788,158747,89905
,,,,,,,,114,196126,147278,83219
