t,MIDAT_conventional_hydroelectric_1,MIDAT_hydroelectric_pumped_storage_1,MIDAT_natural_gas_fired_combined_cycle_1,MIDAT_natural_gas_fired_combined_cycle_2,MIDAT_natural_gas_fired_combined_cycle_3,MIDAT_natural_gas_fired_combined_cycle_4,MIDAT_natural_gas_fired_combustion_turbine_1,MIDAT_natural_gas_fired_combustion_turbine_2,MIDAT_nuclear_1,MIDAT_nuclear_2,MIDAT_onshore_wind_turbine_1,MIDAT_small_hydroelectric_1,MIDAT_solar_photovoltaic_1,NE_conventional_hydroelectric_1,NE_hydroelectric_pumped_storage_1,NE_natural_gas_fired_combined_cycle_1,NE_natural_gas_fired_combined_cycle_2,NE_natural_gas_fired_combined_cycle_3,NE_natural_gas_fired_combustion_turbine_1,NE_natural_gas_fired_combustion_turbine_2,NE_nuclear_1,NE_nuclear_2,NE_onshore_wind_turbine_1,NE_small_hydroelectric_1,NE_solar_photovoltaic_1,SE_conventional_hydroelectric_1,SE_hydroelectric_pumped_storage_1,SE_natural_gas_fired_combined_cycle_1,SE_natural_gas_fired_combined_cycle_2,SE_natural_gas_fired_combined_cycle_3,SE_natural_gas_fired_combined_cycle_4,SE_natural_gas_fired_combustion_turbine_1,SE_natural_gas_fired_combustion_turbine_2,SE_nuclear_1,SE_nuclear_2,SE_small_hydroelectric_1,SE_solar_photovoltaic_1,SE_naturalgas_ccccsavgcf_conservative_0,SE_naturalgas_ccavgcf_moderate_0,SE_naturalgas_ctavgcf_moderate_0,SE_battery_moderate_0,SE_nuclear_mid_0,MIDAT_naturalgas_ccccsavgcf_conservative_0,MIDAT_naturalgas_ccavgcf_moderate_0,MIDAT_naturalgas_ctavgcf_moderate_0,MIDAT_battery_moderate_0,MIDAT_nuclear_mid_0,NE_naturalgas_ccccsavgcf_conservative_0,NE_naturalgas_ccavgcf_moderate_0,NE_naturalgas_ctavgcf_moderate_0,NE_battery_moderate_0,NE_nuclear_mid_0,NE_offshorewind_class10_moderate_floating_1_1,SE_utilitypv_class1_moderate_70_0_2_1,SE_utilitypv_class1_moderate_70_0_2_2,SE_utilitypv_class1_moderate_70_0_2_3,SE_utilitypv_class1_moderate_70_0_2_4,SE_utilitypv_class1_moderate_70_0_2_5,SE_utilitypv_class1_moderate_70_0_2_6,SE_utilitypv_class1_moderate_70_0_2_7,SE_utilitypv_class1_moderate_70_0_2_8,MIDAT_utilitypv_class1_moderate_70_0_2_1,MIDAT_utilitypv_class1_moderate_70_0_2_2,MIDAT_utilitypv_class1_moderate_70_0_2_3,MIDAT_utilitypv_class1_moderate_70_0_2_4,MIDAT_utilitypv_class1_moderate_70_0_2_5,MIDAT_utilitypv_class1_moderate_70_0_2_6,MIDAT_utilitypv_class1_moderate_70_0_2_7,NE_utilitypv_class1_moderate_70_0_2_1,NE_utilitypv_class1_moderate_70_0_2_2,NE_utilitypv_class1_moderate_70_0_2_3,NE_utilitypv_class1_moderate_70_0_2_4,NE_utilitypv_class1_moderate_70_0_2_5,NE_utilitypv_class1_moderate_70_0_2_6,NE_utilitypv_class1_moderate_70_0_2_7,SE_landbasedwind_class4_moderate_70_1,SE_landbasedwind_class4_moderate_70_2,SE_landbasedwind_class4_moderate_70_3,SE_landbasedwind_class4_moderate_70_4,SE_landbasedwind_class4_moderate_70_5,SE_landbasedwind_class4_moderate_70_6,SE_landbasedwind_class4_moderate_70_7,SE_landbasedwind_class4_moderate_70_8,MIDAT_landbasedwind_class4_moderate_70_1,MIDAT_landbasedwind_class4_moderate_70_2,MIDAT_landbasedwind_class4_moderate_70_3,MIDAT_landbasedwind_class4_moderate_70_4,MIDAT_landbasedwind_class4_moderate_70_5,MIDAT_landbasedwind_class4_moderate_70_6,MIDAT_landbasedwind_class4_moderate_70_7,NE_landbasedwind_class4_moderate_70_1,NE_landbasedwind_class4_moderate_70_2,NE_landbasedwind_class4_moderate_70_3,NE_landbasedwind_class4_moderate_70_4,NE_landbasedwind_class4_moderate_70_5,NE_landbasedwind_class4_moderate_70_6,NE_landbasedwind_class4_moderate_70_7
1,1175.7902580149805,0.0,3.7111890914014237e-13,4.178239239463408e-13,2.113602509688612e-13,3.9539542263397143e-13,2.1565458061760423e-13,2.284601904493486e-13,1830.0000000000855,13327.656000000026,1058.243850727468,79.374311322516,0.0,2429.8755369656596,0.0,3.0395678754047865e-13,3.400746585786503e-13,1.223021736624563e-13,1.959215268779188e-13,2.1511094165467592e-13,1697.8500000000001,1052.3500000000001,1150.2900767697222,489.59551936467403,0.0,900.8840087055097,0.0,3.546252628509248e-13,3.401772873377087e-13,3.7600182400053343e-13,2.6043716705100927e-13,2.1380108051761957e-13,2.0611390240647325e-13,16816.144,1114.0000000000005,81.66486484503,0.0,1.005377517831028e-12,3.852734724198446e-13,2.0050640818414261e-13,4.448341646854115e-12,2.5853506187641572e-12,1.6447587909628459e-12,4.5262207445671675e-13,2.2130049983761225e-13,3.108130008534897e-13,4.309506331235064e-12,9.629964225988443e-13,3.8144392945997316e-13,1.982146301977599e-13,4.2814592561179225e-12,1.8620616349041154e-12,21375.587169038132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.359712799272586e-12,8103.098466371973,24081.085793413713,35264.25714898288,32396.868629975204,1.0291420172334489e-11,3.4565753840732455e-12,5.471929748456131e-12,486.3342475042066,7508.032406100604,2868.7275222561007,53156.99371500003,23219.670386527356,3.738326512018448e-12,16151.552675590978,1.951391993230825e-12,4.076148066465177e-12,23244.49986542273,3.9572594776328066e-12,282.76208343503214,4.5921378648746835e-12,2.1756959940242237e-12
2,942.8771520147594,0.0,3.5830562268403874e-13,4.0192404512435486e-13,2.0743744426095436e-13,3.809496095603014e-13,2.0946149762007618e-13,2.2147644706763001e-13,1220.000000000096,8885.104000000003,1024.2559588909253,79.46631743335199,0.0,2037.328696964121,0.0,3.0087928321045533e-13,3.3604109287261004e-13,1.218495271298405e-13,1.949986511450532e-13,2.1376339980820558e-13,1697.85,1052.3499999999995,1094.9302992491605,489.766967825962,0.0,843.2403084309667,0.0,3.529682723905318e-13,3.386746428281106e-13,3.741078621627051e-13,2.5954931946932573e-13,2.1333960623158011e-13,2.0554631742801595e-13,16816.144,1114.0000000000007,81.794334694845,0.0,9.90975658023707e-13,3.834271348419102e-13,2.0001546959420668e-13,4.469829570930615e-12,2.5580494148970124e-12,1.3996948411192024e-12,4.304243538484696e-13,2.1475512614409035e-13,4.425841246278113e-12,3.3482628222824105e-12,9.33887909613278e-13,3.786290345972793e-13,1.9714859759285133e-13,4.3808118506048924e-12,1.8061560829766547e-12,22614.342631619817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.280016133183749e-12,7883.933557263493,22750.990719907888,31495.51803717364,31898.301104020054,1.0106036171794702e-11,3.4799216859538663e-12,5.320333729336926e-12,455.89972319412675,7217.092827800007,2816.040941269266,52372.34963972072,22170.445743727192,3.6075547327479914e-12,15946.553509325502,1.8997729566894494e-12,3.949891999299157e-12,22344.61557104113,4.037922407776928e-12,272.3372659249121,4.597756040644281e-12,2.1252625568006432e-12
3,709.964046008502,0.0,3.495870631005642e-13,3.9106926311259964e-13,2.0463522270453452e-13,3.711224216807455e-13,2.0648858194333467e-13,2.1752894492235098e-13,1220.0000000000005,8885.103999999996,1007.4155141774067,79.56521879637599,0.0,1644.781856961234,0.0,2.995867394521595e-13,3.34127007754518e-13,1.2169330307369564e-13,1.9473919642463648e-13,2.1331954870891532e-13,1697.8500000000006,1052.3499999999995,1114.6274639625206,489.925350614692,0.0,825.090088023188,0.0,3.5190976508522964e-13,3.376355847473567e-13,3.728595583939641e-13,2.589382499820739e-13,2.1311867511735291e-13,2.05215844252244e-13,16816.144,1114.0000000000011,81.92244361649,0.0,9.80729179042424e-13,3.824887772136673e-13,1.9567817414614553e-13,4.484746622462982e-12,2.5431977839053144e-12,1.2687119024901933e-12,4.168728364219567e-13,2.0733623217051586e-13,4.442002675381537e-12,2.755672194893197e-12,9.164316702654174e-13,3.763094435745073e-13,1.9332035600621046e-13,4.37750052554917e-12,1.7915428055900317e-12,18699.22305662306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.238427270703314e-12,7864.970503451155,22549.658974342274,29965.47182941312,31832.879623783316,9.95404185366642e-12,3.5418417120886064e-12,5.1397331293012695e-12,417.66652573428286,7199.218040317016,2678.469422318131,53026.46880281475,21434.34135689429,3.4721236272334353e-12,16346.380661448993,1.8478859793902585e-12,3.8931254789374066e-12,22832.498747047815,4.155060773212073e-12,268.43515268037027,4.6488189936968335e-12,2.1005920328875157e-12
4,477.0509400085502,0.0,3.4337842465097365e-13,3.830967530772215e-13,2.0257269161763933e-13,3.639594516513194e-13,2.0494147968885606e-13,2.1520908489739924e-13,1220.0,8885.104000000001,974.1647169829802,79.66365601791598,0.0,1588.8163721377136,0.0,2.9950957009855487e-13,3.336032150785921e-13,1.2175923564394528e-13,1.9495054119451724e-13,2.1346094148875543e-13,1697.8500000009342,1052.3499999999246,1136.342200644711,490.10121271474605,0.0,820.1601962014608,0.0,3.5096869286470987e-13,3.368422871043737e-13,3.718298791432137e-13,2.5846587747778716e-13,2.1285726472456917e-13,2.049232355262688e-13,16816.144,1114.0000000000011,82.03456425603501,0.0,9.720617466774724e-13,3.8144787370114957e-13,1.995339204521722e-13,4.505239502100458e-12,2.536442449018258e-12,1.1855352528204374e-12,4.0842108551181825e-13,2.0871569965209006e-13,4.452808016816931e-12,2.543349488623404e-12,9.092782933531969e-13,3.7673348649622945e-13,1.9708095104881973e-13,4.3673841890737866e-12,1.816040407312733e-12,11969.616884416364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0902752890241626e-12,7908.994260528282,22786.719969959686,30123.052221771068,30904.460008585113,9.779906639794401e-12,3.5851388287815773e-12,4.828255669782674e-12,355.6311965591587,7014.491470600585,2319.748984476463,54870.32700737837,21149.68862041354,3.3255583112445006e-12,16543.70882068004,1.7376023543463744e-12,3.860853995712376e-12,22474.36233353993,4.095707847990513e-12,262.7503356424122,4.503387624090512e-12,2.0122439198824954e-12
5,274.6616708731648,0.0,3.3905377109071606e-13,3.7747554058881183e-13,2.010742291843412e-13,3.5887831076377295e-13,2.0423486497272142e-13,2.138473362846252e-13,1220.0000000000011,8885.104,958.9374489718854,79.753820305824,0.0,1981.3632121379208,0.0,3.0061999537844906e-13,3.3450740388030983e-13,1.2202238139091177e-13,1.9578522786590613e-13,2.1439353108269318e-13,1697.8499999881683,1052.3500000013805,1242.1350766857936,490.264383830048,0.0,824.3548213134184,0.0,3.4994268283968877e-13,3.3605409482637257e-13,3.708358039803905e-13,2.579707027582865e-13,2.124647486814146e-13,2.046057837626914e-13,16816.144,1114.0000000000007,82.15575808324,0.0,9.645954938883566e-13,3.798934098118981e-13,1.9911861890584466e-13,4.5032577903236645e-12,2.5351205605513322e-12,1.1275632115887098e-12,4.0345499022239186e-13,2.075036692357008e-13,4.450069489299953e-12,2.4793794822536562e-12,9.12038963038863e-13,3.7922048601442144e-13,1.9795736014695529e-13,4.3829823467796176e-12,1.917894123057131e-12,8824.441742676385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0402414073768324e-12,7816.525777050761,23882.68403283801,30497.3962802607,31764.215995899256,9.52504559420418e-12,3.581838855847943e-12,4.528327392971957e-12,333.745078151821,7305.603980335507,1948.566097649775,57968.50633492481,22184.43219926657,3.2699598937961695e-12,17648.28982440855,1.6349812531599946e-12,3.815142642088035e-12,21903.302755469776,3.790893156876159e-12,269.52829570966844,4.236250230591921e-12,1.949760245158285e-12
6,193.98094050972202,0.0,3.3687052155796057e-13,3.745069816838534e-13,2.002785226123563e-13,3.5623611707405447e-13,2.043643936461557e-13,2.1340107910388018e-13,1219.9999999999993,8885.104,1002.4910370085936,79.863684148368,0.0,2373.910052142988,0.0,3.043393255904194e-13,3.3873017798441616e-13,1.2266617900142248e-13,1.984663088635891e-13,2.1757162433994688e-13,2542.5364493437623,1574.4402551443031,1747.3885806044198,490.42755494535,0.0,831.2739509442223,0.0,3.503766648152032e-13,3.363826669202084e-13,3.7119109841034883e-13,2.5819944871248645e-13,2.1291065071338473e-13,2.048263945499578e-13,16816.144,1113.9999999999995,82.284191368595,0.0,9.62327501732589e-13,3.8117876624768044e-13,1.9537608498108477e-13,4.50236890856966e-12,2.532241544304621e-12,1.0893383024198124e-12,4.0240432876163903e-13,2.0359726637039565e-13,4.4343999995002906e-12,2.4561124530628345e-12,9.378550527671893e-13,3.8740916140184946e-13,1.9785312518431082e-13,5.639456957973056e-12,2.17527234988879e-12,7571.56875679756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.907775870852806e-12,8766.708352744468,27134.98166441305,32540.456680017476,34451.87739593609,9.613590016696638e-12,3.6009625103103563e-12,4.377321607537419e-12,393.64777890215964,8255.066357782185,1757.8954542838392,61495.69303634942,26021.59587640196,3.2083121381636054e-12,20691.405351970578,1.9383300577197333e-12,6.00699007925889e-12,21049.675285884987,5.654771431468131e-12,468.4081748673359,6.48810772292739e-12,2.519433250487541e-12
7,173.99863371081105,0.0,3.3516155963393787e-13,3.7196350532482945e-13,1.9961261588304076e-13,3.539613079931211e-13,2.043870713703991e-13,2.1303678917674133e-13,1220.0,8885.104000000001,987.8030110904815,79.95773163927599,11.079280614193793,2766.4568921386244,0.0,3.083762933993176e-13,3.4348100176013673e-13,1.2348265260325988e-13,2.0154074690234378e-13,2.210429102779633e-13,3391.4614493441795,2100.6152551535533,1654.4733858796728,490.574228114272,36.8916702672306,831.1103015407306,0.0,3.5029195802377137e-13,3.364144154902299e-13,3.711673403984209e-13,2.582620770611448e-13,2.1303503122874822e-13,2.0483800464339242e-13,16816.144,1114.0000000000002,82.40451156288,37.80137811406517,9.595700381531632e-13,3.813961299169541e-13,1.9960035297121365e-13,4.485674619249714e-12,2.5358378649405275e-12,1.0598099359111638e-12,4.0145924665986413e-13,2.0712306944475132e-13,4.421916939448012e-12,2.4488702031876204e-12,9.765952599221966e-13,3.98004558115447e-13,2.057097614786547e-13,692.935738976238,2.4801239326747695e-12,3895.553271490231,4.561790049586687e-15,3100.3450871861096,2.5271768563272018e-14,0.0,0.0,2.2478182349968543e-14,1.397102818230354e-14,0.0,306.96798859824014,1224.7167332961096,3.7624800449888853e-13,0.0,1.6506691066388003e-14,6.697425463704779e-14,0.0,2.730748195111426e-13,798.6314310768155,1.3181081991778747e-13,1.9186135022362788e-13,1.379515033587595e-14,692.2551931285321,2.121757309124802e-14,3.73581394709617e-12,8971.947049245107,27887.67389619336,30759.275886365693,37918.04482760394,9.750848435896334e-12,3.633169015416196e-12,4.219508068271778e-12,395.3734304589798,8745.184843175597,1609.4723693081728,59246.618052047146,27815.606943546743,3.189041266397109e-12,21418.195833435017,1.8886326111372358e-12,6.100718191710918e-12,18817.855349520767,5.68931215971671e-12,465.75235811482895,6.030435199088521e-12,2.6697746895271484e-12
8,168.94683305599915,0.0,3.346533006512465e-13,3.7080210342497853e-13,1.9933873667009585e-13,3.5294413754432785e-13,2.04725773441162e-13,2.1305882340169738e-13,1220.0000000000005,8885.104,978.3638695937667,80.05433862168,133.67934096890826,3159.0037321361356,0.0,3.1142681137267333e-13,3.466332006011425e-13,1.2390912935252727e-13,2.0329950158517294e-13,2.2318574442769881e-13,3395.700000000148,2104.6999999997165,1598.9758455569968,490.76042876049206,333.52088624401074,822.3457737755552,0.0,3.5082284268929585e-13,3.36931385239331e-13,3.7172458377702347e-13,2.586008641636029e-13,2.1347637511031526e-13,2.0509895396676611e-13,16816.144,1114.0,82.525705390085,417.2868463053519,9.595299553329514e-13,3.827490340428356e-13,1.999967391882224e-13,4.5010359097984754e-12,2.545736152218544e-12,1.0381528909173622e-12,4.0225624248758657e-13,2.073908805500189e-13,4.4393051887788936e-12,2.4515440771289737e-12,9.942249312289592e-13,4.0253615047377564e-13,2.0762727270257657e-13,6.55766004044742e-11,2.6817599036595375e-12,1757.26827970865,1.1873297804291145e-13,34070.85707139582,3.558360176762676e-13,1.3702004910056002e-13,957.6472039010281,2.4485011394059984e-13,1.6060712747266582e-13,4.763326120724205e-14,5214.650423147896,13375.39451161414,3.939204284835321e-12,2.8401005919113755e-14,2.686570223747021e-13,6.925504672565549e-13,5.628433316469665e-14,3.2772583887901077e-12,6455.87528495053,1.5739699545231916e-12,2.2974595038270205e-12,2.4303056695641126e-13,5226.425294345973,2.1262560283457545e-13,3.653473053409879e-12,8051.719587620884,22748.112184254376,22687.25397604575,32213.44543943562,9.908449848546065e-12,3.644269270628114e-12,4.148043868065896e-12,389.9354105962006,8245.280925956737,1794.4018948170074,51985.666066665566,25455.636186681804,3.131955296427091e-12,19371.577866190895,1.5313419876937813e-12,5.29660041489159e-12,16630.81161831601,5.15760326456969e-12,481.33237715264977,4.704259439660975e-12,2.3290166831998303e-12
9,170.30594077234736,0.0,3.346925760691709e-13,3.703916129940386e-13,1.992936081125964e-13,3.5258716878196166e-13,2.0513224558547214e-13,2.1328575938340097e-13,1219.9999999999989,8885.104000000005,970.4140012451993,80.14862726607599,276.15791047821483,3551.5505721288782,0.0,3.1375003795992163e-13,3.4904390650095034e-13,1.242188686006951e-13,2.0446068848470958e-13,2.2465325829986167e-13,3395.699999999932,2104.69999999994,1473.5215821710046,490.92413895891804,558.1053379272023,836.2299917228655,0.0,3.511255441042935e-13,3.373066534446081e-13,3.7210014134342906e-13,2.588769281970954e-13,2.1372223072629216e-13,2.0525736481052459e-13,16816.144,1114.0000000000007,82.64498901991,873.7118197771913,9.594011113976946e-13,3.8355965511602397e-13,1.9619179418616644e-13,4.52675143986707e-12,2.557257592157091e-12,1.0233152436350954e-12,4.037533774067918e-13,2.0423695190635788e-13,4.480679295998263e-12,2.4567598935955623e-12,1.008391250918906e-12,4.0662367922057143e-13,2.0518806351122916e-13,1.5823096520499365,2.77749029174697e-12,1139.4506238599702,2.2254734443992354e-13,51617.18038720274,8.573614447526872e-13,5.545484148456328e-13,3314.5324630414793,5.258472174774513e-13,3.877887998690999e-13,1.595042574267239e-13,8999.739443629544,18558.5127981421,6.6403115794887914e-12,1.1308339596250851e-13,6.315949404762885e-13,1.2324999524279906e-12,1.556978732682665e-13,5.199568064922926e-12,8561.485950651082,2.508228530081439e-12,3.4149172612485103e-12,7.140470449499316e-13,7248.356001602986,4.761398347659705e-13,3.720496229628689e-12,7067.200608253674,19882.29039096343,18789.45344962886,29205.459771138405,9.914975715675377e-12,3.4547152785369796e-12,3.841807793222185e-12,417.14042336067047,8105.814179620127,2065.252637718881,46186.11664346069,24248.131537301644,3.032267813607908e-12,18759.64431902981,1.217509721095371e-12,3.795260896979256e-12,13696.877636959976,4.017240881572144e-12,482.324989451688,3.4267488522869576e-12,1.802261040444598e-12
10,170.97908819318636,0.0,3.3413582408470066e-13,3.6936824358544494e-13,1.9903595345745258e-13,3.5162279196734795e-13,2.0508069910676684e-13,2.13185257700759e-13,1220.0,8885.104000000003,954.7315934023239,80.245234511748,293.54368962830154,3944.097412131909,0.0,3.1481481541212757e-13,3.5011923611578043e-13,1.2440287294536025e-13,2.0489156778990081e-13,2.2519737813598593e-13,3395.7000000090616,2104.700000018162,1296.0353590832399,491.07643244493,501.90835867098383,840.6458200259425,0.0,3.510070378955853e-13,3.3731767107655047e-13,3.721280064171868e-13,2.589477394451585e-13,2.1370227747300128e-13,2.0522614270789492e-13,16816.144,1113.9999999999998,82.766259314985,1000.3253773899079,9.578540169941455e-13,3.8343296279738673e-13,2.0018066748205757e-13,4.50535646762283e-12,2.5709740440118528e-12,1.0090789497941873e-12,4.0326886663609644e-13,2.076870003793473e-13,4.462572718954539e-12,2.46090014313437e-12,1.0165468841477399e-12,4.083483840954757e-13,2.09374680838926e-13,6604.407950859287,2.804961689850331e-12,1105.645475591291,2.81697244203222e-13,56435.75986727529,9.525064924755418e-13,5.107762656472076e-13,4205.575526324283,7.216045072449816e-13,5.978225353944863e-13,1.9917123395428723e-13,7088.082450528383,14481.942926213207,6.141558906705936e-12,1.822839823498719e-13,6.358605244271043e-13,1.4771850382840396e-12,2.886027403822379e-13,4.920163420744945e-12,7966.827234111614,1.622146670617787e-12,3.2729473268680773e-12,7.485285197810657e-13,5859.725266034668,6.571064673168736e-13,3.5708485208390212e-12,6144.859938764884,19511.26821361613,16756.462294953042,33695.83036049217,8.666004639268624e-12,3.0727139326597676e-12,3.481726976216999e-12,395.9382388370918,8265.584594776801,2215.9404725967747,49741.03414670013,27010.347794265926,2.851419955023257e-12,20517.260172546175,8.536037446485583e-13,2.7867956532390463e-12,9385.108160035496,2.647940508375393e-12,461.2638756656751,3.1537661552615937e-12,1.6105336528176333e-12
