t,SE_Electrolyzer,MIDAT_Electrolyzer,NE_Electrolyzer,SE_Large_SMR_wCCS_96pct,MIDAT_Large_SMR_wCCS_96pct,NE_Large_SMR_wCCS_96pct,SE_ATR_wCCS_94pct,MIDAT_ATR_wCCS_94pct,NE_ATR_wCCS_94pct,SE_Above_ground_storage,MIDAT_Above_ground_storage,NE_Above_ground_storage
1,23736.250272726895,29872.887266952956,3866.380425268023,2.5809843906017087e-12,2.8955419561105325e-12,1.7226926998600535e-12,2.4982508701381844e-12,3.036012458060762e-12,1.8865100904205464e-12,1.0135306621340796e-11,1.1726392371033162e-11,1.2588257852731731e-11
2,23736.25027272687,29872.887266952956,3866.380425268176,2.579566764935565e-12,2.619938887739591e-12,1.7201630647856151e-12,2.5012729993584576e-12,2.933029193496451e-12,1.8672415293039796e-12,1.0106124288630551e-11,1.1715921520297229e-11,1.2501149147661995e-11
3,23736.250272726877,29872.887266952934,3866.3804252680065,2.5774826084931928e-12,2.474786647853986e-12,1.720540463398225e-12,2.5038317236363112e-12,2.8497564492499614e-12,1.8507024828135953e-12,1.0092652792320553e-11,1.160316466352379e-11,1.2455197533893246e-11
4,23736.25027272686,29872.88726695294,3866.380425268105,2.5753320489583325e-12,2.404523779026926e-12,1.7188706770946343e-12,2.5061020226752282e-12,2.7810240242397823e-12,1.8348546543130876e-12,1.0015204642942912e-11,1.1463799433338113e-11,1.233105567953874e-11
5,23736.250272727,29872.88726695284,3866.380425267645,2.5745581887326082e-12,2.383312544522008e-12,1.7172866125217148e-12,2.508210318350758e-12,2.7236020655823304e-12,1.820891499499566e-12,9.97241035295042e-12,1.1359938140225832e-11,1.2264648782978626e-11
6,23736.250272726873,29872.887266952876,3866.3804252665345,2.5782540461385858e-12,2.382453053705643e-12,1.7170643111456087e-12,2.510351266681412e-12,2.6753456107811508e-12,1.8083377973863267e-12,1.006475038501259e-11,1.1438587495393305e-11,1.1688597874667318e-11
7,23736.250272726877,29872.88726695295,430.5527663955164,2.5799336029631184e-12,2.385644322954248e-12,1.7190927780477069e-12,2.5134984172536366e-12,2.636442973186283e-12,1.8021027765306375e-12,1.0094153521411258e-11,1.16026613862936e-11,1381.4472336044666
8,23736.250272726877,29872.887266952937,1923.2611658443311,2.584525909742255e-12,2.3924571208902243e-12,1.720432433765838e-12,2.5151356293932706e-12,2.6013809305952925e-12,1.7926861110735917e-12,1.001283792795546e-11,1.1513965700043652e-11,3.213228550869965e-11
9,23736.250272726797,29872.887266952934,1673.3362556954487,2.5888093546129437e-12,2.3974248441576565e-12,1.723452913301651e-12,2.516469499072599e-12,2.571425510847666e-12,1.7848411733738772e-12,9.995058394133566e-12,1.1512557039503552e-11,138.66374430477237
10,23736.2502727271,29872.88726695285,430.5871356451299,2.590161442019935e-12,2.4000097774847983e-12,1.7234326992151094e-12,2.517843879681339e-12,2.5457116162743486e-12,1.7780773380267706e-12,9.976987047784983e-12,1.1509182838963025e-11,1381.4128643548058
11,23736.250272726877,29872.887266952945,430.47041830195093,2.5930943809102785e-12,2.40404421426726e-12,1.7249088225356305e-12,2.518117873629775e-12,2.5227846340978127e-12,1.7722444285622245e-12,1.0122022551811105e-11,1.1569688896697252e-11,1381.5295816979606
12,23736.250272726877,29872.887266952937,430.435178185137,2.5920418491730995e-12,2.4040788730201163e-12,1.7219769283068774e-12,2.518638245827069e-12,2.503600720037666e-12,1.7670807631950807e-12,1.009263906714095e-11,1.1720540746030848e-11,1381.5648218151011
13,23736.250272726873,29872.8872669529,430.51954430089637,2.589398287858159e-12,2.402569639327052e-12,1.7176616716072108e-12,2.5185536865919473e-12,2.486647663411289e-12,1.7625128757671407e-12,9.979641408181573e-12,1.1526127272166156e-11,1381.4804556987183
14,23736.2502727269,29872.887266952945,3866.3804252660993,2.585495872708958e-12,2.399032318646368e-12,1.7095722367557334e-12,2.5181681659344783e-12,2.472082566385145e-12,1.760046712413658e-12,9.927857438961728e-12,1.1253491550992572e-11,1.7075908134387068e-11
15,23736.250272727146,29872.88726695302,1309.95191235845,2.5809660018478187e-12,2.3955121976129375e-12,1.7151200013982271e-12,2.5228705008333615e-12,2.466123341891001e-12,1.7605911590515902e-12,9.913674079419067e-12,1.1392699739322644e-11,502.0480876403754
16,23736.250272726862,29872.88726695292,430.6268948059002,2.5796179945204248e-12,2.3955410833707567e-12,1.718047467230514e-12,2.5218452925989827e-12,2.4549418019113683e-12,1.7584615029374191e-12,9.81320903349531e-12,1.1367325541840636e-11,1381.3731051941752
17,23736.250272726877,29872.88726695298,430.70072654850355,2.575868070362424e-12,2.3926670453340467e-12,1.7183996174528342e-12,2.520860511034065e-12,2.445507732059318e-12,1.7568337665515735e-12,9.935610682067238e-12,1.1465687978462187e-11,1381.2992734514137
18,23736.25027272688,29872.887266952886,431.08626781329906,2.573779635490938e-12,2.3909293498233826e-12,1.7180626078507057e-12,2.5195788299502004e-12,2.4372611255447682e-12,1.7573348633673765e-12,9.947398253306755e-12,1.1379134907598538e-11,1380.9137321866467
19,23736.250272726862,29872.88726695293,3866.3804252681407,2.572937432139183e-12,2.3898835048262684e-12,1.7189953763828507e-12,2.5183271813657265e-12,2.4302810544438746e-12,1.758136575871731e-12,9.893406434484649e-12,1.115979269461931e-11,1.1798903274014739e-11
20,23736.250272726887,29872.887266953076,3866.3804252681393,2.573025510201781e-12,2.3899393802045173e-12,1.7190739628324736e-12,2.5171579225596748e-12,2.4245960057750617e-12,1.7579151214296161e-12,9.891968821835633e-12,1.1135443347492797e-11,1.1693457994458517e-11
21,23736.25027272688,29872.887266952945,3866.380425268125,2.575983897915342e-12,2.3932378318126995e-12,1.7213797670370026e-12,2.516097413098742e-12,2.419946439361469e-12,1.7576911617652774e-12,9.898654719539908e-12,1.11718394970167e-11,1.1680087744359009e-11
