Time_Index,MIDAT_conventional_hydroelectric_1,MIDAT_hydroelectric_pumped_storage_1,MIDAT_natural_gas_fired_combined_cycle_1,MIDAT_natural_gas_fired_combined_cycle_2,MIDAT_natural_gas_fired_combined_cycle_3,MIDAT_natural_gas_fired_combined_cycle_4,MIDAT_natural_gas_fired_combustion_turbine_1,MIDAT_natural_gas_fired_combustion_turbine_2,MIDAT_nuclear_1,MIDAT_nuclear_2,MIDAT_onshore_wind_turbine_1,MIDAT_small_hydroelectric_1,MIDAT_solar_photovoltaic_1,NE_conventional_hydroelectric_1,NE_hydroelectric_pumped_storage_1,NE_natural_gas_fired_combined_cycle_1,NE_natural_gas_fired_combined_cycle_2,NE_natural_gas_fired_combined_cycle_3,NE_natural_gas_fired_combustion_turbine_1,NE_natural_gas_fired_combustion_turbine_2,NE_nuclear_1,NE_nuclear_2,NE_onshore_wind_turbine_1,NE_small_hydroelectric_1,NE_solar_photovoltaic_1,SE_conventional_hydroelectric_1,SE_hydroelectric_pumped_storage_1,SE_natural_gas_fired_combined_cycle_1,SE_natural_gas_fired_combined_cycle_2,SE_natural_gas_fired_combined_cycle_3,SE_natural_gas_fired_combined_cycle_4,SE_natural_gas_fired_combustion_turbine_1,SE_natural_gas_fired_combustion_turbine_2,SE_nuclear_1,SE_nuclear_2,SE_small_hydroelectric_1,SE_solar_photovoltaic_1,SE_naturalgas_ccccsavgcf_conservative_0,SE_naturalgas_ccavgcf_moderate_0,SE_naturalgas_ctavgcf_moderate_0,SE_battery_moderate_0,SE_nuclear_mid_0,MIDAT_naturalgas_ccccsavgcf_conservative_0,MIDAT_naturalgas_ccavgcf_moderate_0,MIDAT_naturalgas_ctavgcf_moderate_0,MIDAT_battery_moderate_0,MIDAT_nuclear_mid_0,NE_naturalgas_ccccsavgcf_conservative_0,NE_naturalgas_ccavgcf_moderate_0,NE_naturalgas_ctavgcf_moderate_0,NE_battery_moderate_0,NE_nuclear_mid_0,NE_offshorewind_class10_moderate_floating_1_1,SE_utilitypv_class1_moderate_70_0_2_1,SE_utilitypv_class1_moderate_70_0_2_2,SE_utilitypv_class1_moderate_70_0_2_3,SE_utilitypv_class1_moderate_70_0_2_4,SE_utilitypv_class1_moderate_70_0_2_5,SE_utilitypv_class1_moderate_70_0_2_6,SE_utilitypv_class1_moderate_70_0_2_7,SE_utilitypv_class1_moderate_70_0_2_8,MIDAT_utilitypv_class1_moderate_70_0_2_1,MIDAT_utilitypv_class1_moderate_70_0_2_2,MIDAT_utilitypv_class1_moderate_70_0_2_3,MIDAT_utilitypv_class1_moderate_70_0_2_4,MIDAT_utilitypv_class1_moderate_70_0_2_5,MIDAT_utilitypv_class1_moderate_70_0_2_6,MIDAT_utilitypv_class1_moderate_70_0_2_7,NE_utilitypv_class1_moderate_70_0_2_1,NE_utilitypv_class1_moderate_70_0_2_2,NE_utilitypv_class1_moderate_70_0_2_3,NE_utilitypv_class1_moderate_70_0_2_4,NE_utilitypv_class1_moderate_70_0_2_5,NE_utilitypv_class1_moderate_70_0_2_6,NE_utilitypv_class1_moderate_70_0_2_7,SE_landbasedwind_class4_moderate_70_1,SE_landbasedwind_class4_moderate_70_2,SE_landbasedwind_class4_moderate_70_3,SE_landbasedwind_class4_moderate_70_4,SE_landbasedwind_class4_moderate_70_5,SE_landbasedwind_class4_moderate_70_6,SE_landbasedwind_class4_moderate_70_7,SE_landbasedwind_class4_moderate_70_8,MIDAT_landbasedwind_class4_moderate_70_1,MIDAT_landbasedwind_class4_moderate_70_2,MIDAT_landbasedwind_class4_moderate_70_3,MIDAT_landbasedwind_class4_moderate_70_4,MIDAT_landbasedwind_class4_moderate_70_5,MIDAT_landbasedwind_class4_moderate_70_6,MIDAT_landbasedwind_class4_moderate_70_7,NE_landbasedwind_class4_moderate_70_1,NE_landbasedwind_class4_moderate_70_2,NE_landbasedwind_class4_moderate_70_3,NE_landbasedwind_class4_moderate_70_4,NE_landbasedwind_class4_moderate_70_5,NE_landbasedwind_class4_moderate_70_6,NE_landbasedwind_class4_moderate_70_7
11,0.305221713,1,1,1,1,1,1,1,1,1,0.581705921,0.305221713,0.200913113,0.58866189,1,1,1,1,1,1,1,1,0.324377954,0.58866189,0.275238985,0.331716794,1,1,1,1,1,1,1,1,1,0.331716794,0.255363431,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.04381869,0.09232412,0.581999573,0.377624404,0.13571565,0.160016605,0.2674611,0.348599365,0.118475679,0.313265453,0.274070315,0.418047787,0.092382961,0.244785008,0.240274868,0.140386067,0.38356496,0.368142952,0.233945522,0.343121844,0.258346446,0.394525844,0.281399392,0.605212032,0.575003526,0.518545882,0.347430086,0.598223336,0.352467905,0.527838779,0.379846674,0.6306884,0.588819653,0.35944131,0.645808792,0.568757649,0.487504047,0.704341324,0.158314327,0.230951099,0.092311599,0.1205665,0.565920023,0.258282494,0.258764983
12,0.305564195,1,1,1,1,1,1,1,1,1,0.582659556,0.305564195,0.199400703,0.58885574,1,1,1,1,1,1,1,1,0.318273856,0.58885574,0.261744445,0.332197971,1,1,1,1,1,1,1,1,1,0.332197971,0.255936323,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.12844412,0.106418739,0.490063746,0.318418042,0.17917092,0.209837659,0.284354557,0.305566328,0.168955713,0.280719262,0.275119629,0.301072877,0.109507992,0.212814304,0.251211036,0.16905286,0.379145961,0.358785153,0.217090131,0.33123511,0.246845198,0.381249416,0.261599786,0.565691074,0.631396278,0.524939879,0.326526277,0.514613233,0.346719401,0.512323216,0.289709838,0.671866752,0.596075636,0.355478478,0.647600516,0.559096035,0.483895291,0.728721906,0.144503282,0.223094045,0.059934369,0.099256587,0.578552206,0.231801444,0.281693554
13,0.305931148,1,1,1,1,1,1,1,1,1,0.602995001,0.305931148,0.185230799,0.589068164,1,1,1,1,1,1,1,1,0.33201178,0.589068164,0.2517393,0.332683256,1,1,1,1,1,1,1,1,1,0.332683256,0.237109716,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.22087492,0.110940973,0.446387545,0.2357321,0.218265259,0.231458804,0.264938591,0.221009216,0.170024401,0.275892268,0.247817631,0.269843075,0.149181942,0.167985153,0.226829791,0.154988388,0.379411453,0.356275618,0.233390039,0.298121454,0.217771978,0.469885805,0.244354988,0.516426179,0.62962707,0.584903172,0.321958486,0.438987178,0.337295594,0.52672553,0.245939381,0.632714845,0.603618187,0.398622939,0.670405461,0.585480599,0.498580011,0.747793576,0.172364179,0.25344576,0.046251477,0.109252875,0.603886403,0.261771379,0.33408373
14,0.306280581,1,1,1,1,1,1,1,1,1,0.616385997,0.306280581,0.181226994,0.589264344,1,1,1,1,1,1,1,1,0.366685407,0.589264344,0.204204548,0.333197205,1,1,1,1,1,1,1,1,1,0.333197205,0.201489629,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.493313104,0.106339235,0.419299768,0.147904604,0.204013421,0.245047542,0.203883765,0.164086778,0.147243154,0.252790835,0.249610472,0.195756764,0.298703353,0.104234253,0.176494656,0.112286435,0.289471131,0.35318977,0.208320253,0.272299795,0.153548772,0.410883555,0.156300607,0.459475821,0.602117921,0.605189127,0.313695817,0.392507906,0.338410248,0.514796441,0.240581025,0.592197883,0.649035369,0.395556235,0.682517674,0.611446516,0.49939152,0.753019991,0.205028206,0.299090377,0.059971108,0.153472196,0.639996985,0.306463751,0.440793465
15,0.306656248,1,1,1,1,1,1,1,1,1,0.639767722,0.306656248,0.139700503,0.589429951,1,1,1,1,1,1,1,1,0.420122006,0.589429951,0.072842991,0.333645876,1,1,1,1,1,1,1,1,1,0.333645876,0.158168555,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.559803307,0.090081443,0.348907506,0.091214908,0.115534636,0.279684528,0.125870287,0.105123014,0.159133281,0.189552721,0.167131405,0.125875814,0.29097541,0.056715458,0.126591671,0.067999337,0.104594853,0.141893344,0.053586277,0.119674045,0.06880406,0.143019707,0.035900774,0.423692293,0.559836578,0.607886014,0.328914922,0.358476649,0.364940053,0.500815346,0.237321851,0.611811794,0.682905541,0.491545288,0.687278317,0.653882912,0.528485313,0.746763844,0.308100886,0.388930282,0.097335225,0.223895633,0.686304147,0.380533468,0.542139373
16,0.307073601,1,1,1,1,1,1,1,1,1,0.664906774,0.307073601,0.042843097,0.589647342,1,1,1,1,1,1,1,1,0.471993139,0.589647342,0.003974151,0.334159825,1,1,1,1,1,1,1,1,1,0.334159825,0.125664578,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.615175128,0.086954707,0.250026586,0.046496608,0.091926147,0.351229523,0.042692265,0.0406998,0.16943029,0.024722058,0.029396261,0.016768404,0.110403816,0.011228362,0.033839792,0.023314288,0.006010826,0.004809499,0,0.003338098,0.00759003,0.006169132,0.001581642,0.423559028,0.513169612,0.589871183,0.360369231,0.354128684,0.422130565,0.474343064,0.249815713,0.677765355,0.70556391,0.603172489,0.679194927,0.684486657,0.588584458,0.743281095,0.500885019,0.575783609,0.135008724,0.277542315,0.721058508,0.620431959,0.578378619
17,0.307430787,1,1,1,1,1,1,1,1,1,0.693375798,0.307430787,0.001029866,0.589860412,1,1,1,1,1,1,1,1,0.505590618,0.589860412,0,0.334641002,1,1,1,1,1,1,1,1,1,0.334641002,0.037648073,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.639010787,0.043440487,0.036181231,0.004809987,0.026149611,0.155626224,0,0.001996617,0.059414418,0,0,0,0.004216271,0,0.00E+00,0,0,0,0,0,0,0,0,0.408695191,0.499853221,0.594647768,0.420418028,0.34626754,0.54519814,0.526763685,0.264967536,0.723525054,0.725648442,0.663506961,0.69511816,0.703800905,0.649988686,0.746026851,0.606138409,0.650460782,0.177354155,0.328732248,0.732750443,0.690573832,0.621003347
18,0.307797741,1,1,1,1,1,1,1,1,1,0.70472795,0.307797741,0,0.590035293,1,1,1,1,1,1,1,1,0.52259912,0.590035293,0,0.335126287,1,1,1,1,1,1,1,1,1,0.335126287,0.00E+00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.619648337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.406001582,0.515431273,0.61741799,0.568273755,0.473681691,0.62103235,0.5927983,0.403621057,0.747443556,0.733478037,0.686879763,0.7160507,0.706211292,0.675736197,0.721816269,0.659990261,0.659427352,0.21533067,0.351878745,0.731141078,0.712252466,0.640894874
19,0.308147173,1,1,1,1,1,1,1,1,1,0.705128845,0.308147173,0,0.590231472,1,1,1,1,1,1,1,1,0.535576478,0.590231472,0,0.335638938,1,1,1,1,1,1,1,1,1,0.335638938,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.813421488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43843008,0.516082804,0.577678178,0.652210228,0.572380365,0.661906721,0.622032445,0.51155199,0.764670239,0.740101511,0.695452846,0.727933081,0.710017882,0.681895116,0.672012826,0.694488821,0.669234422,0.267972505,0.334201965,0.717864203,0.750030698,0.668133437
20,0.308522841,1,1,1,1,1,1,1,1,1,0.701647906,0.308522841,0,0.590465754,1,1,1,1,1,1,1,1,0.557193286,0.590465754,0,0.336087303,1,1,1,1,1,1,1,1,1,0.336087303,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.814959943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.491852458,0.520416628,0.529651325,0.700567256,0.630750029,0.688013934,0.644706741,0.603755261,0.775722609,0.736659757,0.708646447,0.740015167,0.703662726,0.689763463,0.611122902,0.666326174,0.66000292,0.334119273,0.342907646,0.719902327,0.757727994,0.673584484
