t,SE_Electrolyzer,MIDAT_Electrolyzer,NE_Electrolyzer,SE_Large_SMR_wCCS_96pct,MIDAT_Large_SMR_wCCS_96pct,NE_Large_SMR_wCCS_96pct,SE_ATR_wCCS_94pct,MIDAT_ATR_wCCS_94pct,NE_ATR_wCCS_94pct,SE_Above_ground_storage,MIDAT_Above_ground_storage,NE_Above_ground_storage
1,23422.32012039179,28754.23391605746,6130.939202257152,3.4651950461007794e-12,3.907788145035133e-12,2.6118219235401837e-12,3.459996813048649e-12,4.023205992428652e-12,2.8512279375468114e-12,1.7291073570501258e-11,1.731591595983356e-11,1.7670700606060396e-11
2,23422.32012039179,28754.233916057397,6130.939202257152,3.465398223892943e-12,3.6014981941810882e-12,2.637337192460925e-12,3.4640797367138797e-12,3.9276484741739374e-12,2.8343566421487596e-12,1.724539724150051e-11,1.7127966482606526e-11,1.7445116268905085e-11
3,23422.32012039179,28754.2339160575,6130.939202257152,3.465270678738207e-12,3.4448263399252526e-12,2.654018697980487e-12,3.467891568837289e-12,3.850033315783619e-12,2.8194983606985284e-12,1.7196383287445885e-11,1.6991093978118122e-11,1.7277828013152974e-11
4,23422.32012039179,28754.233916057427,6130.939202257153,3.464968082072617e-12,3.3727793311219864e-12,2.6632705447322305e-12,3.4714891253796013e-12,3.7876667906741e-12,2.8063076586052115e-12,1.715881683472649e-11,1.6871700311450908e-11,1.714690433933523e-11
5,23422.32012039179,28754.233916057474,6130.939202257153,3.4646077165770497e-12,3.350999870811481e-12,2.6666282307310224e-12,3.474718640414536e-12,3.733667910158377e-12,2.7944178765435026e-12,1.7115293495298353e-11,1.6767418080272314e-11,1.7053575197220706e-11
6,23422.32012039179,28754.233916057423,6130.939202257152,3.463994922876693e-12,3.3458815921627295e-12,2.6661698378795015e-12,3.4775243557538934e-12,3.685112002475638e-12,2.783843665998093e-12,1.7154961429643324e-11,1.6696991789614237e-11,1.6493861004905435e-11
7,23422.32012039179,28754.233916057445,1781.296876665783,3.4630452460350353e-12,3.34869360423442e-12,2.6665249529389185e-12,3.4800241015310106e-12,3.645699457232854e-12,2.7744836385156136e-12,1.689616686969056e-11,1.6764495521462412e-11,30.703123334267048
8,23422.32012039179,28754.23391605743,1743.5776627197517,3.4631467218105462e-12,3.351018057633265e-12,2.666296110196022e-12,3.4821939264873075e-12,3.6096311312227595e-12,2.766784846021101e-12,1.713305820229614e-11,1.680018605426562e-11,68.42233728029706
9,23422.320120391785,28754.23391605744,1609.8960097542833,3.4627403053635465e-12,3.3552594267725633e-12,2.6662669050607927e-12,3.484228279854292e-12,3.5828996829372417e-12,2.760635294869145e-12,1.714201782339366e-11,1.6827221351216116e-11,202.10399024576472
10,23422.320120391792,28754.233916057445,1519.5132995590864,3.462393091066695e-12,3.3571611597637783e-12,2.6663002354992316e-12,3.4860199732093108e-12,3.558091731877346e-12,2.7557084211291866e-12,1.700025313007185e-11,1.675971769714992e-11,292.4867004409615
