Biomass_Supply,Zone,Emissions_tonne_per_tonne,Cost_per_tonne,Max_tonne_per_hr
SE_1,1,0,49.38,820.85
SE_2,1,0,61.73,381.66
SE_3,1,0,66.66,53.26
SE_4,1,0,86.42,2114.63
SE_5,1,0,86.55,1140.83
MIDAT_1,2,0,49.38,199.74
MIDAT_2,2,0,61.73,127
MIDAT_3,2,0,66.66,11
MIDAT_4,2,0,86.42,1898.67
MIDAT_5,2,0,86.55,773.78
NE_1,3,0,49.38,106.89
NE_2,3,0,61.73,45.25
NE_3,3,0,66.66,0.24
NE_4,3,0,86.42,253.92
NE_5,3,0,86.55,681.73
