t,MIDAT_conventional_hydroelectric_1,MIDAT_hydroelectric_pumped_storage_1,MIDAT_natural_gas_fired_combined_cycle_1,MIDAT_natural_gas_fired_combined_cycle_2,MIDAT_natural_gas_fired_combined_cycle_3,MIDAT_natural_gas_fired_combined_cycle_4,MIDAT_natural_gas_fired_combustion_turbine_1,MIDAT_natural_gas_fired_combustion_turbine_2,MIDAT_nuclear_1,MIDAT_nuclear_2,MIDAT_onshore_wind_turbine_1,MIDAT_small_hydroelectric_1,MIDAT_solar_photovoltaic_1,NE_conventional_hydroelectric_1,NE_hydroelectric_pumped_storage_1,NE_natural_gas_fired_combined_cycle_1,NE_natural_gas_fired_combined_cycle_2,NE_natural_gas_fired_combined_cycle_3,NE_natural_gas_fired_combustion_turbine_1,NE_natural_gas_fired_combustion_turbine_2,NE_nuclear_1,NE_nuclear_2,NE_onshore_wind_turbine_1,NE_small_hydroelectric_1,NE_solar_photovoltaic_1,SE_conventional_hydroelectric_1,SE_hydroelectric_pumped_storage_1,SE_natural_gas_fired_combined_cycle_1,SE_natural_gas_fired_combined_cycle_2,SE_natural_gas_fired_combined_cycle_3,SE_natural_gas_fired_combined_cycle_4,SE_natural_gas_fired_combustion_turbine_1,SE_natural_gas_fired_combustion_turbine_2,SE_nuclear_1,SE_nuclear_2,SE_small_hydroelectric_1,SE_solar_photovoltaic_1,SE_naturalgas_ccccsavgcf_conservative_0,SE_naturalgas_ccavgcf_moderate_0,SE_naturalgas_ctavgcf_moderate_0,SE_battery_moderate_0,SE_nuclear_mid_0,MIDAT_naturalgas_ccccsavgcf_conservative_0,MIDAT_naturalgas_ccavgcf_moderate_0,MIDAT_naturalgas_ctavgcf_moderate_0,MIDAT_battery_moderate_0,MIDAT_nuclear_mid_0,NE_naturalgas_ccccsavgcf_conservative_0,NE_naturalgas_ccavgcf_moderate_0,NE_naturalgas_ctavgcf_moderate_0,NE_battery_moderate_0,NE_nuclear_mid_0,NE_offshorewind_class10_moderate_floating_1_1,SE_utilitypv_class1_moderate_70_0_2_1,SE_utilitypv_class1_moderate_70_0_2_2,SE_utilitypv_class1_moderate_70_0_2_3,SE_utilitypv_class1_moderate_70_0_2_4,SE_utilitypv_class1_moderate_70_0_2_5,SE_utilitypv_class1_moderate_70_0_2_6,SE_utilitypv_class1_moderate_70_0_2_7,SE_utilitypv_class1_moderate_70_0_2_8,MIDAT_utilitypv_class1_moderate_70_0_2_1,MIDAT_utilitypv_class1_moderate_70_0_2_2,MIDAT_utilitypv_class1_moderate_70_0_2_3,MIDAT_utilitypv_class1_moderate_70_0_2_4,MIDAT_utilitypv_class1_moderate_70_0_2_5,MIDAT_utilitypv_class1_moderate_70_0_2_6,MIDAT_utilitypv_class1_moderate_70_0_2_7,NE_utilitypv_class1_moderate_70_0_2_1,NE_utilitypv_class1_moderate_70_0_2_2,NE_utilitypv_class1_moderate_70_0_2_3,NE_utilitypv_class1_moderate_70_0_2_4,NE_utilitypv_class1_moderate_70_0_2_5,NE_utilitypv_class1_moderate_70_0_2_6,NE_utilitypv_class1_moderate_70_0_2_7,SE_landbasedwind_class4_moderate_70_1,SE_landbasedwind_class4_moderate_70_2,SE_landbasedwind_class4_moderate_70_3,SE_landbasedwind_class4_moderate_70_4,SE_landbasedwind_class4_moderate_70_5,SE_landbasedwind_class4_moderate_70_6,SE_landbasedwind_class4_moderate_70_7,SE_landbasedwind_class4_moderate_70_8,MIDAT_landbasedwind_class4_moderate_70_1,MIDAT_landbasedwind_class4_moderate_70_2,MIDAT_landbasedwind_class4_moderate_70_3,MIDAT_landbasedwind_class4_moderate_70_4,MIDAT_landbasedwind_class4_moderate_70_5,MIDAT_landbasedwind_class4_moderate_70_6,MIDAT_landbasedwind_class4_moderate_70_7,NE_landbasedwind_class4_moderate_70_1,NE_landbasedwind_class4_moderate_70_2,NE_landbasedwind_class4_moderate_70_3,NE_landbasedwind_class4_moderate_70_4,NE_landbasedwind_class4_moderate_70_5,NE_landbasedwind_class4_moderate_70_6,NE_landbasedwind_class4_moderate_70_7
1,942.8771520000199,0.0,6.169235419415498e-13,7.250678061278103e-13,3.34140874301491e-13,6.822451171992767e-13,3.095333267406185e-13,3.5679439287233254e-13,1829.9999999999989,13327.655999999999,1244.644148786776,79.374311322516,0.0,2766.7458000000006,0.0,4.5444522097078664e-13,5.155722755574445e-13,1.9467855008522604e-13,2.7954575333808633e-13,3.1473683608856974e-13,1697.8499999999997,1052.3499999999997,1341.004605365156,489.59551936467403,0.0,912.306632820987,0.0,4.999698234178143e-13,4.813104362686149e-13,5.360367279718972e-13,3.714077789692648e-13,2.9127819737971565e-13,3.0092409434328907e-13,16816.144000000135,1114.0,81.66486484503,0.0,1.441248492004041e-12,5.538363923345639e-13,2.962925066056848e-13,6.611382124710163e-12,3.9606158558446645e-12,2.2009839128455676e-12,6.868268630762125e-13,3.4209568818254963e-13,3.529906139697483e-13,7.762654963455035e-12,1.370357881188346e-12,5.526523232099667e-13,2.961058457710252e-13,2.119641754780031e-12,2.968324017506039e-12,22077.38298236856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.957585941173931e-12,9392.95636123977,26232.45277223543,33317.03015769223,31401.34656263738,9.015092149752974e-12,3.568047670232921e-12,8.786411255722656e-12,654.8679073703693,7994.70475789575,4211.270950563928,51126.36898737884,29372.218442657773,1.4603500510293705e-11,5269.299877931442,3.654209200086454e-12,6.6489720806114185e-12,23988.858265008792,6.7737914107552115e-12,1908.797472269842,423.77410671453015,5.966586053774369e-12
2,709.96404600002,0.0,5.642474317072325e-13,6.528605117803277e-13,3.2066838157491624e-13,6.174533332847276e-13,2.945555544952409e-13,3.3568768552002394e-13,1220.0000000000018,8885.103999999983,1213.4465775273425,79.46631743335199,0.0,2374.198960000001,0.0,4.4273016235931635e-13,4.988523262084829e-13,1.9296016948377235e-13,2.7595592884428977e-13,3.0920414966263053e-13,1697.8499999999992,1052.3499999999997,1267.1505655664766,489.766967825962,0.0,893.2584310652727,0.0,4.980187811671187e-13,4.794402769758753e-13,5.336770672767764e-13,3.703312952401239e-13,2.907771344206982e-13,3.0028741059050217e-13,16816.143999999833,1113.9999999999998,81.794334694845,0.0,1.4242250150211448e-12,5.518881149629147e-13,2.9589949983702214e-13,6.611483024372044e-12,3.93807629307757e-12,1.890172997912149e-12,6.265173091286127e-13,3.2182201701705873e-13,6.61145631755653e-12,5.893527092241846e-12,1.325437366354752e-12,5.412044537536173e-13,2.914468502050753e-13,6.610859603910205e-12,2.7594323911508895e-12,23334.684919217096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.841285202881749e-12,9262.890298115864,24509.960690270836,30281.9846635183,30867.244968944324,8.876487124133787e-12,3.5974402974267177e-12,8.559809321151222e-12,646.8633463942089,7757.7470424424155,4141.305727633957,50986.96950172197,28232.104654256473,1.4110033543505214e-11,5303.354631872218,3.5723853063251173e-12,6.467157633418946e-12,23101.543411261042,6.94010265868831e-12,1744.5220936247226,422.08283271813855,5.845551112714975e-12
3,477.05094000002,0.0,5.325725167868574e-13,6.104338359484356e-13,3.1129031985499053e-13,5.7907628202766e-13,2.872587718369484e-13,3.239363414084456e-13,1220.0000000000002,8885.104000000003,1187.3502421055089,79.56521879637599,0.0,1981.6521200000018,0.0,4.3596147857060623e-13,4.885741395661586e-13,1.9209500379929836e-13,2.7430188222145197e-13,3.063510821591001e-13,1697.8499999999995,1052.3499999999995,1333.5959766747235,489.925350614692,0.0,887.4924938455962,0.0,4.966804531412148e-13,4.782073859756724e-13,5.321035275051764e-13,3.696064962668878e-13,2.9063724609933323e-13,2.9989894855084597e-13,16816.14400000026,1113.9999999999998,81.92244361649,0.0,1.4116524199130294e-12,5.50735517835862e-13,2.8472942934975865e-13,6.6115217411931275e-12,3.924998823427458e-12,1.7242647625759264e-12,5.929972540920729e-13,2.9986678823694485e-13,6.611547978322697e-12,4.659266914786129e-12,1.3005167825426528e-12,5.35528619020079e-13,2.7867805188300347e-13,6.6110660041015994e-12,2.695209211928879e-12,19535.37678347103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7763079893210146e-12,9222.511869893542,24260.094466489933,29206.474290674894,30956.845450326036,8.738957440097484e-12,3.6601771297874215e-12,8.279149098054608e-12,588.9006844199596,7753.368243107296,3923.629602997435,52559.28755357029,27660.556464470308,1.3554536670703036e-11,5377.241051736949,3.463928552374825e-12,6.355741638112792e-12,23724.36494560993,7.127006132520322e-12,1965.011512416188,442.6906033211826,5.768743204572248e-12
4,281.2550321995139,0.0,5.119091123797435e-13,5.826566822199786e-13,3.0465344111054617e-13,5.539869560495987e-13,2.8363029215566747e-13,3.1722691133450836e-13,1220.0000000000002,8885.104000000027,1159.5779480225244,79.66365601791598,0.0,1589.1052800000039,0.0,4.326988812219214e-13,4.828211775228466e-13,1.9182325493942077e-13,2.739435857862637e-13,3.053468528783771e-13,1697.85,1052.3499999999995,1362.8925824878052,490.10121271474605,0.0,883.3575491297282,0.0,4.957805055713218e-13,4.773772361280124e-13,5.310819439073361e-13,3.6916195578433784e-13,2.9052135423680767e-13,2.9966812218467387e-13,16816.144000000008,1113.9999999999998,82.03456425603501,0.0,1.4022906238188623e-12,5.500608589420506e-13,2.95344760754342e-13,6.611546953364383e-12,3.914862791166074e-12,1.6212184237032984e-12,5.733418220659241e-13,3.038837082663197e-13,6.611599280862798e-12,4.225876617842614e-12,1.29149451049529e-12,5.340316841900881e-13,2.8843250350273866e-13,6.611284621409995e-12,2.7142116890027595e-12,12465.56400902586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.547287090634109e-12,9347.140709970236,24398.6446518834,29387.381998425724,30287.286645118802,8.606056123996637e-12,3.710180758559576e-12,7.785130665229881e-12,515.488414129946,7601.049804527419,3438.9592884725816,54315.25433400201,27435.080674672263,1.3032012837147162e-11,5405.764870877298,3.263643543937682e-12,6.307844159496849e-12,22986.10907100119,7.0431577266423045e-12,2102.402607390581,451.0405284859736,5.524803040556995e-12
5,219.4466369415426,0.0,4.980718662978992e-13,5.636512361333275e-13,2.9995724430812506e-13,5.369220548946811e-13,2.8182499049480216e-13,3.1338169011985244e-13,1220.0,8885.103999999988,1149.2185186745455,79.753820305824,0.0,1981.6521200000013,0.0,4.3212854219005365e-13,4.805406200518762e-13,1.9201579992966529e-13,2.747518188334132e-13,3.059355525880703e-13,1697.85,1052.3499999999995,1401.1233601105798,490.264383830048,0.0,879.9857547935932,0.0,4.951436291407443e-13,4.768768967279721e-13,5.303897704399956e-13,3.688719973656351e-13,2.904974259102798e-13,2.9952787123886385e-13,16816.14400000001,1113.9999999999998,82.15575808324,0.0,1.3955260250708917e-12,5.496428235473518e-13,2.954133241173068e-13,6.6115692064626e-12,3.906511217571496e-12,1.550270527458971e-12,5.617166762743362e-13,3.003142729335632e-13,6.61163969560233e-12,4.1119488268458234e-12,1.297002922872476e-12,5.361170875528247e-13,2.892470503224291e-13,6.611415219420436e-12,2.849016704771707e-12,8912.972851955767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.484617084880444e-12,9537.854315097673,25570.79553570681,30056.82668623179,30784.650573318522,8.432791902883839e-12,3.729516599478193e-12,7.317364914622145e-12,498.03151193411355,7912.534222675033,2686.62674639672,57340.34902050057,28686.57978385768,1.2811064471573472e-11,5540.650889929504,3.064749064372608e-12,6.218626004656272e-12,21977.43779763186,6.533491249553897e-12,2256.4705220086284,449.4528777193563,5.3445283072226255e-12
6,204.92835934155485,0.0,4.887455467823377e-13,5.504429469561007e-13,2.966576222281589e-13,5.251642044475316e-13,2.809323556979267e-13,3.111846595068951e-13,1220.0,8885.103999999998,1193.142220241872,79.863684148368,0.0,2374.1989600000006,0.0,4.3460489635831755e-13,4.82188421184619e-13,1.927764682095725e-13,2.7748238106025495e-13,3.088591690640292e-13,2350.0762220031543,1436.9944319674667,1747.388580604496,490.42755494535,0.0,880.1635566720973,0.0,4.947338344585274e-13,4.765072753962803e-13,5.299731155353719e-13,3.6866948933199855e-13,2.9035906395763083e-13,2.9946047091539495e-13,16816.144,1113.9999999999998,82.284191368595,0.0,1.3904444192038528e-12,5.493366428371477e-13,2.8443209933432966e-13,6.6116009920001525e-12,3.899008923959903e-12,1.5000177782496546e-12,5.547458764627466e-13,2.8726997873711354e-13,6.6116889123662995e-12,4.074343567908884e-12,1.324886797780933e-12,5.435136322470731e-13,2.817668445099778e-13,8.636042121824091e-12,3.2091745697574896e-12,7571.568756798393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.257947186346266e-12,10279.099214433778,29766.666173913844,32517.7591822129,33875.21870355491,8.474786981213221e-12,3.736024369349724e-12,7.0484680235070095e-12,557.2735708063012,8759.269204500084,2410.25474785215,61533.750500923554,33350.96162676873,1.250402061184676e-11,5973.624744521537,3.5258244614589966e-12,9.264644255995922e-12,21049.675285883997,9.18201566649879e-12,2883.1723693725944,545.1943077096186,7.153572134648528e-12
7,199.9126239352189,0.0,4.824097851622564e-13,5.411446932016991e-13,2.9434151678318943e-13,5.169773358023863e-13,2.8046843648979247e-13,3.0992173274216046e-13,1220.0,8885.104000000008,1170.8308127900575,79.95773163927599,10.99390191670262,2766.7458,0.0,4.4105603507760105e-13,4.894066857197018e-13,1.9430049458067952e-13,2.8307947666450014e-13,3.1525525015253803e-13,3199.0012220031517,1963.1694319674639,1654.473385880499,490.574228114272,36.89167026719922,874.884605379116,0.0,4.941155848421255e-13,4.761016509156178e-13,5.293774291953926e-13,3.685362918059474e-13,2.9048280793297423e-13,2.9942142097192245e-13,16816.143999999986,1113.9999999999998,82.40451156288,38.61143552560971,1.3861978429729798e-12,5.491950130221176e-13,2.9521764366271334e-13,6.611627300936716e-12,3.889709204925937e-12,1.4635429840600567e-12,5.506157699981276e-13,2.9687603255435515e-13,6.6117216432806234e-12,4.056505767801924e-12,1.3974844660977287e-12,5.605109464816654e-13,3.004257264753686e-13,126.69325726508443,3.773890842231927e-12,3895.5532714890733,5.911836918378049e-15,2428.951530206956,3.2941622780893506e-14,0.0,0.0,2.8288216634722973e-14,1.6368069447573372e-14,0.0,313.6787024773366,1493.970080181754,4.963459922855324e-13,0.0,2.4501910318417756e-14,1.0359584925173637e-13,0.0,3.77577402274453e-13,375.5668787167532,1.9377385866385618e-13,3.1641468924192806e-13,1.9720574846968397e-14,692.2551931289992,2.7111822858871138e-14,5.992903426915642e-12,10709.767275258986,30594.635623971775,31028.49622739958,37142.89296102548,8.65931740142312e-12,3.783334600573363e-12,6.86174353453102e-12,573.8650088841528,9205.559948580918,2187.8332818553554,59616.195824797134,35235.077564706575,1.2411389909145372e-11,6016.76417616003,3.9195755639847e-12,1.0338835291355605e-11,18817.855349523998,1.0131190728591872e-11,2866.825136558435,462.42728852738094,8.156319418506889e-12
8,195.12385129208587,0.0,4.781368136147131e-13,5.345708688060328e-13,2.9273344942253274e-13,5.1125868023673e-13,2.8020881141581824e-13,3.092070545372788e-13,1220.0,8885.104,1152.8188302829733,80.05433862168,152.12560715621746,3159.292639999999,0.0,4.4382864709646026e-13,4.915930727749849e-13,1.950028215454154e-13,2.851665406893226e-13,3.176323373066117e-13,3395.6999999999953,2104.6999999999944,1598.9758455569993,490.76042876049206,333.52088624399914,868.3630388939092,0.0,4.937265615113058e-13,4.75764837054393e-13,5.289806688728613e-13,3.6837059666450153e-13,2.9032571705628937e-13,2.9943343549081634e-13,16816.143999999975,1113.9999999999995,82.525705390085,469.9366649546558,1.3846884655877541e-12,5.489259350739388e-13,2.952418412843376e-13,6.611615002609483e-12,3.8886274946287495e-12,1.4370506743271704e-12,5.481352556232754e-13,2.963352687686549e-13,6.611714331372373e-12,4.046716108784483e-12,1.4223629857920563e-12,5.663553462282583e-13,3.0270290496033695e-13,363.0579136353291,4.078384642892783e-12,1757.2682797086554,1.5576336277032512e-13,20979.418726283555,4.588974166899969e-13,1.9276144356226474e-13,1182.191944430781,3.0863585259627777e-13,1.8820186418383573e-13,6.313394126984202e-14,5953.36352613103,16548.380202950233,5.160602753407232e-12,4.056637318732988e-14,3.943054560889878e-13,1.0876787759173485e-12,8.095660970038454e-14,4.464362018462213e-12,3035.959813014721,2.2775971688662452e-12,3.765278043138615e-12,3.6133416244324025e-13,5226.425294345999,2.738245311075739e-13,5.852697489939162e-12,10070.62383322353,27388.5906811423,25012.80737777469,34702.079924957245,8.720405393542228e-12,3.7786292461220416e-12,6.675315086371986e-12,540.4347020950651,8605.111218431015,2427.915106535941,52025.460935699324,32075.609669535756,1.219027791226571e-11,5617.504288940222,3.180555799053229e-12,8.967079694155205e-12,16630.811618316,9.167537326835958e-12,2962.7241469048536,367.70332580796355,7.119039309624743e-12
9,201.7580650492403,0.0,4.752763670954853e-13,5.299668279976211e-13,2.9162312306563966e-13,5.072998056528147e-13,2.801282185075613e-13,3.0879709300553356e-13,1220.0,8885.104000000003,1137.2194663253651,80.14862726607599,346.0156935281813,3551.8394799999983,0.0,4.457953923626166e-13,4.932255378038267e-13,1.955055243278255e-13,2.863095626597949e-13,3.1901655456529585e-13,3395.699999999994,2104.699999999994,1473.5215821709992,490.92413895891804,558.1053379271993,892.3579384505671,0.0,4.932619140233739e-13,4.754556804076073e-13,5.285365584008375e-13,3.6827706755384104e-13,2.9032300414240407e-13,2.994511032275212e-13,16816.144,1113.9999999999998,82.64498901991,1134.9712953534765,1.3829820511383566e-12,5.487516681988154e-13,2.8438725878931947e-13,6.611616166988034e-12,3.890189875356598e-12,1.4177549632858066e-12,5.466483550622416e-13,2.849604814881865e-13,6.611722933724376e-12,4.035943025056947e-12,1.4401145043749803e-12,5.701465985278458e-13,2.923310864513153e-13,1702.287569064359,4.20905833133741e-12,1139.4506238599763,2.9245764849040695e-13,31786.763422364962,1.0776734030624253e-12,7.671897592708182e-13,4492.670582359742,6.469567240092017e-13,4.538017793815965e-13,2.1220370081003038e-13,10340.846432797709,22267.076748726442,8.72407776804988e-12,1.6256100426924753e-13,9.082211776465869e-13,1.8981441326586898e-12,2.2381500019027814e-13,7.028163686176192e-12,4026.1507756288916,3.5984758456024504e-12,5.501103589744679e-12,1.0294383573469382e-12,7248.356001602999,6.124435079307002e-13,5.955453574411385e-12,9203.359017491523,24964.91225456398,22306.626627054997,33833.06827561126,8.717790047173972e-12,3.5776175039863478e-12,6.1703399804145326e-12,555.1942045506004,8349.872257661473,2792.824867304918,46380.260943437635,30214.040864959927,1.1834056449405857e-11,5540.9018870876735,2.5346296117904505e-12,6.4642651492437125e-12,13696.87763696,7.171766185103298e-12,2968.8339300118455,275.2881459438266,5.580515498193119e-12
10,203.53723509335262,0.0,4.733479770536451e-13,5.267081661768355e-13,2.9085706509183697e-13,5.045291331912742e-13,2.800721188689557e-13,3.085608966557324e-13,1219.9999999999998,8885.104000000003,1123.4368009560694,80.245234511748,377.7779831357187,3944.3863199999973,0.0,4.471248136441426e-13,4.942860741049229e-13,1.958371723207821e-13,2.8692651354453754e-13,3.1980479863393687e-13,3395.6999999999957,2104.699999999994,1296.0353590839993,491.07643244493,501.9083586719992,904.872065860131,0.0,4.928688488043826e-13,4.752000566338546e-13,5.281626848256678e-13,3.6814205895377656e-13,2.902827241081644e-13,2.9947373006105037e-13,16816.14400000001,1113.9999999999998,82.766259314985,1314.9082896891666,1.38150699601701e-12,5.486723384737275e-13,2.9499493276129347e-13,6.6116401744652936e-12,3.892887582017482e-12,1.4034483086744459e-12,5.457757990518684e-13,2.9560027550834614e-13,6.611755507205643e-12,4.025582164330752e-12,1.4518162060789802e-12,5.724786111298903e-13,3.042825512659216e-13,9435.398729062636,4.244027899025595e-12,1105.6454755908373,3.722052111591499e-13,37093.73254790107,1.1987636936881282e-12,7.089825730029603e-13,5492.201567701174,8.815548085229715e-13,6.89021071244181e-13,2.664395707629624e-13,7883.600652431501,17943.620812672725,8.071472813643312e-12,2.6281749436019464e-13,9.13528484153957e-13,2.2660844961533025e-12,4.156029703724836e-13,6.679293891023752e-12,3746.504734435483,2.340282717524129e-12,5.306563307318934e-12,1.0824917771888839e-12,5859.725266034999,8.510642106122285e-13,5.7321806190081955e-12,8222.924498516608,24656.87102715867,19891.115518498398,38292.26606388589,7.644659382137705e-12,3.182671242325762e-12,5.60708542260094e-12,549.2115309931439,8613.059442526068,3027.5491119831136,50683.29900113852,34161.24799463552,1.1127556043925217e-11,5802.3201660492305,1.800443407703325e-12,4.811945497832939e-12,9385.108160036,4.816297310185697e-12,2839.197376714319,256.29638094560255,5.05471147303557e-12
