Costs,Total,Zone1,Zone2,Zone3
cTotal,6.828225613896838e8,2.10279161819528e7,1.9007720246783998e6,0.0
cDACFix,0.0,0.0,0.0,0.0
cDACVar,0.0,0.0,0.0,0.0
cCO2Comp,0.0,0.0,0.0,0.0
cStart,0.0,0.0,0.0,0.0
cCO2Stor,2.29286882066312e7,2.10279161819528e7,1.9007720246783998e6,0.0
cNetworkExp,6.598938731830527e8,-,-,-
