,Power Emissions,HSC Emissions,CSC Emissions,BSEC Emissions,Total
AnnualSum,4.1056766182649784e7,6.982326494804205e6,7248.977941889918,-4.804634165539573e7,1.6641570255160332e-7
t1,5109.370281811777,802.8255357859633,0.8313004915698683,-5484.7421981045345,428.284919984776
t2,0.0,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4681.085361827001
t3,0.0,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4681.085361827001
t4,0.0,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4681.085361827001
t5,0.0,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4681.085361827001
t6,0.0,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4681.085361827001
t7,0.0,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4681.085361827001
t8,0.0,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4681.085361827001
t9,0.0,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4681.085361827001
t10,0.0,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4681.085361827001
t11,0.0,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4681.085361827001
t12,0.0,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4681.085361827001
t13,0.0,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4681.085361827001
t14,0.0,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4681.085361827001
t15,0.0,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4681.085361827001
t16,1333.0880457957965,802.8255357859633,0.8313004915698683,-5484.7421981045345,-3347.9973160312047
t17,1006.8190279559291,802.8255357859633,0.8313004915698683,-5484.7421981045345,-3674.266333871072
t18,4170.996266313697,802.8255357859633,0.8313004915698683,-5484.7421981045345,-510.0890955133045
t19,12693.274081970834,708.2846626816232,0.8313004915698683,-5484.7421981045345,7917.647847039491
t20,13906.888308057167,665.2598581845875,0.8313004915698683,-5484.7421981045345,9088.237268628789
t21,8290.832103449064,759.8007312889274,0.8313004915698683,-5484.7421981045345,3566.7219371250258
t22,2523.697494648422,802.8255357859633,0.8313004915698683,-5484.7421981045345,-2157.387867178579
t23,4486.573323819418,802.8255357859633,0.8313004915698683,-5484.7421981045345,-194.51203800758321
t24,0.0,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4681.085361827001
t25,0.0,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4681.085361827001
t26,0.0,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4681.085361827001
t27,0.0,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4681.085361827001
t28,0.0,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4681.085361827001
t29,0.0,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4681.085361827001
t30,0.0,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4681.085361827001
t31,0.0,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4681.085361827001
t32,0.0,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4681.085361827001
t33,0.0,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4681.085361827001
t34,0.0,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4681.085361827001
t35,0.0,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4681.085361827001
t36,0.0,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4681.085361827001
t37,0.0,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4681.085361827001
t38,0.0,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4681.085361827001
t39,0.0,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4681.085361827001
t40,0.0,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4681.085361827001
t41,247.75580014080006,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4433.3295616862015
t42,2593.4429941163316,708.2846626816232,0.8313004915698683,-5484.7421981045345,-2182.18324081501
t43,10129.903359925982,613.7437895772833,0.8313004915698683,-5484.7421981045345,5259.7362518903
t44,10201.366784306418,613.7437895772833,0.8313004915698683,-5484.7421981045345,5331.199676270736
t45,4112.635412256395,708.2846626816232,0.8313004915698683,-5484.7421981045345,-662.9908226749458
t46,4719.873166126747,802.8255357859633,0.8313004915698683,-5484.7421981045345,38.7878042997454
t47,139.36263757920003,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4541.722724247801
t48,387.1184377200001,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4293.966924107001
t49,387.1184377200001,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4293.966924107001
t50,247.75580014080006,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4433.3295616862015
t51,0.0,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4681.085361827001
t52,0.0,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4681.085361827001
t53,0.0,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4681.085361827001
t54,0.0,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4681.085361827001
t55,0.0,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4681.085361827001
t56,0.0,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4681.085361827001
t57,0.0,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4681.085361827001
t58,0.0,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4681.085361827001
t59,0.0,802.8255357859634,0.8313004915698683,-5484.7421981045345,-4681.085361827001
t60,0.0,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4681.085361827001
t61,4734.329123960219,802.8255357859633,0.8313004915698683,-5484.7421981045345,53.24376213321739
t62,387.1184377200001,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4293.966924107001
t63,387.1184377200001,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4293.966924107001
t64,387.1184377200001,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4293.966924107001
t65,387.1184377200001,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4293.966924107001
t66,4319.8324026320015,802.8255357859633,0.8313004915698683,-5484.7421981045345,-361.2529591949997
t67,922.9618151282621,802.8255357859633,0.8313004915698683,-5484.7421981045345,-3758.123546698739
t68,387.1184377200001,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4293.966924107001
t69,387.1184377200001,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4293.966924107001
t70,387.1184377200001,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4293.966924107001
t71,387.1184377200001,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4293.966924107001
t72,247.75580014080006,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4433.3295616862015
t73,0.0,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4681.085361827001
t74,0.0,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4681.085361827001
t75,0.0,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4681.085361827001
