Resource,Zone,Capacity,Max_Annual_Capture,Annual_Capture,CapacityFactor
SE_Solid_DAC,1,0.0,0.0,0.0,0.0
MIDAT_Solid_DAC,2,0.0,0.0,0.0,0.0
NE_Solid_DAC,3,0.0,0.0,0.0,0.0
Total,n/a,0.0,0.0,0.0,-
