Resource,Zone,Capacity_tonne_per_yr
SE_GEO_SEQ,1,1.4342736749921808e8
MIDAT_GEO_SEQ,2,1.29648e7
NE_GEO_SEQ,3,0.0
Total,n/a,1.5639216749921808e8
