,Power Emissions,H2 Emissions,DAC Emissions,Biorefinery Emissions,Bioresource Emissions,DAC Capture,Biorefinery Capture,CO2 Pipeline Loss,Power Emissions,H2 Emissions,DAC Emissions,Biorefinery Emissions,Bioresource Emissions,DAC Capture,Biorefinery Capture,CO2 Pipeline Loss,Power Emissions,H2 Emissions,DAC Emissions,Biorefinery Emissions,Bioresource Emissions,DAC Capture,Biorefinery Capture,CO2 Pipeline Loss
t20,6462.5710936127,48.666387633544744,0.0,31.605642824850523,210.57535905844477,-0.0,-5478.311422974092,0.0,6138.362326214094,405.26637439957744,0.0,0.0,0.0,-0.0,-0.0,0.5826845415112288,0.0,192.70651308988263,0.0,0.0,0.0,-0.0,-0.0,0.2219178497749383
t21,846.514889004597,147.2820362382103,0.0,31.605642824850523,210.57535905844477,-0.0,-5478.311422974092,0.0,1651.7890023946754,405.26637439957744,0.0,0.0,0.0,-0.0,-0.0,0.5826845415112288,0.0,192.70651308988263,0.0,0.0,0.0,-0.0,-0.0,0.22191784977493834
t22,0.0,197.23129720933116,0.0,31.605642824850523,210.57535905844477,-0.0,-5478.311422974092,0.0,6138.362326214094,405.26637439957744,0.0,0.0,0.0,-0.0,-0.0,0.5826845415112288,0.0,192.70651308988263,0.0,0.0,0.0,-0.0,-0.0,0.22191784977493834
t23,0.0,197.23129720933116,0.0,31.605642824850523,210.57535905844477,-0.0,-5478.311422974092,0.0,1651.7890023946754,405.26637439957744,0.0,0.0,0.0,-0.0,-0.0,0.5826845415112288,0.0,192.70651308988263,0.0,0.0,0.0,-0.0,-0.0,0.2219178497749383
t24,0.0,197.23129720933116,0.0,31.605642824850523,210.57535905844477,-0.0,-5478.311422974092,0.0,0.0,405.26637439957744,0.0,0.0,0.0,-0.0,-0.0,0.5826845415112288,0.0,192.70651308988263,0.0,0.0,0.0,-0.0,-0.0,0.22191784977493834
t25,0.0,197.23129720933116,0.0,31.605642824850523,210.57535905844477,-0.0,-5478.311422974092,0.0,0.0,405.26637439957744,0.0,0.0,0.0,-0.0,-0.0,0.5826845415112288,0.0,192.70651308988263,0.0,0.0,0.0,-0.0,-0.0,0.22191784977493834
t26,0.0,197.23129720933116,0.0,31.605642824850523,210.57535905844477,-0.0,-5478.311422974092,0.0,0.0,405.26637439957744,0.0,0.0,0.0,-0.0,-0.0,0.5826845415112288,0.0,192.70651308988263,0.0,0.0,0.0,-0.0,-0.0,0.2219178497749383
t27,0.0,197.23129720933116,0.0,31.605642824850523,210.57535905844477,-0.0,-5478.311422974092,0.0,0.0,405.26637439957744,0.0,0.0,0.0,-0.0,-0.0,0.5826845415112288,0.0,192.70651308988263,0.0,0.0,0.0,-0.0,-0.0,0.2219178497749383
t28,0.0,197.23129720933116,0.0,31.605642824850523,210.57535905844477,-0.0,-5478.311422974092,0.0,0.0,405.26637439957744,0.0,0.0,0.0,-0.0,-0.0,0.5826845415112288,0.0,192.70651308988263,0.0,0.0,0.0,-0.0,-0.0,0.22191784977493834
t29,0.0,197.23129720933116,0.0,31.605642824850523,210.57535905844477,-0.0,-5478.311422974092,0.0,0.0,405.26637439957744,0.0,0.0,0.0,-0.0,-0.0,0.5826845415112288,0.0,192.70651308988263,0.0,0.0,0.0,-0.0,-0.0,0.2219178497749383
t30,0.0,197.23129720933116,0.0,31.605642824850523,210.57535905844477,-0.0,-5478.311422974092,0.0,0.0,405.26637439957744,0.0,0.0,0.0,-0.0,-0.0,0.5826845415112288,0.0,192.70651308988263,0.0,0.0,0.0,-0.0,-0.0,0.2219178497749383
t31,0.0,197.23129720933116,0.0,31.605642824850523,210.57535905844477,-0.0,-5478.311422974092,0.0,0.0,405.26637439957744,0.0,0.0,0.0,-0.0,-0.0,0.5826845415112288,0.0,192.70651308988263,0.0,0.0,0.0,-0.0,-0.0,0.22191784977493834
t32,0.0,197.2312972093313,0.0,31.605642824850523,210.57535905844477,-0.0,-5478.311422974092,0.0,0.0,405.26637439957744,0.0,0.0,0.0,-0.0,-0.0,0.5826845415112288,0.0,192.70651308988263,0.0,0.0,0.0,-0.0,-0.0,0.22191784977493834
t33,0.0,197.23129720933116,0.0,31.605642824850523,210.57535905844477,-0.0,-5478.311422974092,0.0,0.0,405.26637439957744,0.0,0.0,0.0,-0.0,-0.0,0.5826845415112288,0.0,192.70651308988263,0.0,0.0,0.0,-0.0,-0.0,0.22191784977493834
t34,0.0,197.23129720933116,0.0,31.605642824850523,210.57535905844477,-0.0,-5478.311422974092,0.0,0.0,405.26637439957744,0.0,0.0,0.0,-0.0,-0.0,0.5826845415112288,0.0,192.70651308988263,0.0,0.0,0.0,-0.0,-0.0,0.2219178497749383
t35,0.0,197.23129720933116,0.0,31.605642824850523,210.57535905844477,-0.0,-5478.311422974092,0.0,0.0,405.26637439957744,0.0,0.0,0.0,-0.0,-0.0,0.5826845415112288,0.0,192.70651308988263,0.0,0.0,0.0,-0.0,-0.0,0.22191784977493834
t36,0.0,197.23129720933116,0.0,31.605642824850523,210.57535905844477,-0.0,-5478.311422974092,0.0,0.0,405.26637439957744,0.0,0.0,0.0,-0.0,-0.0,0.5826845415112288,0.0,192.70651308988263,0.0,0.0,0.0,-0.0,-0.0,0.2219178497749383
t37,0.0,197.23129720933116,0.0,31.605642824850523,210.57535905844477,-0.0,-5478.311422974092,0.0,0.0,405.26637439957744,0.0,0.0,0.0,-0.0,-0.0,0.5826845415112288,0.0,192.70651308988263,0.0,0.0,0.0,-0.0,-0.0,0.2219178497749383
t38,0.0,197.23129720933116,0.0,31.605642824850523,210.57535905844477,-0.0,-5478.311422974092,0.0,0.0,405.26637439957744,0.0,0.0,0.0,-0.0,-0.0,0.5826845415112288,0.0,192.70651308988263,0.0,0.0,0.0,-0.0,-0.0,0.2219178497749383
t39,0.0,197.23129720933116,0.0,31.605642824850523,210.57535905844477,-0.0,-5478.311422974092,0.0,0.0,405.26637439957744,0.0,0.0,0.0,-0.0,-0.0,0.5826845415112288,0.0,192.70651308988263,0.0,0.0,0.0,-0.0,-0.0,0.22191784977493834
t40,0.0,197.23129720933116,0.0,31.605642824850523,210.57535905844477,-0.0,-5478.311422974092,0.0,425.2522461550196,405.26637439957744,0.0,0.0,0.0,-0.0,-0.0,0.5826845415112288,0.0,192.70651308988263,0.0,0.0,0.0,-0.0,-0.0,0.22191784977493834
t41,0.0,197.23129720933116,0.0,31.605642824850523,210.57535905844477,-0.0,-5478.311422974092,0.0,0.0,405.26637439957744,0.0,0.0,0.0,-0.0,-0.0,0.5826845415112288,0.0,192.70651308988263,0.0,0.0,0.0,-0.0,-0.0,0.22191784977493834
t42,0.0,121.17675701019814,0.0,31.605642824850523,210.57535905844477,-0.0,-5478.311422974092,0.0,2523.697494648422,405.26637439957744,0.0,0.0,0.0,-0.0,-0.0,0.5826845415112288,0.0,192.70651308988263,0.0,0.0,0.0,-0.0,-0.0,0.22191784977493834
t43,204.3746239483434,22.561108405532558,0.0,31.605642824850523,210.57535905844477,-0.0,-5478.311422974092,0.0,9113.371829144051,405.26637439957744,0.0,0.0,0.0,-0.0,-0.0,0.5826845415112288,0.0,192.70651308988263,0.0,0.0,0.0,-0.0,-0.0,0.2219178497749383
t44,2321.2088576876577,0.0,0.0,31.605642824850523,210.57535905844477,-0.0,-5478.311422974092,0.0,7010.27081846784,405.26637439957744,0.0,0.0,0.0,-0.0,-0.0,0.5826845415112288,100.04262962130682,192.70651308988263,0.0,0.0,0.0,-0.0,-0.0,0.22191784977493834
t45,0.0,98.61564860466558,0.0,31.605642824850523,210.57535905844477,-0.0,-5478.311422974092,0.0,2523.697494648422,405.26637439957744,0.0,0.0,0.0,-0.0,-0.0,0.5826845415112288,347.7984297621069,192.70651308988263,0.0,0.0,0.0,-0.0,-0.0,0.2219178497749383
t46,0.0,197.23129720933116,0.0,31.605642824850523,210.57535905844477,-0.0,-5478.311422974092,0.0,0.0,405.26637439957744,0.0,0.0,0.0,-0.0,-0.0,0.5826845415112288,204.53380171315564,192.70651308988263,0.0,0.0,0.0,-0.0,-0.0,0.2219178497749383
t47,0.0,197.23129720933116,0.0,31.605642824850523,210.57535905844477,-0.0,-5478.311422974092,0.0,0.0,405.26637439957744,0.0,0.0,0.0,-0.0,-0.0,0.5826845415112288,0.0,192.70651308988263,0.0,0.0,0.0,-0.0,-0.0,0.22191784977493834
t48,0.0,197.23129720933116,0.0,31.605642824850523,210.57535905844477,-0.0,-5478.311422974092,0.0,2079.534278845101,405.26637439957744,0.0,0.0,0.0,-0.0,-0.0,0.5826845415112288,0.0,192.70651308988263,0.0,0.0,0.0,-0.0,-0.0,0.22191784977493834
t49,0.0,197.23129720933116,0.0,31.605642824850523,210.57535905844477,-0.0,-5478.311422974092,0.0,0.0,405.26637439957744,0.0,0.0,0.0,-0.0,-0.0,0.5826845415112288,0.0,192.70651308988263,0.0,0.0,0.0,-0.0,-0.0,0.22191784977493834
t50,0.0,197.23129720933116,0.0,31.605642824850523,210.57535905844477,-0.0,-5478.311422974092,0.0,0.0,405.26637439957744,0.0,0.0,0.0,-0.0,-0.0,0.5826845415112288,0.0,192.70651308988263,0.0,0.0,0.0,-0.0,-0.0,0.2219178497749383
