,Power CCS,H2 CCS,DAC Capture,Biorefinery Capture,CO2 Pipeline Import,CO2 Storage,Power CCS,H2 CCS,DAC Capture,Biorefinery Capture,CO2 Pipeline Import,CO2 Storage,Power CCS,H2 CCS,DAC Capture,Biorefinery Capture,CO2 Pipeline Import,CO2 Storage
Zone,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3
AnnualSum,0.0,2.518487155606508e7,0.0,5.026857644008751e7,7.12328612179257e7,-1.4668630921407813e8,0.0,5.6824701653614976e7,0.0,0.0,-4.385990165361509e7,-1.2964799999999877e7,0.0,2.7380208542252544e7,0.0,0.0,-2.7380208542252544e7,0.0
t1,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t2,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t3,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t4,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t5,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t6,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t7,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t8,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t9,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t10,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t11,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t12,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t13,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t14,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
