Line,Existing_Trans_Capacity,New_Trans_Capacity,Total_Pipes,Fixed_Cost_Pipes
1,0.0,8180.2974,7.1659408,4.0047728e8
2,0.0,3128.2512,2.740348,1.5314768e8
