,Source_Zone_CO2_Net,Sink_Zone_CO2_Net,Pipe_Level,Source_Zone_CO2_Net,Sink_Zone_CO2_Net,Pipe_Level
Pipe,1,1,1,2,2,2
Zone,"[""z1""]","[""z2""]",NA,"[""z2""]","[""z3""]",NA
t73,7926.5158611208135,-7926.5158611208135,0.0,3018.84678722505,-3018.84678722505,0.0
t74,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t75,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t76,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t77,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t78,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t79,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t80,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t81,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t82,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t83,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t84,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t85,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t86,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t87,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t88,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t89,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t90,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t91,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t92,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t93,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t94,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t95,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t96,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t97,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t98,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t99,7926.5158611208135,-7926.5158611208135,0.0,3018.84678722505,-3018.84678722505,0.0
t100,7926.5158611208135,-7926.5158611208135,0.0,3018.84678722505,-3018.84678722505,0.0
t101,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t102,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t103,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t104,7926.5158611208135,-7926.5158611208135,0.0,3018.84678722505,-3018.84678722505,0.0
t105,7926.5158611208135,-7926.5158611208135,0.0,3018.84678722505,-3018.84678722505,0.0
t106,7926.5158611208135,-7926.5158611208135,0.0,3018.84678722505,-3018.84678722505,0.0
t107,7926.5158611208135,-7926.5158611208135,0.0,3018.84678722505,-3018.84678722505,0.0
t108,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t109,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t110,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t111,7926.5158611208135,-7926.5158611208135,0.0,3018.84678722505,-3018.84678722505,0.0
t112,7926.5158611208135,-7926.5158611208135,0.0,3018.84678722505,-3018.84678722505,0.0
t113,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t114,7926.5158611208135,-7926.5158611208135,0.0,3018.84678722505,-3018.84678722505,0.0
t115,7926.5158611208135,-7926.5158611208135,0.0,3018.84678722505,-3018.84678722505,0.0
t116,0.0,0.0,0.0,3018.8467872250503,-3018.8467872250503,0.0
t117,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t118,7926.5158611208135,-7926.5158611208135,0.0,3018.84678722505,-3018.84678722505,0.0
t119,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t120,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t121,7926.5158611208135,-7926.5158611208135,0.0,3018.84678722505,-3018.84678722505,0.0
t122,7926.5158611208135,-7926.5158611208135,0.0,3018.84678722505,-3018.84678722505,0.0
t123,7926.5158611208135,-7926.5158611208135,0.0,3018.84678722505,-3018.84678722505,0.0
t124,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t125,7926.5158611208135,-7926.5158611208135,0.0,3018.84678722505,-3018.84678722505,0.0
t126,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t127,7926.5158611208135,-7926.5158611208135,0.0,3018.84678722505,-3018.84678722505,0.0
t128,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t129,7926.5158611208135,-7926.5158611208135,0.0,3018.84678722505,-3018.84678722505,0.0
t130,7926.5158611208135,-7926.5158611208135,0.0,3018.84678722505,-3018.84678722505,0.0
t131,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t132,7926.5158611208135,-7926.5158611208135,0.0,3018.84678722505,-3018.84678722505,0.0
t133,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t134,7926.5158611208135,-7926.5158611208135,0.0,3018.84678722505,-3018.84678722505,0.0
t135,7926.5158611208135,-7926.5158611208135,0.0,3018.84678722505,-3018.84678722505,0.0
t136,7926.5158611208135,-7926.5158611208135,0.0,3018.84678722505,-3018.84678722505,0.0
t137,7926.5158611208135,-7926.5158611208135,0.0,3018.84678722505,-3018.84678722505,0.0
t138,7926.5158611208135,-7926.5158611208135,0.0,3018.84678722505,-3018.84678722505,0.0
t139,7926.5158611208135,-7926.5158611208135,0.0,3018.84678722505,-3018.84678722505,0.0
t140,7926.5158611208135,-7926.5158611208135,0.0,3018.84678722505,-3018.84678722505,0.0
t141,7926.5158611208135,-7926.5158611208135,0.0,3018.84678722505,-3018.84678722505,0.0
t142,7926.5158611208135,-7926.5158611208135,0.0,3018.84678722505,-3018.84678722505,0.0
t143,7926.5158611208135,-7926.5158611208135,0.0,3018.84678722505,-3018.84678722505,0.0
t144,7926.5158611208135,-7926.5158611208135,0.0,3018.84678722505,-3018.84678722505,0.0
t145,7926.5158611208135,-7926.5158611208135,0.0,3018.84678722505,-3018.84678722505,0.0
t146,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t147,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t148,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t149,7926.5158611208135,-7926.5158611208135,0.0,3018.84678722505,-3018.84678722505,0.0
t150,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t151,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t152,7926.5158611208135,-7926.5158611208135,0.0,3018.84678722505,-3018.84678722505,0.0
t153,7926.5158611208135,-7926.5158611208135,0.0,3018.84678722505,-3018.84678722505,0.0
t154,7926.5158611208135,-7926.5158611208135,0.0,3018.84678722505,-3018.84678722505,0.0
t155,7926.5158611208135,-7926.5158611208135,0.0,3018.84678722505,-3018.84678722505,0.0
t156,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t157,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t158,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t159,7926.5158611208135,-7926.5158611208135,0.0,2883.157172707762,-2883.157172707762,0.0
t160,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t161,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t162,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t163,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t164,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t165,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t166,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t167,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t168,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
