Region,Resource,Zone,Cluster,AnnualSum
BE0 0,BE0 0 CCGT,1,1,111675.43
BE0 0,BE0 0 OCGT,1,1,52138.516
BE0 0,BE0 0 biomass,1,1,1.5090744e9
BE0 0,BE0 0 coal,1,1,3412.427
BE0 0,BE0 0 nuclear,1,1,1.4664494e9
BE0 0,BE0 0 offwind-ac,1,1,6.729007e7
BE0 0,BE0 0 offwind-dc,1,1,7.408334e7
BE0 0,BE0 0 onwind,1,1,1.1739457e8
BE0 0,BE0 0 ror,1,1,2.5508002e7
BE0 0,BE0 0 solar,1,1,551119.3
DE0 0,DE0 0 CCGT,2,1,24418.426
DE0 0,DE0 0 OCGT,2,1,6273.895
DE0 0,DE0 0 biomass,2,1,1.8115416e10
DE0 0,DE0 0 coal,2,1,1841.1779
DE0 0,DE0 0 lignite,2,1,1763.4658
DE0 0,DE0 0 nuclear,2,1,2.0174232e9
DE0 0,DE0 0 offwind-ac,2,1,3.708287e8
DE0 0,DE0 0 offwind-dc,2,1,5.3283402e8
DE0 0,DE0 0 oil,2,1,2700.0457
DE0 0,DE0 0 onwind,2,1,10306.845
DE0 0,DE0 0 ror,2,1,6.3811757e8
DE0 0,DE0 0 solar,2,1,1650.1597
DK0 0,DK0 0 OCGT,3,1,7983.0854
DK0 0,DK0 0 biomass,3,1,4.5196742e8
DK0 0,DK0 0 coal,3,1,4102.342
DK0 0,DK0 0 offwind-ac,3,1,4.0290724e7
DK0 0,DK0 0 offwind-dc,3,1,4.876203e7
DK0 0,DK0 0 onwind,3,1,1.5652254e8
DK0 0,DK0 0 solar,3,1,3121.142
BE0 0,DK0 0 nuclear,3,1,43865.06
DK3 0,DK3 0 CCGT,4,1,40313.65
DK3 0,DK3 0 OCGT,4,1,13126.488
DK3 0,DK3 0 biomass,4,1,2.5702331e8
DK3 0,DK3 0 coal,4,1,4090.468
DK3 0,DK3 0 offwind-ac,4,1,4.695652e7
DK3 0,DK3 0 offwind-dc,4,1,6.6080724e7
DK3 0,DK3 0 oil,4,1,7235.6978
DK3 0,DK3 0 onwind,4,1,4.3731386e8
BE0 0,DK3 0 nuclear,4,1,43790.297
FR0 0,FR0 0 CCGT,5,1,38417.152
FR0 0,FR0 0 OCGT,5,1,9596.108
FR0 0,FR0 0 coal,5,1,3226.3816
FR0 0,FR0 0 nuclear,5,1,1.3715843e10
FR0 0,FR0 0 offwind-ac,5,1,336898.16
FR0 0,FR0 0 offwind-dc,5,1,296969.2
FR0 0,FR0 0 oil,5,1,3245.6663
FR0 0,FR0 0 onwind,5,1,7.0128525e8
FR0 0,FR0 0 ror,5,1,6.4545114e8
FR0 0,FR0 0 solar,5,1,2.684613e8
GB4 0,GB4 0 CCGT,6,1,32970.914
GB4 0,GB4 0 coal,6,1,2947.8445
GB4 0,GB4 0 offwind-ac,6,1,1.5271699e7
