,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,HSC_Consumption,Demand
t13,16304.820416808414,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-16304.820416808414
t14,16452.998288466166,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-16452.998288466166
t15,16455.100102248543,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-16455.100102248543
t16,16464.55826426925,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-16464.55826426925
t17,16482.423681419477,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-16482.423681419477
t18,16338.449437326484,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-16338.449437326484
t19,15888.661287897288,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-15888.661287897288
t20,15523.26768976327,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.3219999999999956,-15522.945689763268
t21,15607.606745704403,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10.046666666666663,-15597.560079037738
t22,15031.764327985302,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16.406666666666663,-15015.357661318636
t23,13470.44215322144,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-21.986666666666665,-13448.455486554773
t24,11967.14167125539,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-25.686666666666664,-11941.455004588723
t25,10988.124502673478,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-22.961999999999996,-10965.162502673478
t26,10395.574055144387,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-27.32666666666666,-10368.24738847772
t27,10114.981915196733,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-27.32666666666666,-10087.655248530065
t28,9999.281118063955,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-23.022,-9976.259118063956
t29,10243.307090377826,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-22.186666666666664,-10221.12042371116
t30,10921.815530549231,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13.401999999999997,-10908.413530549233
t31,12640.98749876703,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-9.086666666666662,-12631.900832100364
t32,14150.457049644978,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-1.0466666666666633,-14149.41038297831
t33,14952.303247847252,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-14952.303247847252
t34,15453.585834944746,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-15453.585834944746
t35,15879.20312587658,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-15879.20312587658
t36,16112.958422992018,0.0,0.0,-4.657594836080385,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-16108.300828155936
t37,16238.005898595038,0.0,0.0,-25.66528821131797,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-16212.34061038372
t38,16402.554757689057,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-16402.554757689057
t39,16349.151854076581,0.0,13.468441747267764,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-16362.620295823848
t40,16291.307644066905,0.0,0.0,-15.912620211800288,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-16275.395023855104
t41,16215.049808234526,0.0,25.66528821131797,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-16240.715096445843
t42,16089.384504114523,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-16089.384504114523
t43,15765.705181628091,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-15765.705181628091
t44,15560.778337846097,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-15560.778337846097
t45,15661.55286494436,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-5.141999999999997,-15656.41086494436
t46,14980.45066499748,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10.281999999999996,-14970.168664997478
