Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_Tonne,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_H2_tonne_per_hr_z1,Load_H2_tonne_per_hr_z2,Load_H2_tonne_per_hr_z3,Load_H2_tonne_per_hr_z4,Load_H2_tonne_per_hr_z5,Load_H2_tonne_per_hr_z6,Load_H2_tonne_per_hr_z7,Load_H2_tonne_per_hr_z8,Load_H2_tonne_per_hr_z9
50000000,1,1,0,1,168,1,1,205,173,143,449,563,824,618,315,91
,,,,,,,2,205,173,143,449,563,824,618,315,91
,,,,,,,3,205,173,143,449,563,824,618,315,91
,,,,,,,4,205,173,143,449,563,824,618,315,91
,,,,,,,5,205,173,143,449,563,824,618,315,91
,,,,,,,6,205,173,143,449,563,824,618,315,91
,,,,,,,7,205,173,143,449,563,824,618,315,91
,,,,,,,8,205,173,143,449,563,824,618,315,91
,,,,,,,9,205,173,143,449,563,824,618,315,91
,,,,,,,10,205,173,143,449,563,824,618,315,91
,,,,,,,11,205,173,143,449,563,824,618,315,91
,,,,,,,12,205,173,143,449,563,824,618,315,91
,,,,,,,13,205,173,143,449,563,824,618,315,91
,,,,,,,14,205,173,143,449,563,824,618,315,91
,,,,,,,15,205,173,143,449,563,824,618,315,91
,,,,,,,16,205,173,143,449,563,824,618,315,91
,,,,,,,17,205,173,143,449,563,824,618,315,91
,,,,,,,18,205,173,143,449,563,824,618,315,91
,,,,,,,19,205,173,143,449,563,824,618,315,91
,,,,,,,20,205,173,143,449,563,824,618,315,91
,,,,,,,21,205,173,143,449,563,824,618,315,91
,,,,,,,22,205,173,143,449,563,824,618,315,91
,,,,,,,23,205,173,143,449,563,824,618,315,91
,,,,,,,24,205,173,143,449,563,824,618,315,91
,,,,,,,25,205,173,143,449,563,824,618,315,91
,,,,,,,26,205,173,143,449,563,824,618,315,91
,,,,,,,27,205,173,143,449,563,824,618,315,91
,,,,,,,28,205,173,143,449,563,824,618,315,91
,,,,,,,29,205,173,143,449,563,824,618,315,91
,,,,,,,30,205,173,143,449,563,824,618,315,91
,,,,,,,31,205,173,143,449,563,824,618,315,91
,,,,,,,32,205,173,143,449,563,824,618,315,91
,,,,,,,33,205,173,143,449,563,824,618,315,91
,,,,,,,34,205,173,143,449,563,824,618,315,91
,,,,,,,35,205,173,143,449,563,824,618,315,91
,,,,,,,36,205,173,143,449,563,824,618,315,91
,,,,,,,37,205,173,143,449,563,824,618,315,91
,,,,,,,38,205,173,143,449,563,824,618,315,91
,,,,,,,39,205,173,143,449,563,824,618,315,91
