Conventional_ethanol_co2_per_mmbtu,Conventional_ethanol_price_per_mmbtu,Bio_ethanol_co2_per_mmbtu,Time_Index,Load_mmbtu_z1,Load_mmbtu_z2,Load_mmbtu_z3,Load_mmbtu_z4,Load_mmbtu_z5,Load_mmbtu_z6,Load_mmbtu_z7,Load_mmbtu_z8,Load_mmbtu_z9
,,,71,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,72,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,73,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,74,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,75,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,76,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,77,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,78,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,79,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,80,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,81,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,82,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,83,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,84,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,85,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,86,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,87,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,88,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,89,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,90,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,91,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,92,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,93,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,94,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,95,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,96,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,97,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,98,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,99,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,100,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,101,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,102,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,103,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,104,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,105,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,106,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,107,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,108,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,109,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,110,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,111,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,112,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,113,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,114,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,115,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,116,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,117,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,118,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,119,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,120,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,121,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,122,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,123,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,124,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,125,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,126,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,127,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,128,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,129,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,130,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,131,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,132,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,133,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,134,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,135,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,136,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,137,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,138,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,139,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,140,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,141,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,142,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,143,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,144,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,145,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,146,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,147,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,148,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,149,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,150,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,151,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,152,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,153,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,154,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,155,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,156,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,157,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,158,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,159,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,160,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,161,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,162,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,163,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,164,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,165,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,166,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,167,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,168,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,169,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,170,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,171,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,172,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,173,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,174,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,175,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,176,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,177,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,178,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,179,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,180,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,181,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,182,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,183,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,184,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,185,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,186,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,187,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,188,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,189,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,190,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,191,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,192,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,193,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,194,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,195,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,196,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,197,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,198,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,199,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,200,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,201,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,202,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,203,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,204,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,205,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,206,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,207,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,208,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,209,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,210,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,211,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,212,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,213,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,214,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,215,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,216,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,217,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,218,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,219,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,220,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,221,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,222,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,223,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,224,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,225,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,226,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,227,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,228,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,229,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
