Syn_Fuel_Resource,Zone,mmbtu_sf_diesel_p_tonne_co2,mmbtu_sf_jetfuel_p_tonne_co2,mmbtu_sf_gasoline_p_tonne_co2,tonnes_h2_p_tonne_co2,mmbtu_ng_p_tonne_co2,mwh_p_tonne_co2,Inv_Cost_p_tonne_co2_p_hr_yr,Fixed_OM_cost_p_tonne_co2_hr_yr,Var_OM_cost_p_tonne_co2,mmbtu_p_tonne_co2_p1,price_p_mmbtu_p1,co2_out_p_mmbtu_p1,co2_out_p_co2_in,co2_captured_p_co2_in,Fuel,MinCapacity_tonne_p_hr,MaxCapacity_tonne_p_hr
CA_Synfuel_Plant,1,0,0,0,0.0934,0,0.0362,219430.6595,214160.0335,8.52E+00,0,0,0,0.545,0,None,0,100000000
NW_Synfuel_Plant,2,0,0,0,0.0934,0,0.0362,219430.6595,214160.0335,8.52E+00,0,0,0,0.545,0,None,0,100000000
SW_Synfuel_Plant,3,0,0,0,0.0934,0,0.0362,219430.6595,214160.0335,8.52E+00,0,0,0,0.545,0,None,0,100000000
TX_Synfuel_Plant,4,0,0,0,0.0934,0,0.0362,219430.6595,214160.0335,8.52E+00,0,0,0,0.545,0,None,0,100000000
NCEN_Synfuel_Plant,5,0,0,0,0.0934,0,0.0362,219430.6595,214160.0335,8.52E+00,0,0,0,0.545,0,None,0,100000000
CEN_Synfuel_Plant,6,0,0,0,0.0934,0,0.0362,219430.6595,214160.0335,8.52E+00,0,0,0,0.545,0,None,0,100000000
SE_Synfuel_Plant,7,0,0,0,0.0934,0,0.0362,219430.6595,214160.0335,8.52E+00,0,0,0,0.545,0,None,0,100000000
MIDAT_Synfuel_Plant,8,0,0,0,0.0934,0,0.0362,219430.6595,214160.0335,8.52E+00,0,0,0,0.545,0,None,0,100000000
NE_Synfuel_Plant,9,0,0,0,0.0934,0,0.0362,219430.6595,214160.0335,8.52E+00,0,0,0,0.545,0,None,0,100000000
