Resource,Zone,Capacity
Liquid_DAC_1,1,0.0009740594440102082
Liquid_DAC_2,2,0.0010072893102208206
Liquid_DAC_3,3,0.0010529707790959454
Liquid_DAC_4,4,0.0008559343957261991
Liquid_DAC_5,5,0.0009575941980553053
Liquid_DAC_6,6,0.0008696541414988135
Liquid_DAC_7,7,0.0009330354550133641
Liquid_DAC_8,8,0.0009188258781536838
Liquid_DAC_9,9,0.0010141591385681202
Liquid_DAC_10,10,0.000973904348462299
Solid_DAC_1,1,0.004113882393537066
Solid_DAC_2,2,0.004859325173984151
Solid_DAC_3,3,0.0042121615968850395
Solid_DAC_4,4,0.004653819344531263
Solid_DAC_5,5,0.004863807613026273
Solid_DAC_6,6,0.0034844988812135465
Solid_DAC_7,7,0.004797319363517194
Solid_DAC_8,8,0.004148033496324886
Solid_DAC_9,9,1.3267869801931933
Solid_DAC_10,10,0.004335232692474909
Total,n/a,1.3758124878374922
