,Injection to Storage,Injection to Storage,Injection to Storage,Injection to Storage,Injection to Storage,Injection to Storage,Injection to Storage,Injection to Storage,Injection to Storage,Injection to Storage
Zone,1,2,3,4,5,6,7,8,9,10
AnnualSum,25.144745553707416,32.757069745358706,17.474445854049293,20.873145620524873,29.334043514568542,44.37423947854721,33.412310668193165,26.096954905743562,17.73920463312066,22.080646835693255
t1,0.036726378122846896,0.049290022813908825,0.02546853169626335,0.029762508431530308,0.0431373358777655,0.0687559760637916,0.03911552595574833,0.03808287452083347,0.02399756767929457,0.031254189186798294
t2,0.035049982944822984,0.04920584463623806,0.02569046334979155,0.030240263431872434,0.0431453708711824,0.06993663959118956,0.038382403943200596,0.035866767480047544,0.024021601102669297,0.03144748712869003
t3,0.03485464253846647,0.049026638655500936,0.025633761182481344,0.030195309448295387,0.04285838642794144,0.06988648338903226,0.03782724757816897,0.03562937899252695,0.023956303455982368,0.031295599677360626
t4,0.03569367356793592,0.050987594845527714,0.026653167965500643,0.031392300641102704,0.044489943999773546,0.0711031873214128,0.038752750081301336,0.036508310413964976,0.02470466098033646,0.03250406925111589
t5,0.03962018357343341,0.05571027513667976,0.028908464555408225,0.03398238750772837,0.0486574974340453,0.07789460310961537,0.0455188445579678,0.0409613201730009,0.027139571651593985,0.035816052021780086
t6,0.05162895047908386,0.06700983686693536,0.03537296003658978,0.041009119281758405,0.05922756098170869,0.09052367307154786,0.06477898299461102,0.05428522079295972,0.03501559850094635,0.04532191291906385
t7,0.05862544337257956,0.07380472391731234,0.04148211972811883,0.04746032846774498,0.06625930198278734,0.09783328052170014,0.07611939973630685,0.06145794447383975,0.04209370096759913,0.05278964241964647
t8,0.06326285572380502,0.07811181439011833,0.04646782128734416,0.05247808410968945,0.07084328774932433,0.10252568300920568,0.08255336552699452,0.06610725655052165,0.04758341770843147,0.05786940865364875
t9,0.06421882620247454,0.07898865207624448,0.04758382092231311,0.05359780699980417,0.07177229357612162,0.10338469903251607,0.08371756985838526,0.06705509084380776,0.048795097797623116,0.058944427889004475
t10,0.06570109580841219,0.08032509528101689,0.04936036931677356,0.05532353041204238,0.07318392056352215,0.10448696520112422,0.08560857618231629,0.0685230612701533,0.05063412835857145,0.06057056936547282
t11,0.06371751858366026,0.07850164480857551,0.047009688635060956,0.05303095205754433,0.07124451750370195,0.10244404097783298,0.08306895609814498,0.06659579840047082,0.04814167510810449,0.05840612198206161
t12,0.0613359732724066,0.0763264912239564,0.04437890595933964,0.05039194194511648,0.0689272191743872,0.09962614964984168,0.0797699116655025,0.0642501600462707,0.04529552193639804,0.055838928724694356
