Resource,Zone,Capacity
GEO_SEQ_INJECT_1,1,0.08137529706012954
GEO_SEQ_INJECT_2,2,0.09553718176647959
GEO_SEQ_INJECT_3,3,0.06758544009675913
GEO_SEQ_INJECT_4,4,0.07332118175588631
GEO_SEQ_INJECT_5,5,0.08886605857334237
GEO_SEQ_INJECT_6,6,0.12169358068016384
GEO_SEQ_INJECT_7,7,0.10209437229025141
GEO_SEQ_INJECT_8,8,0.08403126182209643
GEO_SEQ_INJECT_9,9,0.06812787097065233
GEO_SEQ_INJECT_10,10,0.07679682902667612
GEO_SEQ_GAS_INJECT_1,1,0.0
GEO_SEQ_GAS_INJECT_2,2,0.0
GEO_SEQ_GAS_INJECT_3,3,0.0
GEO_SEQ_GAS_INJECT_4,4,0.0
GEO_SEQ_GAS_INJECT_5,5,0.0
GEO_SEQ_GAS_INJECT_6,6,0.0
GEO_SEQ_GAS_INJECT_7,7,0.0
GEO_SEQ_GAS_INJECT_8,8,0.0
GEO_SEQ_GAS_INJECT_9,9,0.0
GEO_SEQ_GAS_INJECT_10,10,0.0
Total,n/a,0.8594290740424371
