,Fuel Usage Emissions,Fuel Usage Emissions,Fuel Usage Emissions,Fuel Usage Emissions,Fuel Usage Emissions,Fuel Usage Emissions,Fuel Usage Emissions,Fuel Usage Emissions,Fuel Usage Emissions,Fuel Usage Emissions
Zone,1,2,3,4,5,6,7,8,9,10
AnnualSum,1.0455160753599488,1.2123368217552704,1.0741584870909662,1.0961730310391262,1.1813358806818426,0.8405685811716969,1.159790647939503,1.0352208399602285,230.7308332159344,1.0792504931224385
t1,0.001226998710220401,0.0014316424027124755,0.0012606505196755121,0.0012925645081850205,0.0013943583279475535,0.0009887027545950726,0.0013724838649077835,0.0012198966703936456,0.2746680843099377,0.0012713939439392935
t2,0.001226366207869986,0.0014314856205797557,0.0012607947312103331,0.001292550980589289,0.0013948084317965915,0.0009851717672508813,0.00137325961038007,0.0012202105113071216,0.27466776123959963,0.001271430692519627
t3,0.0012262879249973439,0.0014313656360666841,0.0012607480630663316,0.0012925011682965583,0.0013948095914297176,0.0009888753434561962,0.0013735038069025934,0.0012203699428422635,0.2746677079495557,0.0012714838406832473
t4,0.001226337861482294,0.0014312878979550541,0.0012606213146411495,0.0012924740257762727,0.00139474117211203,0.000985730863188439,0.0013736671915704378,0.001220484990541392,0.27466771711219273,0.0012715492186612983
t5,0.0012262198542064722,0.0014312018270490404,0.0012604596095821738,0.001292452418963765,0.00139464153411339,0.000979650959678269,0.0013737625391592955,0.0012204235428463885,0.2746676276303453,0.0012715155958912157
t6,0.0012257135433837475,0.001431083672005025,0.0012602025029491645,0.0012923446358312197,0.001394499266863491,0.0009817422628025845,0.0013736609678836938,0.0012200976617699592,0.27466731706480757,0.001271267262757698
t7,0.0012255691403223246,0.0014309494360882375,0.0012600738120285716,0.001292255293848703,0.00139422552005628,0.0009789543388797988,0.0013738923046842095,0.0012200456594104877,0.2746670950600111,0.0012710661019567809
t8,0.0012255427441561747,0.0014308003044621932,0.0012599456589600985,0.0012920960348837033,0.0013939511021770423,0.0009793312532619313,0.001374079818259856,0.001219941568817715,0.2746669200136931,0.0012708516392851597
t9,0.001225595872127261,0.0014307337670493552,0.0012599990811531275,0.0012920291201915166,0.0013937432555155783,0.000978452286372016,0.0013741880623545373,0.001219854428769695,0.2746668798745618,0.0012707171889492683
t10,0.0012255973319239598,0.001430664338855105,0.001260052973316984,0.0012919339944999293,0.0013934131237573867,0.0009790475356352866,0.0013739217231023679,0.001219753490833856,0.2746669088628199,0.0012705913620679255
t11,0.0012257751497422977,0.0014308419618628975,0.0012605060896838298,0.0012920714670352001,0.00139345843260296,0.0009773000755399933,0.0013737804999296988,0.001219754923612333,0.2746670771806744,0.0012706442163974083
t12,0.0012259508829402738,0.001430859562532635,0.0012607020497544283,0.001292118857993953,0.001393267157170915,0.0009794229483073582,0.0013737490827561267,0.0012197935423617374,0.27466717410497915,0.0012707289607618915
t13,0.001225977533074446,0.0014309264976298608,0.0012607261244218606,0.001292149775093825,0.0013932854142646527,0.0009793731170221723,0.001373739808744787,0.0012199295083624047,0.2746671721289715,0.0012707249153628144
