Resource,Zone,Investment_Cost,Fixed_OM_Cost,Total_Cost
CAPTURE_COMP_1,1,226.39051509486174,78.2871970978862,304.67771219274795
CAPTURE_COMP_2,2,257.7673311342314,89.13748815601193,346.9048192902434
CAPTURE_COMP_3,3,248.50903974174668,85.93591549856463,334.4449552403113
CAPTURE_COMP_4,4,252.522141766941,87.32367023329223,339.8458120002332
CAPTURE_COMP_5,5,251.71193790989162,87.04349688318649,338.7554347930781
CAPTURE_COMP_6,6,208.65261157377316,72.15332373982224,280.8059353135954
CAPTURE_COMP_7,7,249.15671675544786,86.15988609205947,335.31660284750734
CAPTURE_COMP_8,8,234.63338281176775,81.13763016189876,315.77101297366653
CAPTURE_COMP_9,9,49962.91945913431,17277.47702523708,67240.39648437139
CAPTURE_COMP_10,10,230.19811524610824,79.60388805283047,309.8020032989387
