Line,Existing_Trans_Capacity,New_Trans_Capacity,Total_Pipes,Fixed_Cost_Pipes
1,0.0,0.02593611,2.2720033e-5,1201.8131
2,0.0,1.1415525e6,1000.0,-4.7351706e9
3,0.0,1.1415525e6,1000.0,-7.740421e10
4,0.0,0.023357848,2.0461473e-5,1169.8318
5,0.0,1.1415525e6,1000.0,-2.5451705e11
6,0.0,1.1415525e6,1000.0,-6.9878415e9
7,0.0,0.030593226,2.6799666e-5,1216.4968
8,0.0,1.1415525e6,1000.0,-2.0042093e11
9,0.0,1.1415525e6,1000.0,-6.345103e11
10,0.0,0.02897339,2.538069e-5,1213.0211
11,0.0,0.03102278,2.7175956e-5,1175.1914
12,0.0,1.1415525e6,1000.0,-1.7121336e10
13,0.0,1.1415525e6,1000.0,-7.0209084e11
14,0.0,1.1415525e6,1000.0,-2.6737e11
15,0.0,0.024233317,2.1228387e-5,1215.2406
16,0.0,1.1415525e6,1000.0,-1.473991e11
17,0.0,1.1415525e6,1000.0,-3.1207408e11
18,0.0,0.025842385,2.263793e-5,1260.8334
19,0.0,1.1415525e6,1000.0,-2.2879407e11
20,0.0,1.1415525e6,1000.0,-6.797603e11
21,0.0,1.1415525e6,1000.0,-2.893453e11
22,0.0,0.034266386,3.0017354e-5,1220.8805
23,0.0,0.029460793,2.5807654e-5,1249.4427
24,0.0,1.1415525e6,1000.0,-5.4350328e10
25,0.0,1.1415525e6,1000.0,-3.3473456e11
26,0.0,1.1415525e6,1000.0,-1.01128693e12
27,0.0,1.1415525e6,1000.0,-5.1607427e11
28,0.0,1.1415525e6,1000.0,-1.3482209e10
29,0.0,0.07491236,6.562323e-5,1072.274
30,0.0,0.21587005,0.00018910217,647.6178
31,0.0,1.1415525e6,1000.0,-2.991918e11
32,0.0,1.1415525e6,1000.0,-4.8896807e10
33,0.0,0.043580454,3.8176477e-5,1104.1359
34,0.0,1.1415525e6,1000.0,-5.897041e11
35,0.0,1.1415525e6,1000.0,-1.1618079e12
36,0.0,0.024256963,2.12491e-5,1199.9183
37,0.0,1.1415525e6,1000.0,-2.777261e11
38,0.0,1.1415525e6,1000.0,-6.927142e11
39,0.0,1.1415525e6,1000.0,-1.8389752e12
40,0.0,1.1415525e6,1000.0,-2.0075698e10
41,0.0,1.1415525e6,1000.0,-3.8147637e11
42,0.0,1.1415525e6,1000.0,-1.2411923e12
43,0.0,1.1415525e6,1000.0,-8.916423e10
44,0.0,1.1415525e6,1000.0,-4.59268e11
45,0.0,1.1415525e6,1000.0,-2.4041452e10
