,Pipeline CO2 Loss,Pipeline CO2 Loss,Pipeline CO2 Loss,Pipeline CO2 Loss,Pipeline CO2 Loss,Pipeline CO2 Loss,Pipeline CO2 Loss,Pipeline CO2 Loss,Pipeline CO2 Loss,Pipeline CO2 Loss
Zone,1,2,3,4,5,6,7,8,9,10
AnnualSum,0.11872971702428206,0.08422506876306064,0.25376921451509243,0.11512755101607933,0.09531644040259364,0.07348131063949219,0.11624384902680975,0.09244752818183186,882.2851265436403,0.3973136530547389
t1,0.00013978347881125512,0.00010093731928454084,0.00014151002681981082,0.00014040537750020088,0.00012245304917380288,8.281419883610734e-5,0.00014700229492565952,0.0001093812962734334,0.9854034422668064,0.00021692777903213118
t2,0.00015458030238916975,0.00010042853016046457,0.0001416403148372517,0.00014055916558589141,0.00012055718751249187,8.123753115581772e-5,0.00014713797960019093,0.00012046257303723066,0.987977191516392,0.0002157401916992191
t3,0.00015485647649369564,9.992160343847145e-5,0.00014162443537890106,0.0001405181925546484,0.0001178507619642144,8.06822469981057e-5,0.00014750928808255321,0.00012059095585366066,0.9898141242811259,0.0002157126997092305
t4,0.0001611295523198764,9.929046621522998e-5,0.0001413892572418413,0.00014006413382555954,0.0001164090951685683,8.376849935420545e-5,0.00015427271693397836,0.00012508337339003515,0.9781614412759709,0.00021552051137645835
t5,0.00015770837936335814,9.887249403717231e-5,0.00014107319675027733,0.0001397565099546602,0.00011857109674595676,8.187411400624632e-5,0.00015403872990949103,0.00012232934005679881,0.9367298898481486,0.0002160431860146658
t6,0.00014048505029831205,9.829294302547069e-5,0.000139879921491895,0.00013866534313809804,0.00012114473158815676,7.94969584578835e-5,0.00015207318584486125,0.0001091243974411452,0.8267991893614972,0.0002181206449892464
t7,0.00014108390829747412,9.79797825292433e-5,0.0001390693022834386,0.00013827112710152495,0.00012146044789352437,7.87776585479244e-5,0.0001502098893916847,0.00010920247801350628,0.7530379115243802,0.00021994320698347634
t8,0.0001418578540141219,9.759383568363156e-5,0.0001382651911450887,0.0001372793406177537,0.00012175083185801112,7.967768619812227e-5,0.00014960119934767955,0.00010927178114148665,0.7031601496817199,0.0002200656721552236
