Resource,CAPTURE_COMP_1,CAPTURE_COMP_2,CAPTURE_COMP_3,CAPTURE_COMP_4,CAPTURE_COMP_5,CAPTURE_COMP_6,CAPTURE_COMP_7,CAPTURE_COMP_8,CAPTURE_COMP_9,CAPTURE_COMP_10
Zone,1,2,3,4,5,6,7,8,9,10
AnnualSum,3.991367,4.7082453,4.094737,4.3790407,4.647672,3.2524736,4.574183,3.9981563,1115.1088,4.1639543
t1,0.004704527607103447,0.005576301193488935,0.00482956224904199,0.005182091994680672,0.005503125746657116,0.0038433007873276224,0.005424712668251546,0.004727665669052942,1.3274812873479538,0.004922996802366753
t2,0.004702750281501709,0.0055759363770831166,0.004830085876184701,0.005182065874015205,0.005503864477110362,0.0038331959982297057,0.005426371799625073,0.0047285222471325,1.3274803925170304,0.004923179083993682
t3,0.004702533097013189,0.005575645586856261,0.004829952365088493,0.005181963396763022,0.005503833605616374,0.0038437220765261595,0.005426912040905837,0.0047289585280599995,1.3274802644238335,0.004923361759435001
t4,0.0047026490706805575,0.005575456327931329,0.004829577624031323,0.005181864837108025,0.005503674428031437,0.0038343979335671496,0.005427277682337577,0.004729264433229993,1.3274803037224738,0.004923566507898294
t5,0.004702350592170732,0.0055752487584168255,0.004829137884636036,0.005181777641929522,0.005503433143271716,0.003817217891954948,0.005427483219611699,0.0047291134823579765,1.32748008788769,0.0049235107838499995
t6,0.004701064407067937,0.005574950907727833,0.0048285137171208,0.005181497980893999,0.005503054131548713,0.0038235202414205654,0.005427225397088485,0.004728270603847482,1.327479302900515,0.004922892760257708
t7,0.00470070387416604,0.005574620300994531,0.00482821664322221,0.005181269116278587,0.005502400423044571,0.003815539708091312,0.005427756456650187,0.004728120925423151,1.327478771598166,0.004922400567556558
t8,0.004700645561691428,0.005574254295446284,0.004827946494790758,0.005180871983914333,0.005501766161082717,0.003816781435715934,0.005428178007224371,0.004727835304652987,1.3274783586693004,0.004921874472914748
t9,0.004700804658506642,0.005574095742404931,0.004828183190372353,0.005180710286107757,0.005501333442705393,0.003814308600411851,0.005428433435083891,0.004727610044855687,1.3274782906538773,0.004921525237657987
t10,0.004700819180807406,0.0055739379594905,0.0048284574623670105,0.0051804798893952415,0.0055006808924114485,0.0038156955314470552,0.005427787389660594,0.004727380107352944,1.3274784180947043,0.004921206639726726
t11,0.0047012938764780104,0.005574374098229754,0.004829920942162265,0.005180814464467058,0.0055008619671817575,0.0038110630950194298,0.005427484548727304,0.004727373412459514,1.3274788517638045,0.004921299034019508
t12,0.004701770992742052,0.005574413417490683,0.004830485537916105,0.00518093522043117,0.005500549732679121,0.003816643550088265,0.0054274179349721495,0.004727489274424564,1.3274791008315776,0.0049215147037754755
t13,0.004701825020131368,0.005574576060852848,0.004830498078704825,0.005181016233853809,0.005500602078907837,0.0038164089209655827,0.0054273972255218786,0.004727856047140715,1.3274790769051934,0.004921478791070296
t14,0.004701747573608099,0.005574572450304713,0.004830393409865122,0.0051810049595533095,0.00550113405333461,0.0038155812344327234,0.005427550167191143,0.004728248583164972,1.3274788338110846,0.004921402654115315
t15,0.004701283774793778,0.005574465035935602,0.004830002094556032,0.0051808453975642765,0.005501205390534819,0.003815766079312205,0.005427780526969115,0.004728708486671132,1.3274785053744238,0.004921162527489705
t16,0.004700811901291927,0.005574767055659356,0.004829873886467497,0.005181019610671345,0.005501688175519679,0.003813390047118649,0.005428437494466496,0.00472916262847937,1.3274784323888755,0.004921136086737868
t17,0.004700207914670719,0.0055745487100185625,0.0048294962731098255,0.005180765880948042,0.005501741841295742,0.003813691965486756,0.005429087831369164,0.0047287311887286455,1.3274782787030392,0.004920845080307036
t18,0.004699790278702965,0.005574323361660622,0.004829175792034225,0.0051804659677029625,0.005501667849568114,0.0038136621848041904,0.005429103081550141,0.004728345049473158,1.3274781139779106,0.00492047990878291
t19,0.004699890268669956,0.00557436563742148,0.00482904419360341,0.005180504848923875,0.005501814445481413,0.003818713867058239,0.0054283816000233924,0.004728332676258025,1.3274783683984186,0.004920577446890028
t20,0.004699701428010735,0.005574050207518108,0.00482862201882742,0.005180224842081717,0.005501759573739559,0.0038168799161438396,0.005426279656926282,0.0047280331722414255,1.327478417424761,0.004920226259874769
t21,0.004699998572270443,0.005574549840397541,0.004829216498245207,0.005180701459306209,0.005502583397263724,0.003818241866485862,0.005424340478786793,0.004728169053794865,1.3274790946914339,0.004920655007779488
t22,0.004700455065569034,0.005575108998797679,0.004830138410637816,0.0051812577190051,0.005503215328815297,0.0038173479554385282,0.005422975876423847,0.004728334438839996,1.327479795673276,0.004921343268433006
t23,0.004701318424718804,0.005575723097940162,0.00483138904610366,0.00518186779391144,0.0055038072807130625,0.003817572771292051,0.005421012540320398,0.0047287589234674444,1.32748002073512,0.004921844591078137
t24,0.004701879260916606,0.005575763155459111,0.004831618442860598,0.005181984190764526,0.00550392748758334,0.0038195218481859336,0.005419485788348298,0.004728465595753189,1.3274802809057988,0.004921964725173883
t25,0.004702382290629023,0.005575759642982614,0.004831699270418038,0.0051821017285357054,0.005504012722999868,0.003821132445515302,0.005418686007983274,0.004728682674183372,1.3274811527044403,0.004922062025047715
t26,0.00470300294115891,0.005575874775680464,0.004831651883103828,0.005182175322044834,0.005504257228196462,0.003819985877290598,0.005417848511846181,0.004728249090225634,1.3274812469196764,0.004922158682950465
t27,0.004703280247776379,0.005575849312409263,0.004831792849709063,0.00518212767235275,0.005504125751210828,0.0038186211670194884,0.005417313979258915,0.004727700074854889,1.3274811561279385,0.004922148289171187
t28,0.00470369256104871,0.0055758187635689925,0.004831612244846496,0.0051820478912119,0.005503843031251851,0.0038194411589637725,0.005416962503207899,0.004728576134420136,1.3274804832101315,0.004922055789807804
t29,0.004703310172751508,0.005575679943311084,0.004831264735446862,0.005181877675921705,0.005503559333046245,0.003819133961040606,0.005416282563498606,0.004727893667739317,1.3274802520341589,0.004921717635013516
t30,0.004702504966992966,0.00557495719941651,0.004830130489883401,0.005181066861145914,0.0055026759685682545,0.003816353570419969,0.005415280607764588,0.004727337194470006,1.3274794646471966,0.004920487188343583
t31,0.00470113514967128,0.005574175757163984,0.0048285352538097945,0.005180244575173097,0.005501721048653102,0.003811311984945867,0.005414187913171577,0.004726462756804217,1.3274785355791814,0.004919121551651728
