Biorefinery,Zone,Biomass_type,Biomass_carbon_tonne_CO2_per_tonne,Biomass_energy_MMBtu_per_tonne,Biorefinery_efficiency,BioElectricity_fraction,BioNG_fraction,Inv_Cost_per_tonne_per_hr_yr,Fixed_OM_Cost_per_tonne_per_hr_yr,Var_OM_per_tonne,Power_consumption_MWh_per_tonne,NG_consumption_MMBtu_per_tonne,CCS_Rate,Min_capacity_tonne_per_hr,Max_capacity_tonne_per_hr,Biomass_min_consumption,Biomass_max_consumption
SE_Bio_NG_Herb,1,1,1.717,18.2,0.516,0,1,867993.28,500251.36,9.0384,0.208,0,0,0,1000000,0.85,0.9
MIDAT_Bio_NG_Herb,2,1,1.717,18.2,0.516,0,1,867993.28,500251.36,9.0384,0.208,0,0,0,1000000,0.85,0.9
NE_Bio_NG_Herb,3,1,1.717,18.2,0.516,0,1,867993.28,500251.36,9.0384,0.208,0,0,0,1000000,0.85,0.9
SE_Bio_NG_CCS_40_Herb,1,1,1.717,18.2,0.512,0,1,1015075.04,586130.72,9.7552,0.2528,0,0.3951,0,1000000,0.85,0.9
MIDAT_Bio_NG_CCS_40_Herb,2,1,1.717,18.2,0.512,0,1,1015075.04,586130.72,9.7552,0.2528,0,0.3951,0,1000000,0.85,0.9
NE_Bio_NG_CCS_40_Herb,3,1,1.717,18.2,0.512,0,1,1015075.04,586130.72,9.7552,0.2528,0,0.3951,0,1000000,0.85,0.9
SE_Bio_NG_Wood,1,2,1.717,18.2,0.516,0,1,867993.28,500251.36,9.0384,0.208,0,0,0,1000000,0.85,0.9
MIDAT_Bio_NG_Wood,2,2,1.717,18.2,0.516,0,1,867993.28,500251.36,9.0384,0.208,0,0,0,1000000,0.85,0.9
NE_Bio_NG_Wood,3,2,1.717,18.2,0.516,0,1,867993.28,500251.36,9.0384,0.208,0,0,0,1000000,0.85,0.9
SE_Bio_NG_CCS_40_Wood,1,2,1.717,18.2,0.512,0,1,1015075.04,586130.72,9.7552,0.2528,0,0.3951,0,1000000,0.85,0.9
MIDAT_Bio_NG_CCS_40_Wood,2,2,1.717,18.2,0.512,0,1,1015075.04,586130.72,9.7552,0.2528,0,0.3951,0,1000000,0.85,0.9
NE_Bio_NG_CCS_40_Wood,3,2,1.717,18.2,0.512,0,1,1015075.04,586130.72,9.7552,0.2528,0,0.3951,0,1000000,0.85,0.9
