Global_conventional_diesel_price_per_mmbtu,Conventional_diesel_co2_per_mmbtu,Syn_diesel_co2_per_mmbtu,Bio_diesel_co2_per_mmbtu,Time_Index,Load_mmbtu_z1,Load_mmbtu_z2,Load_mmbtu_z3
28.53,0.0741,0.0741,0.0741,1,15694,8816,3150
,,,,2,15694,8816,3150
,,,,3,15694,8816,3150
,,,,4,15694,8816,3150
,,,,5,15694,8816,3150
,,,,6,15694,8816,3150
,,,,7,15694,8816,3150
,,,,8,15694,8816,3150
,,,,9,15694,8816,3150
,,,,10,15694,8816,3150
,,,,11,15694,8816,3150
,,,,12,15694,8816,3150
,,,,13,15694,8816,3150
,,,,14,15694,8816,3150
,,,,15,15694,8816,3150
,,,,16,15694,8816,3150
,,,,17,15694,8816,3150
,,,,18,15694,8816,3150
,,,,19,15694,8816,3150
,,,,20,15694,8816,3150
,,,,21,15694,8816,3150
,,,,22,15694,8816,3150
,,,,23,15694,8816,3150
,,,,24,15694,8816,3150
,,,,25,15694,8816,3150
,,,,26,15694,8816,3150
,,,,27,15694,8816,3150
,,,,28,15694,8816,3150
,,,,29,15694,8816,3150
,,,,30,15694,8816,3150
,,,,31,15694,8816,3150
,,,,32,15694,8816,3150
,,,,33,15694,8816,3150
,,,,34,15694,8816,3150
,,,,35,15694,8816,3150
,,,,36,15694,8816,3150
,,,,37,15694,8816,3150
,,,,38,15694,8816,3150
,,,,39,15694,8816,3150
,,,,40,15694,8816,3150
,,,,41,15694,8816,3150
,,,,42,15694,8816,3150
,,,,43,15694,8816,3150
,,,,44,15694,8816,3150
,,,,45,15694,8816,3150
,,,,46,15694,8816,3150
,,,,47,15694,8816,3150
,,,,48,15694,8816,3150
,,,,49,15694,8816,3150
,,,,50,15694,8816,3150
,,,,51,15694,8816,3150
,,,,52,15694,8816,3150
,,,,53,15694,8816,3150
,,,,54,15694,8816,3150
,,,,55,15694,8816,3150
,,,,56,15694,8816,3150
,,,,57,15694,8816,3150
,,,,58,15694,8816,3150
,,,,59,15694,8816,3150
,,,,60,15694,8816,3150
,,,,61,15694,8816,3150
,,,,62,15694,8816,3150
,,,,63,15694,8816,3150
,,,,64,15694,8816,3150
,,,,65,15694,8816,3150
,,,,66,15694,8816,3150
,,,,67,15694,8816,3150
,,,,68,15694,8816,3150
,,,,69,15694,8816,3150
,,,,70,15694,8816,3150
,,,,71,15694,8816,3150
,,,,72,15694,8816,3150
,,,,73,15694,8816,3150
,,,,74,15694,8816,3150
,,,,75,15694,8816,3150
,,,,76,15694,8816,3150
,,,,77,15694,8816,3150
,,,,78,15694,8816,3150
,,,,79,15694,8816,3150
,,,,80,15694,8816,3150
,,,,81,15694,8816,3150
,,,,82,15694,8816,3150
,,,,83,15694,8816,3150
,,,,84,15694,8816,3150
,,,,85,15694,8816,3150
,,,,86,15694,8816,3150
,,,,87,15694,8816,3150
,,,,88,15694,8816,3150
,,,,89,15694,8816,3150
,,,,90,15694,8816,3150
,,,,91,15694,8816,3150
,,,,92,15694,8816,3150
,,,,93,15694,8816,3150
,,,,94,15694,8816,3150
,,,,95,15694,8816,3150
,,,,96,15694,8816,3150
,,,,97,15694,8816,3150
,,,,98,15694,8816,3150
,,,,99,15694,8816,3150
,,,,100,15694,8816,3150
,,,,101,15694,8816,3150
,,,,102,15694,8816,3150
,,,,103,15694,8816,3150
,,,,104,15694,8816,3150
,,,,105,15694,8816,3150
,,,,106,15694,8816,3150
,,,,107,15694,8816,3150
,,,,108,15694,8816,3150
,,,,109,15694,8816,3150
,,,,110,15694,8816,3150
,,,,111,15694,8816,3150
,,,,112,15694,8816,3150
,,,,113,15694,8816,3150
,,,,114,15694,8816,3150
,,,,115,15694,8816,3150
,,,,116,15694,8816,3150
,,,,117,15694,8816,3150
,,,,118,15694,8816,3150
,,,,119,15694,8816,3150
,,,,120,15694,8816,3150
,,,,121,15694,8816,3150
