Voll,Demand_Segment,Segment_Cost_of_Demand_Curtailment_Fraction,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_H2_MW_z1,Load_H2_MW_z2,Load_H2_MW_z3
,,,,,,,171,14771,7366,1812
,,,,,,,172,14771,7366,1812
,,,,,,,173,14771,7366,1812
,,,,,,,174,14771,7366,1812
,,,,,,,175,14771,7366,1812
,,,,,,,176,14771,7366,1812
,,,,,,,177,14771,7366,1812
,,,,,,,178,14771,7366,1812
,,,,,,,179,14771,7366,1812
,,,,,,,180,14771,7366,1812
,,,,,,,181,14771,7366,1812
,,,,,,,182,14771,7366,1812
,,,,,,,183,14771,7366,1812
,,,,,,,184,14771,7366,1812
,,,,,,,185,14771,7366,1812
,,,,,,,186,14771,7366,1812
,,,,,,,187,14771,7366,1812
,,,,,,,188,14771,7366,1812
,,,,,,,189,14771,7366,1812
,,,,,,,190,14771,7366,1812
,,,,,,,191,14771,7366,1812
,,,,,,,192,14771,7366,1812
,,,,,,,193,14771,7366,1812
,,,,,,,194,14771,7366,1812
,,,,,,,195,14771,7366,1812
,,,,,,,196,14771,7366,1812
,,,,,,,197,14771,7366,1812
,,,,,,,198,14771,7366,1812
,,,,,,,199,14771,7366,1812
,,,,,,,200,14771,7366,1812
,,,,,,,201,14771,7366,1812
,,,,,,,202,14771,7366,1812
,,,,,,,203,14771,7366,1812
,,,,,,,204,14771,7366,1812
,,,,,,,205,14771,7366,1812
,,,,,,,206,14771,7366,1812
,,,,,,,207,14771,7366,1812
,,,,,,,208,14771,7366,1812
,,,,,,,209,14771,7366,1812
,,,,,,,210,14771,7366,1812
,,,,,,,211,14771,7366,1812
,,,,,,,212,14771,7366,1812
,,,,,,,213,14771,7366,1812
,,,,,,,214,14771,7366,1812
,,,,,,,215,14771,7366,1812
,,,,,,,216,14771,7366,1812
,,,,,,,217,14771,7366,1812
,,,,,,,218,14771,7366,1812
,,,,,,,219,14771,7366,1812
,,,,,,,220,14771,7366,1812
,,,,,,,221,14771,7366,1812
,,,,,,,222,14771,7366,1812
,,,,,,,223,14771,7366,1812
,,,,,,,224,14771,7366,1812
,,,,,,,225,14771,7366,1812
,,,,,,,226,14771,7366,1812
,,,,,,,227,14771,7366,1812
,,,,,,,228,14771,7366,1812
,,,,,,,229,14771,7366,1812
,,,,,,,230,14771,7366,1812
,,,,,,,231,14771,7366,1812
,,,,,,,232,14771,7366,1812
,,,,,,,233,14771,7366,1812
,,,,,,,234,14771,7366,1812
,,,,,,,235,14771,7366,1812
,,,,,,,236,14771,7366,1812
,,,,,,,237,14771,7366,1812
,,,,,,,238,14771,7366,1812
,,,,,,,239,14771,7366,1812
,,,,,,,240,14771,7366,1812
,,,,,,,241,14771,7366,1812
,,,,,,,242,14771,7366,1812
,,,,,,,243,14771,7366,1812
,,,,,,,244,14771,7366,1812
,,,,,,,245,14771,7366,1812
,,,,,,,246,14771,7366,1812
,,,,,,,247,14771,7366,1812
,,,,,,,248,14771,7366,1812
,,,,,,,249,14771,7366,1812
,,,,,,,250,14771,7366,1812
,,,,,,,251,14771,7366,1812
,,,,,,,252,14771,7366,1812
,,,,,,,253,14771,7366,1812
,,,,,,,254,14771,7366,1812
,,,,,,,255,14771,7366,1812
,,,,,,,256,14771,7366,1812
,,,,,,,257,14771,7366,1812
,,,,,,,258,14771,7366,1812
