Global_conventional_gasoline_price_per_mmbtu,Conventional_gasoline_co2_per_mmbtu,Syn_gasoline_co2_per_mmbtu,Bio_gasoline_co2_per_mmbtu,Time_Index,Load_mmbtu_z1,Load_mmbtu_z2,Load_mmbtu_z3
27.83,0.0707,0.0707,0.0707,1,18195,11896,7059
,,,,2,18195,11896,7059
,,,,3,18195,11896,7059
,,,,4,18195,11896,7059
,,,,5,18195,11896,7059
,,,,6,18195,11896,7059
,,,,7,18195,11896,7059
,,,,8,18195,11896,7059
,,,,9,18195,11896,7059
,,,,10,18195,11896,7059
,,,,11,18195,11896,7059
,,,,12,18195,11896,7059
,,,,13,18195,11896,7059
,,,,14,18195,11896,7059
,,,,15,18195,11896,7059
,,,,16,18195,11896,7059
,,,,17,18195,11896,7059
,,,,18,18195,11896,7059
,,,,19,18195,11896,7059
,,,,20,18195,11896,7059
,,,,21,18195,11896,7059
,,,,22,18195,11896,7059
,,,,23,18195,11896,7059
,,,,24,18195,11896,7059
,,,,25,18195,11896,7059
,,,,26,18195,11896,7059
,,,,27,18195,11896,7059
,,,,28,18195,11896,7059
,,,,29,18195,11896,7059
,,,,30,18195,11896,7059
,,,,31,18195,11896,7059
,,,,32,18195,11896,7059
,,,,33,18195,11896,7059
,,,,34,18195,11896,7059
,,,,35,18195,11896,7059
,,,,36,18195,11896,7059
,,,,37,18195,11896,7059
,,,,38,18195,11896,7059
,,,,39,18195,11896,7059
,,,,40,18195,11896,7059
,,,,41,18195,11896,7059
,,,,42,18195,11896,7059
,,,,43,18195,11896,7059
,,,,44,18195,11896,7059
,,,,45,18195,11896,7059
,,,,46,18195,11896,7059
,,,,47,18195,11896,7059
,,,,48,18195,11896,7059
,,,,49,18195,11896,7059
,,,,50,18195,11896,7059
,,,,51,18195,11896,7059
,,,,52,18195,11896,7059
,,,,53,18195,11896,7059
,,,,54,18195,11896,7059
,,,,55,18195,11896,7059
,,,,56,18195,11896,7059
,,,,57,18195,11896,7059
,,,,58,18195,11896,7059
,,,,59,18195,11896,7059
,,,,60,18195,11896,7059
,,,,61,18195,11896,7059
,,,,62,18195,11896,7059
,,,,63,18195,11896,7059
,,,,64,18195,11896,7059
,,,,65,18195,11896,7059
,,,,66,18195,11896,7059
,,,,67,18195,11896,7059
,,,,68,18195,11896,7059
,,,,69,18195,11896,7059
,,,,70,18195,11896,7059
,,,,71,18195,11896,7059
,,,,72,18195,11896,7059
,,,,73,18195,11896,7059
,,,,74,18195,11896,7059
,,,,75,18195,11896,7059
,,,,76,18195,11896,7059
,,,,77,18195,11896,7059
,,,,78,18195,11896,7059
,,,,79,18195,11896,7059
,,,,80,18195,11896,7059
,,,,81,18195,11896,7059
,,,,82,18195,11896,7059
,,,,83,18195,11896,7059
,,,,84,18195,11896,7059
,,,,85,18195,11896,7059
,,,,86,18195,11896,7059
,,,,87,18195,11896,7059
,,,,88,18195,11896,7059
,,,,89,18195,11896,7059
,,,,90,18195,11896,7059
,,,,91,18195,11896,7059
,,,,92,18195,11896,7059
,,,,93,18195,11896,7059
,,,,94,18195,11896,7059
,,,,95,18195,11896,7059
,,,,96,18195,11896,7059
,,,,97,18195,11896,7059
,,,,98,18195,11896,7059
,,,,99,18195,11896,7059
,,,,100,18195,11896,7059
,,,,101,18195,11896,7059
,,,,102,18195,11896,7059
,,,,103,18195,11896,7059
,,,,104,18195,11896,7059
,,,,105,18195,11896,7059
,,,,106,18195,11896,7059
,,,,107,18195,11896,7059
,,,,108,18195,11896,7059
,,,,109,18195,11896,7059
,,,,110,18195,11896,7059
,,,,111,18195,11896,7059
,,,,112,18195,11896,7059
,,,,113,18195,11896,7059
,,,,114,18195,11896,7059
,,,,115,18195,11896,7059
,,,,116,18195,11896,7059
