Biorefinery,Zone,Biomass_type,Biomass_carbon_tonne_CO2_per_tonne,Biomass_energy_MMBtu_per_tonne,Biorefinery_efficiency,BioElectricity_fraction,Inv_Cost_per_tonne_per_hr_yr,Fixed_OM_Cost_per_tonne_per_hr_yr,Var_OM_per_tonne,Power_consumption_MWh_per_tonne,NG_consumption_MMBtu_per_tonne,CCS_Rate,Min_capacity_tonne_per_hr,Max_capacity_tonne_per_hr,Biomass_min_consumption,Biomass_max_consumption
SE_Bio_Electricity_CCS_93_Herb,1,1,1.717,18.2,0.3012,1,765260.16,212409.12,47.2,0,0,0.932,0,1000000,0.4,0.9
MIDAT_Bio_Electricity_CCS_93_Herb,2,1,1.717,18.2,0.3012,1,765260.16,212409.12,47.2,0,0,0.932,0,1000000,0.4,0.9
NE_Bio_Electricity_CCS_93_Herb,3,1,1.717,18.2,0.3012,1,765260.16,212409.12,47.2,0,0,0.932,0,1000000,0.4,0.9
SE_Bio_Electricity_CCS_93_Wood,1,2,1.717,18.2,0.3012,1,765260.16,212409.12,47.2,0,0,0.932,0,1000000,0.4,0.9
MIDAT_Bio_Electricity_CCS_93_Wood,2,2,1.717,18.2,0.3012,1,765260.16,212409.12,47.2,0,0,0.932,0,1000000,0.4,0.9
NE_Bio_Electricity_CCS_93_Wood,3,2,1.717,18.2,0.3012,1,765260.16,212409.12,47.2,0,0,0.932,0,1000000,0.4,0.9
