Global_conventional_jetfuel_price_per_mmbtu,Conventional_jetfuel_co2_per_mmbtu,Syn_jetfuel_co2_per_mmbtu,Bio_jetfuel_co2_per_mmbtu,Time_Index,Load_mmbtu_z1,Load_mmbtu_z2,Load_mmbtu_z3
22.18,0.0722,0.0722,0.0722,1,59245,32396,33614
,,,,2,59245,32396,33614
,,,,3,59245,32396,33614
,,,,4,59245,32396,33614
,,,,5,59245,32396,33614
,,,,6,59245,32396,33614
,,,,7,59245,32396,33614
,,,,8,59245,32396,33614
,,,,9,59245,32396,33614
,,,,10,59245,32396,33614
,,,,11,59245,32396,33614
,,,,12,59245,32396,33614
,,,,13,59245,32396,33614
,,,,14,59245,32396,33614
,,,,15,59245,32396,33614
,,,,16,59245,32396,33614
,,,,17,59245,32396,33614
,,,,18,59245,32396,33614
,,,,19,59245,32396,33614
,,,,20,59245,32396,33614
,,,,21,59245,32396,33614
,,,,22,59245,32396,33614
,,,,23,59245,32396,33614
,,,,24,59245,32396,33614
,,,,25,59245,32396,33614
,,,,26,59245,32396,33614
,,,,27,59245,32396,33614
,,,,28,59245,32396,33614
,,,,29,59245,32396,33614
,,,,30,59245,32396,33614
,,,,31,59245,32396,33614
,,,,32,59245,32396,33614
,,,,33,59245,32396,33614
,,,,34,59245,32396,33614
,,,,35,59245,32396,33614
,,,,36,59245,32396,33614
,,,,37,59245,32396,33614
,,,,38,59245,32396,33614
,,,,39,59245,32396,33614
,,,,40,59245,32396,33614
,,,,41,59245,32396,33614
,,,,42,59245,32396,33614
,,,,43,59245,32396,33614
,,,,44,59245,32396,33614
,,,,45,59245,32396,33614
,,,,46,59245,32396,33614
,,,,47,59245,32396,33614
,,,,48,59245,32396,33614
,,,,49,59245,32396,33614
,,,,50,59245,32396,33614
,,,,51,59245,32396,33614
,,,,52,59245,32396,33614
,,,,53,59245,32396,33614
,,,,54,59245,32396,33614
,,,,55,59245,32396,33614
,,,,56,59245,32396,33614
,,,,57,59245,32396,33614
,,,,58,59245,32396,33614
,,,,59,59245,32396,33614
,,,,60,59245,32396,33614
,,,,61,59245,32396,33614
,,,,62,59245,32396,33614
,,,,63,59245,32396,33614
,,,,64,59245,32396,33614
,,,,65,59245,32396,33614
,,,,66,59245,32396,33614
,,,,67,59245,32396,33614
,,,,68,59245,32396,33614
,,,,69,59245,32396,33614
,,,,70,59245,32396,33614
,,,,71,59245,32396,33614
,,,,72,59245,32396,33614
,,,,73,59245,32396,33614
,,,,74,59245,32396,33614
,,,,75,59245,32396,33614
,,,,76,59245,32396,33614
,,,,77,59245,32396,33614
,,,,78,59245,32396,33614
,,,,79,59245,32396,33614
,,,,80,59245,32396,33614
,,,,81,59245,32396,33614
,,,,82,59245,32396,33614
,,,,83,59245,32396,33614
,,,,84,59245,32396,33614
,,,,85,59245,32396,33614
,,,,86,59245,32396,33614
,,,,87,59245,32396,33614
,,,,88,59245,32396,33614
,,,,89,59245,32396,33614
,,,,90,59245,32396,33614
,,,,91,59245,32396,33614
,,,,92,59245,32396,33614
,,,,93,59245,32396,33614
,,,,94,59245,32396,33614
,,,,95,59245,32396,33614
,,,,96,59245,32396,33614
,,,,97,59245,32396,33614
,,,,98,59245,32396,33614
,,,,99,59245,32396,33614
,,,,100,59245,32396,33614
,,,,101,59245,32396,33614
,,,,102,59245,32396,33614
,,,,103,59245,32396,33614
,,,,104,59245,32396,33614
,,,,105,59245,32396,33614
,,,,106,59245,32396,33614
,,,,107,59245,32396,33614
,,,,108,59245,32396,33614
,,,,109,59245,32396,33614
,,,,110,59245,32396,33614
,,,,111,59245,32396,33614
,,,,112,59245,32396,33614
,,,,113,59245,32396,33614
,,,,114,59245,32396,33614
,,,,115,59245,32396,33614
,,,,116,59245,32396,33614
,,,,117,59245,32396,33614
,,,,118,59245,32396,33614
,,,,119,59245,32396,33614
,,,,120,59245,32396,33614
,,,,121,59245,32396,33614
,,,,122,59245,32396,33614
,,,,123,59245,32396,33614
,,,,124,59245,32396,33614
,,,,125,59245,32396,33614
,,,,126,59245,32396,33614
,,,,127,59245,32396,33614
,,,,128,59245,32396,33614
,,,,129,59245,32396,33614
,,,,130,59245,32396,33614
,,,,131,59245,32396,33614
,,,,132,59245,32396,33614
,,,,133,59245,32396,33614
,,,,134,59245,32396,33614
,,,,135,59245,32396,33614
,,,,136,59245,32396,33614
,,,,137,59245,32396,33614
,,,,138,59245,32396,33614
,,,,139,59245,32396,33614
,,,,140,59245,32396,33614
,,,,141,59245,32396,33614
,,,,142,59245,32396,33614
,,,,143,59245,32396,33614
,,,,144,59245,32396,33614
,,,,145,59245,32396,33614
,,,,146,59245,32396,33614
,,,,147,59245,32396,33614
,,,,148,59245,32396,33614
,,,,149,59245,32396,33614
,,,,150,59245,32396,33614
,,,,151,59245,32396,33614
,,,,152,59245,32396,33614
,,,,153,59245,32396,33614
,,,,154,59245,32396,33614
,,,,155,59245,32396,33614
,,,,156,59245,32396,33614
,,,,157,59245,32396,33614
,,,,158,59245,32396,33614
,,,,159,59245,32396,33614
,,,,160,59245,32396,33614
,,,,161,59245,32396,33614
,,,,162,59245,32396,33614
,,,,163,59245,32396,33614
,,,,164,59245,32396,33614
,,,,165,59245,32396,33614
,,,,166,59245,32396,33614
,,,,167,59245,32396,33614
,,,,168,59245,32396,33614
,,,,169,59245,32396,33614
,,,,170,59245,32396,33614
,,,,171,59245,32396,33614
,,,,172,59245,32396,33614
,,,,173,59245,32396,33614
,,,,174,59245,32396,33614
,,,,175,59245,32396,33614
,,,,176,59245,32396,33614
,,,,177,59245,32396,33614
