Time_Index,None,MIDAT_reference_naturalgas,NE_reference_naturalgas,NE_reference_uranium,SE_reference_naturalgas,SE_reference_uranium,SE_reference_naturalgas_ccs90,SE_reference_naturalgas_ccs100,MIDAT_reference_naturalgas_ccs90,MIDAT_reference_uranium,MIDAT_reference_naturalgas_ccs100,NE_reference_naturalgas_ccs90,NE_reference_naturalgas_ccs100
0,0,0.05306,0.05306,0,0.05306,0,0.00531,0,0.00531,0,0,0.00531,0
1,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
2,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
4,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
5,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
6,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
7,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
8,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
9,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
10,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
11,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
12,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
13,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
14,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
15,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
16,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
17,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
18,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
19,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
20,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
21,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
22,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
23,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
24,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
25,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
26,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
27,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
28,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
29,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
30,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
31,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
32,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
33,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
34,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
35,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
36,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
37,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
38,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
39,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
40,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
41,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
42,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
43,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
44,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
45,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
46,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
47,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
