Resource,Zone,THERM,MUST_RUN,STOR,FLEX,HYDRO,VRE,LDS,Num_VRE_Bins,New_Build,Existing_Cap_MW,Existing_Cap_MWh,Existing_Charge_Cap_MW,Max_Cap_MW,Max_Cap_MWh,Max_Charge_Cap_MW,Min_Cap_MW,Min_Cap_MWh,Min_Charge_Cap_MW,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Fixed_OM_Cost_Charge_per_MWyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,VRE_Trans_Cost_per_MWyr,Heat_Rate_MMBTU_per_MWh,Fuel,NG_MMBtu_per_MWh,Cap_Size,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Up_Time,Down_Time,Ramp_Up_Percentage,Ramp_Dn_Percentage,Hydro_Energy_to_Power_Ratio,Min_Power,Self_Disch,Eff_Up,Eff_Down,Min_Duration,Max_Duration,Max_Flexible_Demand_Advance,Max_Flexible_Demand_Delay,Flexible_Demand_Energy_Eff,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,MinCapTag,MinCapTag_1,MinCapTag_2,MinCapTag_3,MGA,Resource_Type,CapRes_1,CapRes_2,CapRes_3,ESR_1,ESR_2,region,cluster,LDS.1,CCS_Rate
SE_naturalgas_ccccsavgcf_conservative_0,1,1,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,159189.8789,0,0,65100,0,0,5.73,0,0,0,None,7.159,377,97,0.2,4,4,1,1,1,0.5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,naturalgas_ccccsavgcf_conservative,0.93,0,0,0,0,SE,0,0,0.9
SE_naturalgas_ccavgcf_moderate_0,1,1,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,80677.84294,0,0,27300,0,0,1.74,0,0,0,None,6.363,573,61,0.2,4,4,1,1,1,0.3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,naturalgas_ccavgcf_moderate,0.93,0,0,0,0,SE,0,0,0
SE_naturalgas_ctavgcf_moderate_0,1,1,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,67261.81732,0,0,20900,0,0,4.94,0,0,0,None,9.717,237,140,0.19,0,0,1,1,1,0.25,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,naturalgas_ctavgcf_moderate,0.93,0,0,0,0,SE,0,0,0
SE_battery_moderate_0,1,0,0,1,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,17606.52324,10728.08665,0,4633.553749,2823.338001,0,0,0,0,0,None,0,1,0,0,0,0,1,1,1,0,0,0.92,0.92,1,10,0,0,0,0,0,0,0,0,0,0,0,0,battery_moderate,0.95,0,0,0,0,SE,0,0,0
SE_nuclear_mid_0,1,1,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,334511.1518,0,0,144972.332,0,0,2.351778656,0,0,10.455,SE_reference_uranium,0,1000,1000,0,36,36,0.25,0.25,1,0.3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nuclear_mid,0.93,0,0,0,1,SE,0,0,0
MIDAT_naturalgas_ccccsavgcf_conservative_0,2,1,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,168225.7679,0,0,65100,0,0,5.73,0,0,0,None,7.159,377,97,0.2,4,4,1,1,1,0.5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,naturalgas_ccccsavgcf_conservative,0,0.93,0,0,0,MIDAT,0,0,0.9
MIDAT_naturalgas_ccavgcf_moderate_0,2,1,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,94925.35493,0,0,27300,0,0,1.74,0,0,0,None,6.363,573,61,0.2,4,4,1,1,1,0.3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,naturalgas_ccavgcf_moderate,0,0.93,0,0,0,MIDAT,0,0,0
MIDAT_naturalgas_ctavgcf_moderate_0,2,1,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,74985.38451,0,0,20900,0,0,4.94,0,0,0,None,9.717,237,140,0.19,0,0,1,1,1,0.25,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,naturalgas_ctavgcf_moderate,0,0.93,0,0,0,MIDAT,0,0,0
MIDAT_battery_moderate_0,2,0,0,1,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,17292.42921,10536.70146,0,4633.553749,2823.338001,0,0,0,0,0,None,0,1,0,0,0,0,1,1,1,0,0,0.92,0.92,1,10,0,0,0,0,0,0,0,0,0,0,0,0,battery_moderate,0,0.95,0,0,0,MIDAT,0,0,0
MIDAT_nuclear_mid_0,2,1,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,345788.5615,0,0,144972.332,0,0,2.351778656,0,0,10.455,MIDAT_reference_uranium,0,1000,1000,0,36,36,0.25,0.25,1,0.3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nuclear_mid,0,0.93,0,0,1,MIDAT,0,0,0
