Biomass_Supply,Zone,Emissions_tonne_per_tonne,Cost_per_tonne,Max_tonne_per_hr
SE_Wood_40,1,0.02,40,8000
SE_Wood_60,1,0.02,60,8000
SE_Wood_80,1,0.02,80,8000
MIDAT_Wood_40,2,0.02,40,15000
MIDAT_Wood_60,2,0.02,60,15000
MIDAT_Wood_80,2,0.02,80,15000
NE_Wood_40,3,0.02,40,4000
NE_Wood_60,3,0.02,60,4000
NE_Wood_80,3,0.02,80,4000
