,Network_zones,Network_Lines,z1,z2,z3,Line_Max_Flow_MW,transmission_path_name,distance_mile,Line_Loss_Percentage,Line_Max_Reinforcement_MW,Line_Reinforcement_Cost_per_MWyr,DerateCapRes_1,CapRes_1,CapRes_Excl_1,DerateCapRes_2,CapRes_2,CapRes_Excl_2,DerateCapRes_3,CapRes_3,CapRes_Excl_3,DerateCapRes_4,CapRes_4,CapRes_Excl_4,DerateCapRes_5,CapRes_5,CapRes_Excl_5,DerateCapRes_6,CapRes_6,CapRes_Excl_6,DerateCapRes_7,CapRes_7,CapRes_Excl_7,DerateCapRes_8,CapRes_8,CapRes_Excl_8,DerateCapRes_9,CapRes_9,CapRes_Excl_9
SE,z1,1,1,-1,0,5552,SE_to_MID_AT,491.4512001,0.04914512,27760,35910,0.95,0,0,0.95,0,0,0.95,0,0,0.95,0,0,0.95,0,0,0.95,0,0,0.95,0,0,0.95,0,0,0.95,0,0
MIDAT,z2,2,0,1,-1,1915,MID_AT_to_NE,473.6625536,0.047366255,9575,55639,0.95,0,0,0.95,0,0,0.95,0,0,0.95,0,0,0.95,0,0,0.95,0,0,0.95,0,0,0.95,0,0,0.95,0,0
NE,z3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
