Global_conventional_jetfuel_price_per_mmbtu,Conventional_jetfuel_co2_per_mmbtu,Syn_jetfuel_co2_per_mmbtu,Bio_jetfuel_co2_per_mmbtu,Time_Index,Load_mmbtu_z1
,,,,343,59245
,,,,344,59245
,,,,345,59245
,,,,346,59245
,,,,347,59245
,,,,348,59245
,,,,349,59245
,,,,350,59245
,,,,351,59245
,,,,352,59245
,,,,353,59245
,,,,354,59245
,,,,355,59245
,,,,356,59245
,,,,357,59245
,,,,358,59245
,,,,359,59245
,,,,360,59245
,,,,361,59245
,,,,362,59245
,,,,363,59245
,,,,364,59245
,,,,365,59245
,,,,366,59245
,,,,367,59245
,,,,368,59245
,,,,369,59245
,,,,370,59245
,,,,371,59245
,,,,372,59245
,,,,373,59245
,,,,374,59245
,,,,375,59245
,,,,376,59245
,,,,377,59245
,,,,378,59245
,,,,379,59245
,,,,380,59245
,,,,381,59245
,,,,382,59245
,,,,383,59245
,,,,384,59245
,,,,385,59245
,,,,386,59245
,,,,387,59245
,,,,388,59245
,,,,389,59245
,,,,390,59245
,,,,391,59245
,,,,392,59245
,,,,393,59245
,,,,394,59245
,,,,395,59245
,,,,396,59245
,,,,397,59245
,,,,398,59245
,,,,399,59245
,,,,400,59245
,,,,401,59245
,,,,402,59245
,,,,403,59245
,,,,404,59245
,,,,405,59245
,,,,406,59245
,,,,407,59245
,,,,408,59245
,,,,409,59245
,,,,410,59245
,,,,411,59245
,,,,412,59245
,,,,413,59245
,,,,414,59245
,,,,415,59245
,,,,416,59245
,,,,417,59245
,,,,418,59245
,,,,419,59245
,,,,420,59245
,,,,421,59245
,,,,422,59245
,,,,423,59245
,,,,424,59245
,,,,425,59245
,,,,426,59245
,,,,427,59245
,,,,428,59245
,,,,429,59245
,,,,430,59245
,,,,431,59245
,,,,432,59245
,,,,433,59245
,,,,434,59245
,,,,435,59245
,,,,436,59245
,,,,437,59245
,,,,438,59245
,,,,439,59245
,,,,440,59245
,,,,441,59245
,,,,442,59245
,,,,443,59245
,,,,444,59245
,,,,445,59245
,,,,446,59245
,,,,447,59245
,,,,448,59245
,,,,449,59245
,,,,450,59245
,,,,451,59245
,,,,452,59245
,,,,453,59245
,,,,454,59245
,,,,455,59245
,,,,456,59245
,,,,457,59245
,,,,458,59245
,,,,459,59245
,,,,460,59245
,,,,461,59245
,,,,462,59245
,,,,463,59245
,,,,464,59245
,,,,465,59245
,,,,466,59245
