H2_Resource,Zone,H2_FLEX,H2_GEN_TYPE,H2_STOR,LDS,Blue_H2,Grey_H2,New_Build,etaP2G,etaFuel_MMBtu_p_MWh,Inv_Cost_p_MW_yr,Inv_Cost_Charge_p_MW_yr,Inv_Cost_Energy_p_MWh_yr,Fixed_OM_Cost_p_MW_yr,Fixed_OM_Cost_Charge_p_MW_yr,Fixed_OM_Cost_Energy_p_MWh_yr,Var_OM_Cost_p_MWh,Var_OM_Cost_Charge_p_MWh,Fuel,Max_Cap_MW,Min_Cap_MW,Max_Charge_Cap_MW,Min_Charge_Cap_MW,Max_Energy_Cap_MWh,Min_Energy_Cap_MWh,Existing_Cap_MW,Existing_Charge_Cap_MW,Existing_Energy_Cap_MWh,Cap_Size_MW,Ramp_Up_Percentage,Ramp_Down_Percentage,H2Gen_min_output,H2Stor_min_level,H2Stor_max_level,H2Stor_self_discharge_rate_p_hour,H2Stor_Charge_MWh_p_MWh,H2Stor_Charge_MMBtu_p_MWh,H2Stor_eff_charge,H2Stor_eff_discharge,Start_Cost_p_MW,Up_Time,Down_Time,Flexible_Demand_Energy_Eff,Max_Flexible_Demand_Delay,Max_Flexible_Demand_Advance,CCS_Rate
Small_Electrolyzer_1.0,1,0,2,0,0,0,0,1,1.2265109192483494,0.0,49610.208227526666,0.0,0.0,774.5048247841544,0.0,0.0,0.0,0.0,None,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.5752000000000002,1.0,1.0,0.1,0.0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0
Large_SMR_1.0,1,0,1,0,0,0,1,1,0.0,4.320467242254951,49257.23717623159,0.0,0.0,3619.4260741493144,0.0,0.0,0.0,0.0,ng,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,78.76,0.5,0.5,0.9,0.0,0,0,0.0,0.0,0,0,0.12696800406297612,3,3,0,0,0,0.0
Large_SMR_wCCS_90pct_1.0,1,0,1,0,0,1,0,1,0.0,4.748095479939055,73615.28694768918,0.0,0.0,3249.339342305739,0.0,0.0,0.0,0.0,ng,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,78.76,0.5,0.5,0.9,0.0,0,0,0.0,0.0,0,0,2.5393600812595225,3,3,0,0,0,0.9
Above_ground_storage_1.0,1,0,0,1,1,0,0,1,0.0,0.0,0.0,1352.8694768918233,1569.324530218385,177.75520568816657,126.96800406297614,88.87760284408328,0.0,0.0,None,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.3,1,0,0.05078720162519045,0.0,1,1,0.0,0,0,0,0,0,0.0
Small_Electrolyzer_2.0,2,0,2,0,0,0,0,1,1.2265109192483494,0.0,49610.208227526666,0.0,0.0,774.5048247841544,0.0,0.0,0.0,0.0,None,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.5752000000000002,1.0,1.0,0.1,0.0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0
Large_SMR_2.0,2,0,1,0,0,0,1,1,0.0,4.320467242254951,49257.23717623159,0.0,0.0,3619.4260741493144,0.0,0.0,0.0,0.0,ng,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,78.76,0.5,0.5,0.9,0.0,0,0,0.0,0.0,0,0,0.12696800406297612,3,3,0,0,0,0.0
Large_SMR_wCCS_90pct_2.0,2,0,1,0,0,1,0,1,0.0,4.748095479939055,73615.28694768918,0.0,0.0,177.75520568816657,0.0,0.0,0.0,0.0,ng,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,78.76,0.5,0.5,0.9,0.0,0,0,0.0,0.0,0,0,2.5393600812595225,3,3,0,0,0,0.9
Above_ground_storage_2.0,2,0,0,1,1,0,0,1,0.0,0.0,0.0,1352.8694768918233,1569.324530218385,177.75520568816657,126.96800406297614,88.87760284408328,0.0,0.0,None,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.3,1,0,0.05078720162519045,0.0,1,1,0.0,0,0,0,0,0,0.0
Small_Electrolyzer_3.0,3,0,2,0,0,0,0,1,1.2265109192483494,0.0,49610.208227526666,0.0,0.0,774.5048247841544,0.0,0.0,0.0,0.0,None,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.5752000000000002,1.0,1.0,0.1,0.0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0
Large_SMR_3.0,3,0,1,0,0,0,1,1,0.0,4.320467242254951,49257.23717623159,0.0,0.0,3619.4260741493144,0.0,0.0,0.0,0.0,ng,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,78.76,0.5,0.5,0.9,0.0,0,0,0.0,0.0,0,0,0.12696800406297612,3,3,0,0,0,0.0
Large_SMR_wCCS_90pct_3.0,3,0,1,0,0,1,0,1,0.0,4.748095479939055,73615.28694768918,0.0,0.0,3249.339342305739,0.0,0.0,0.0,0.0,ng,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,78.76,0.5,0.5,0.9,0.0,0,0,0.0,0.0,0,0,2.5393600812595225,3,3,0,0,0,0.9
Above_ground_storage_3.0,3,0,0,1,1,0,0,1,0.0,0.0,0.0,1352.8694768918233,1569.324530218385,177.75520568816657,126.96800406297614,88.87760284408328,0.0,0.0,None,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.3,1,0,0.05078720162519045,0.0,1,1,0.0,0,0,0,0,0,0.0
Small_Electrolyzer_4.0,4,0,2,0,0,0,0,1,1.2265109192483494,0.0,49610.208227526666,0.0,0.0,774.5048247841544,0.0,0.0,0.0,0.0,None,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.5752000000000002,1.0,1.0,0.1,0.0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0
Large_SMR_4.0,4,0,1,0,0,0,1,1,0.0,4.320467242254951,49257.23717623159,0.0,0.0,3619.4260741493144,0.0,0.0,0.0,0.0,ng,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,78.76,0.5,0.5,0.9,0.0,0,0,0.0,0.0,0,0,0.12696800406297612,3,3,0,0,0,0.0
Large_SMR_wCCS_90pct_4.0,4,0,1,0,0,1,0,1,0.0,4.748095479939055,73615.28694768918,0.0,0.0,3249.339342305739,0.0,0.0,0.0,0.0,ng,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,78.76,0.5,0.5,0.9,0.0,0,0,0.0,0.0,0,0,2.5393600812595225,3,3,0,0,0,0.9
Above_ground_storage_4.0,4,0,0,1,1,0,0,1,0.0,0.0,0.0,1352.8694768918233,1569.324530218385,177.75520568816657,126.96800406297614,88.87760284408328,0.0,0.0,None,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.3,1,0,0.05078720162519045,0.0,1,1,0.0,0,0,0,0,0,0.0
Small_Electrolyzer_5.0,5,0,2,0,0,0,0,1,1.2265109192483494,0.0,49610.208227526666,0.0,0.0,774.5048247841544,0.0,0.0,0.0,0.0,None,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.5752000000000002,1.0,1.0,0.1,0.0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0
Large_SMR_5.0,5,0,1,0,0,0,1,1,0.0,4.320467242254951,49257.23717623159,0.0,0.0,3619.4260741493144,0.0,0.0,0.0,0.0,ng,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,78.76,0.5,0.5,0.9,0.0,0,0,0.0,0.0,0,0,0.12696800406297612,3,3,0,0,0,0.0
Large_SMR_wCCS_90pct_5.0,5,0,1,0,0,1,0,1,0.0,4.748095479939055,73615.28694768918,0.0,0.0,3249.339342305739,0.0,0.0,0.0,0.0,ng,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,78.76,0.5,0.5,0.9,0.0,0,0,0.0,0.0,0,0,2.5393600812595225,3,3,0,0,0,0.9
Above_ground_storage_5.0,5,0,0,1,1,0,0,1,0.0,0.0,0.0,1352.8694768918233,1569.324530218385,177.75520568816657,126.96800406297614,88.87760284408328,0.0,0.0,None,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.3,1,0,0.05078720162519045,0.0,1,1,0.0,0,0,0,0,0,0.0
Small_Electrolyzer_6.0,6,0,2,0,0,0,0,1,1.2265109192483494,0.0,49610.208227526666,0.0,0.0,774.5048247841544,0.0,0.0,0.0,0.0,None,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.5752000000000002,1.0,1.0,0.1,0.0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0
Large_SMR_6.0,6,0,1,0,0,0,1,1,0.0,4.320467242254951,49257.23717623159,0.0,0.0,3619.4260741493144,0.0,0.0,0.0,0.0,ng,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,78.76,0.5,0.5,0.9,0.0,0,0,0.0,0.0,0,0,0.12696800406297612,3,3,0,0,0,0.0
Large_SMR_wCCS_90pct_6.0,6,0,1,0,0,1,0,1,0.0,4.748095479939055,73615.28694768918,0.0,0.0,3249.339342305739,0.0,0.0,0.0,0.0,ng,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,78.76,0.5,0.5,0.9,0.0,0,0,0.0,0.0,0,0,2.5393600812595225,3,3,0,0,0,0.9
Above_ground_storage_6.0,6,0,0,1,1,0,0,1,0.0,0.0,0.0,1352.8694768918233,1569.324530218385,177.75520568816657,126.96800406297614,88.87760284408328,0.0,0.0,None,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.3,1,0,0.05078720162519045,0.0,1,1,0.0,0,0,0,0,0,0.0
Small_Electrolyzer_7.0,7,0,2,0,0,0,0,1,1.2265109192483494,0.0,49610.208227526666,0.0,0.0,774.5048247841544,0.0,0.0,0.0,0.0,None,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.5752000000000002,1.0,1.0,0.1,0.0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0
Large_SMR_7.0,7,0,1,0,0,0,1,1,0.0,4.320467242254951,49257.23717623159,0.0,0.0,3619.4260741493144,0.0,0.0,0.0,0.0,ng,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,78.76,0.5,0.5,0.9,0.0,0,0,0.0,0.0,0,0,0.12696800406297612,3,3,0,0,0,0.0
