H2_Pipelines,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,Max_No_Pipe,Existing_No_Pipe,Max_Flow_MW_p_Hr_Per_Pipe,H2Pipe_Inv_Cost_per_mile_yr,Pipe_length_miles,H2PipeCap_MW_per_mile,H2PipeCompCapex,H2PipeCompEnergy,Min_pipecap_stor_frac,len_bw_comp_mile,BoosterCompCapex_p_MWh_yr,BoosterCompEnergy
22,0,0,1,0,0,0,0,-1,0,0,20,0,1527.944,61133.42208,612.2626098,46.4684,50804.11,1,0,100,1853.7328593194513,0.012696800406297613
23,0,0,1,0,0,0,0,0,-1,0,20,0,1527.944,61133.42208,561.7480857,46.4684,50804.11,1,0,100,1853.7328593194513,0.012696800406297613
24,0,0,1,0,0,0,0,0,0,-1,20,0,1527.944,61133.42208,931.3602107,46.4684,50804.11,1,0,100,1853.7328593194513,0.012696800406297613
25,0,0,0,1,-1,0,0,0,0,0,20,0,1527.944,61133.42208,1395.510078,46.4684,50804.11,1,0,100,1853.7328593194513,0.012696800406297613
26,0,0,0,1,0,-1,0,0,0,0,20,0,1527.944,61133.42208,2046.048162,46.4684,50804.11,1,0,100,1853.7328593194513,0.012696800406297613
27,0,0,0,1,0,0,-1,0,0,0,20,0,1527.944,61133.42208,1604.583233,46.4684,50804.11,1,0,100,1853.7328593194513,0.012696800406297613
28,0,0,0,1,0,0,0,-1,0,0,20,0,1527.944,61133.42208,823.9759379,46.4684,50804.11,1,0,100,1853.7328593194513,0.012696800406297613
29,0,0,0,1,0,0,0,0,-1,0,20,0,1527.944,61133.42208,724.4588638,46.4684,50804.11,1,0,100,1853.7328593194513,0.012696800406297613
30,0,0,0,1,0,0,0,0,0,-1,20,0,1527.944,61133.42208,770.7726184,46.4684,50804.11,1,0,100,1853.7328593194513,0.012696800406297613
31,0,0,0,0,1,-1,0,0,0,0,20,0,1527.944,61133.42208,1349.199134,46.4684,50804.11,1,0,100,1853.7328593194513,0.012696800406297613
32,0,0,0,0,1,0,-1,0,0,0,20,0,1527.944,61133.42208,918.2967296,46.4684,50804.11,1,0,100,1853.7328593194513,0.012696800406297613
33,0,0,0,0,1,0,0,-1,0,0,20,0,1527.944,61133.42208,672.0932602,46.4684,50804.11,1,0,100,1853.7328593194513,0.012696800406297613
34,0,0,0,0,1,0,0,0,-1,0,20,0,1527.944,61133.42208,1679.828147,46.4684,50804.11,1,0,100,1853.7328593194513,0.012696800406297613
35,0,0,0,0,1,0,0,0,0,-1,20,0,1527.944,61133.42208,2158.514257,46.4684,50804.11,1,0,100,1853.7328593194513,0.012696800406297613
36,0,0,0,0,0,1,-1,0,0,0,20,0,1527.944,61133.42208,483.4399884,46.4684,50804.11,1,0,100,1853.7328593194513,0.012696800406297613
37,0,0,0,0,0,1,0,-1,0,0,20,0,1527.944,61133.42208,1320.112636,46.4684,50804.11,1,0,100,1853.7328593194513,0.012696800406297613
38,0,0,0,0,0,1,0,0,-1,0,20,0,1527.944,61133.42208,1778.265372,46.4684,50804.11,1,0,100,1853.7328593194513,0.012696800406297613
39,0,0,0,0,0,1,0,0,0,-1,20,0,1527.944,61133.42208,2594.586609,46.4684,50804.11,1,0,100,1853.7328593194513,0.012696800406297613
40,0,0,0,0,0,0,1,-1,0,0,20,0,1527.944,61133.42208,843.0302747,46.4684,50804.11,1,0,100,1853.7328593194513,0.012696800406297613
41,0,0,0,0,0,0,1,0,-1,0,20,0,1527.944,61133.42208,1453.344048,46.4684,50804.11,1,0,100,1853.7328593194513,0.012696800406297613
42,0,0,0,0,0,0,1,0,0,-1,20,0,1527.944,61133.42208,2215.037606,46.4684,50804.11,1,0,100,1853.7328593194513,0.012696800406297613
43,0,0,0,0,0,0,0,1,-1,0,20,0,1527.944,61133.42208,1008.271753,46.4684,50804.11,1,0,100,1853.7328593194513,0.012696800406297613
44,0,0,0,0,0,0,0,1,0,-1,20,0,1527.944,61133.42208,1543.177482,46.4684,50804.11,1,0,100,1853.7328593194513,0.012696800406297613
45,0,0,0,0,0,0,0,0,1,-1,20,0,1527.944,61133.42208,854.1133221,46.4684,50804.11,1,0,100,1853.7328593194513,0.012696800406297613
