,Network_zones,Network_Lines,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,Line_Max_Flow_MW,transmission_path_name,distance_mile,Line_Loss_Percentage,Line_Max_Reinforcement_MW,Line_Reinforcement_Cost_per_MWyr,DerateCapRes_1,CapRes_1,CapRes_Excl_1
BE0 0,z1,1,1,0,0,0,-1,0,0,0,0,0,7928.869151,BE0 0_to_FR0 0,391.3437214,0.15,-1,1003.36,0.95,0,0
DE0 0,z2,2,1,0,0,0,0,0,0,-1,0,0,4754.687313,BE0 0_to_NL0 0,162.7413135,0.15,-1,417.25,0.95,0,0
DK0 0,z3,3,0,1,0,-1,0,0,0,0,0,0,3174.181835,DE0 0_to_DK0 0,495.1281831,0.15,-1,1269.45,0.95,0,0
DK3 0,z4,4,0,1,0,0,-1,0,0,0,0,0,6740.19732,DE0 0_to_FR0 0,556.1575232,0.15,-1,1425.92,0.95,0,0
FR0 0,z5,5,0,1,0,0,0,0,0,-1,0,0,4754.687313,DE0 0_to_NL0 0,278.4400971,0.15,-1,713.89,0.95,0,0
GB4 0,z6,6,0,0,0,1,0,0,0,0,0,-1,2377.343656,DK3 0_to_SE3 0,595.3325919,0.15,-1,1526.36,0.95,0,0
GB5 0,z7,7,0,0,0,0,0,0,0,0,1,-1,5153.106402,NO3 0_to_SE3 0,356.4853418,0.15,-1,913.99,0.95,0,0
NL0 0,z8,8,-1,1,0,0,0,0,0,0,0,0,0,DE0 0_to_BE0 0,414.1262846,0.15,-1,1396.03,0.95,0,0
NO3 0,z9,9,0,0,0,0,0,0,1,-1,0,0,1000,GB5 0_to_NL0 0,644.2821931,0.15,-1,3414.37,0.95,0,0
SE3 0,z10,10,-1,0,0,0,0,0,1,0,0,0,0,GB5 0_to_BE0 0,678.1051034,0.15,-1,2645.22,0.95,0,0
,,11,0,0,0,0,-1,0,1,0,0,0,2000,GB5 0_to_FR0 0,1008.999785,0.15,-1,2801.47,0.95,0,0
,,12,0,0,-1,1,0,0,0,0,0,0,600,DK3 0_to_DK0 0,210.4740952,0.15,-1,1231.92,0.95,0,0
,,13,0,-1,0,1,0,0,0,0,0,0,600,DK3 0_to_DE0 0,690.2415065,0.15,-1,2385.96,0.95,0,0
,,14,0,0,-1,0,0,0,0,1,0,0,0,NL0 0_to_DK0 0,606.6136198,0.15,-1,3560.39,0.95,0,0
,,15,0,0,0,0,0,0,0,1,-1,0,700,NL0 0_to_NO3 0,1218.171853,0.15,-1,6678.58,0.95,0,0
,,16,0,1,0,0,0,0,0,0,-1,0,0,DE0 0_to_NO3 0,1412.435486,0.15,-1,6483.92,0.95,0,0
,,17,0,0,0,0,0,-1,1,0,0,0,250,GB5 0_to_GB4 0,388.0904853,0.15,-1,1703.38,0.95,0,0
,,18,0,0,0,0,0,-1,1,0,0,0,250,GB5 0_to_GB4 0,388.0904853,0.15,-1,1621.17,0.95,0,0
,,19,0,0,-1,0,0,0,0,0,0,1,250,SE3 0_to_DK0 0,882.3882573,0.15,-1,2952.11,0.95,0,0
,,20,0,0,-1,0,0,0,0,0,0,1,600,SE3 0_to_DK0 0,882.3882573,0.15,-1,2815.25,0.95,0,0
,,21,0,0,0,0,1,0,-1,0,0,0,0,FR0 0_to_GB5 0,1008.999785,0.15,-1,3785.84,0.95,0,0
,,22,0,0,0,0,-1,0,1,0,0,0,0,GB5 0_to_FR0 0,1008.999785,0.15,-1,3292.88,0.95,0,0
,,23,0,0,-1,0,0,0,1,0,0,0,0,GB5 0_to_DK0 0,1012.705158,0.15,-1,7520.58,0.95,0,0
,,24,0,0,0,0,0,0,-1,0,1,0,0,NO3 0_to_GB5 0,1331.341925,0.15,-1,6752.01,0.95,0,0
,,25,0,0,0,0,-1,0,1,0,0,0,0,GB5 0_to_FR0 0,1008.999785,0.15,-1,3715.96,0.95,0,0
,,26,0,0,0,0,-1,0,1,0,0,0,0,GB5 0_to_FR0 0,1008.999785,0.15,-1,3182.72,0.95,0,0
,,27,0,-1,0,0,0,0,1,0,0,0,0,GB5 0_to_DE0 0,1037.778764,0.15,-1,5387.91,0.95,0,0
,,28,0,-1,0,0,0,0,0,0,0,1,0,SE3 0_to_DE0 0,1552.617269,0.15,-1,1835.72,0.95,0,0
,,29,0,0,1,0,0,0,0,0,-1,0,940,DK0 0_to_NO3 0,698.1574656,0.15,-1,660.18,0.95,0,0
