Conventional_ethanol_co2_per_mmbtu,Conventional_ethanol_price_per_mmbtu,Bio_ethanol_co2_per_mmbtu,Time_Index,Load_mmbtu_z1
0.0679,18.68,0.0679,1,1569.36
,,,2,1569.36
,,,3,1569.36
,,,4,1569.36
,,,5,1569.36
,,,6,1569.36
,,,7,1569.36
,,,8,1569.36
,,,9,1569.36
,,,10,1569.36
,,,11,1569.36
,,,12,1569.36
,,,13,1569.36
,,,14,1569.36
,,,15,1569.36
,,,16,1569.36
,,,17,1569.36
,,,18,1569.36
,,,19,1569.36
,,,20,1569.36
,,,21,1569.36
,,,22,1569.36
,,,23,1569.36
,,,24,1569.36
,,,25,1569.36
,,,26,1569.36
,,,27,1569.36
,,,28,1569.36
,,,29,1569.36
,,,30,1569.36
,,,31,1569.36
,,,32,1569.36
,,,33,1569.36
,,,34,1569.36
,,,35,1569.36
,,,36,1569.36
,,,37,1569.36
,,,38,1569.36
,,,39,1569.36
,,,40,1569.36
,,,41,1569.36
,,,42,1569.36
,,,43,1569.36
,,,44,1569.36
,,,45,1569.36
,,,46,1569.36
,,,47,1569.36
,,,48,1569.36
,,,49,1569.36
,,,50,1569.36
,,,51,1569.36
,,,52,1569.36
,,,53,1569.36
,,,54,1569.36
,,,55,1569.36
,,,56,1569.36
,,,57,1569.36
,,,58,1569.36
,,,59,1569.36
,,,60,1569.36
,,,61,1569.36
,,,62,1569.36
,,,63,1569.36
,,,64,1569.36
,,,65,1569.36
,,,66,1569.36
,,,67,1569.36
,,,68,1569.36
,,,69,1569.36
,,,70,1569.36
,,,71,1569.36
,,,72,1569.36
,,,73,1569.36
,,,74,1569.36
,,,75,1569.36
,,,76,1569.36
,,,77,1569.36
,,,78,1569.36
,,,79,1569.36
,,,80,1569.36
,,,81,1569.36
,,,82,1569.36
,,,83,1569.36
,,,84,1569.36
,,,85,1569.36
,,,86,1569.36
,,,87,1569.36
,,,88,1569.36
,,,89,1569.36
,,,90,1569.36
,,,91,1569.36
,,,92,1569.36
,,,93,1569.36
,,,94,1569.36
,,,95,1569.36
,,,96,1569.36
,,,97,1569.36
,,,98,1569.36
,,,99,1569.36
,,,100,1569.36
,,,101,1569.36
,,,102,1569.36
,,,103,1569.36
,,,104,1569.36
,,,105,1569.36
