Time_Index,SE_conventional_hydroelectric_1,SE_hydroelectric_pumped_storage_1,SE_natural_gas_fired_combined_cycle_1,SE_natural_gas_fired_combined_cycle_2,SE_natural_gas_fired_combined_cycle_3,SE_natural_gas_fired_combined_cycle_4,SE_natural_gas_fired_combustion_turbine_1,SE_natural_gas_fired_combustion_turbine_2,SE_nuclear_1,SE_nuclear_2,SE_small_hydroelectric_1,SE_solar_photovoltaic_1,SE_naturalgas_ccccsavgcf_conservative_0,SE_naturalgas_ccavgcf_moderate_0,SE_naturalgas_ctavgcf_moderate_0,SE_battery_moderate_0,SE_nuclear_mid_0,SE_utilitypv_class1_moderate_70_0_2_1,SE_utilitypv_class1_moderate_70_0_2_2,SE_utilitypv_class1_moderate_70_0_2_3,SE_utilitypv_class1_moderate_70_0_2_4,SE_utilitypv_class1_moderate_70_0_2_5,SE_utilitypv_class1_moderate_70_0_2_6,SE_utilitypv_class1_moderate_70_0_2_7,SE_utilitypv_class1_moderate_70_0_2_8,SE_landbasedwind_class4_moderate_70_1,SE_landbasedwind_class4_moderate_70_2,SE_landbasedwind_class4_moderate_70_3,SE_landbasedwind_class4_moderate_70_4,SE_landbasedwind_class4_moderate_70_5,SE_landbasedwind_class4_moderate_70_6,SE_landbasedwind_class4_moderate_70_7,SE_landbasedwind_class4_moderate_70_8
1,0.326796714,1,1,1,1,1,1,1,1,1,0.326796714,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.774288327,0.738233773,0.702397899,0.777045997,0.624911976,0.451117637,0.648994213,0.732863626
2,0.327314811,1,1,1,1,1,1,1,1,1,0.327314811,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.760944191,0.742444983,0.695597898,0.740141611,0.64455622,0.443916346,0.654026526,0.713212587
3,0.327827462,1,1,1,1,1,1,1,1,1,0.327827462,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.753286327,0.740923266,0.693965493,0.715070323,0.647619629,0.436877201,0.665206709,0.688902364
4,0.328276133,1,1,1,1,1,1,1,1,1,0.328276133,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.727631633,0.745265959,0.690400558,0.706852169,0.621991744,0.430129781,0.674154992,0.647535603
5,0.328761112,1,1,1,1,1,1,1,1,1,0.328761112,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.720497103,0.74420532,0.690911078,0.684454428,0.601187463,0.421450866,0.677666497,0.608508371
6,0.329275061,1,1,1,1,1,1,1,1,1,0.329275061,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.695064196,0.739268816,0.693060639,0.648804709,0.57909799,0.423444599,0.67863491,0.58663685
7,0.329756544,1,1,1,1,1,1,1,1,1,0.329756544,0.009695519,1,1,1,1,1,0.001184367,0.056839542,0.010574499,0,0,0.007422837,0.00741976,0.00E+00,0.664428979,0.736362004,0.687709192,0.601233475,0.609106099,0.429660219,0.685362355,0.565376249
8,0.330241523,1,1,1,1,1,1,1,1,1,0.330241523,0.101711647,1,1,1,1,1,0.030908045,0.424870818,0.146467293,0.032593168,0.02953151,0.080661,0.084897631,0.019155076,0.650588141,0.733479707,0.674170137,0.535629549,0.624221738,0.436192495,0.686624535,0.556395073
9,0.330718858,1,1,1,1,1,1,1,1,1,0.330718858,0.208251099,1,1,1,1,1,0.057971802,0.639425348,0.344676517,0.129526537,0.101833678,0.168920917,0.204613699,0.06430095,0.663493307,0.67086936,0.636800201,0.494996728,0.635244151,0.437160164,0.651042519,0.515667309
10,0.331204143,1,1,1,1,1,1,1,1,1,0.331204143,0.238728014,1,1,1,1,1,0.073828029,0.63729808,0.382500072,0.119775897,0.122767372,0.229938633,0.311290666,0.080775459,0.637500668,0.566810295,0.572659991,0.407882558,0.632102876,0.38238377,0.579021547,0.467407008
11,0.331716794,1,1,1,1,1,1,1,1,1,0.331716794,0.255363431,1,1,1,1,1,0.09232412,0.581999573,0.377624404,0.13571565,0.160016605,0.2674611,0.348599365,0.118475679,0.605212032,0.575003526,0.518545882,0.347430086,0.598223336,0.352467905,0.527838779,0.379846674
12,0.332197971,1,1,1,1,1,1,1,1,1,0.332197971,0.255936323,1,1,1,1,1,0.106418739,0.490063746,0.318418042,0.17917092,0.209837659,0.284354557,0.305566328,0.168955713,0.565691074,0.631396278,0.524939879,0.326526277,0.514613233,0.346719401,0.512323216,0.289709838
13,0.332683256,1,1,1,1,1,1,1,1,1,0.332683256,0.237109716,1,1,1,1,1,0.110940973,0.446387545,0.2357321,0.218265259,0.231458804,0.264938591,0.221009216,0.170024401,0.516426179,0.62962707,0.584903172,0.321958486,0.438987178,0.337295594,0.52672553,0.245939381
14,0.333197205,1,1,1,1,1,1,1,1,1,0.333197205,0.201489629,1,1,1,1,1,0.106339235,0.419299768,0.147904604,0.204013421,0.245047542,0.203883765,0.164086778,0.147243154,0.459475821,0.602117921,0.605189127,0.313695817,0.392507906,0.338410248,0.514796441,0.240581025
15,0.333645876,1,1,1,1,1,1,1,1,1,0.333645876,0.158168555,1,1,1,1,1,0.090081443,0.348907506,0.091214908,0.115534636,0.279684528,0.125870287,0.105123014,0.159133281,0.423692293,0.559836578,0.607886014,0.328914922,0.358476649,0.364940053,0.500815346,0.237321851
16,0.334159825,1,1,1,1,1,1,1,1,1,0.334159825,0.125664578,1,1,1,1,1,0.086954707,0.250026586,0.046496608,0.091926147,0.351229523,0.042692265,0.0406998,0.16943029,0.423559028,0.513169612,0.589871183,0.360369231,0.354128684,0.422130565,0.474343064,0.249815713
17,0.334641002,1,1,1,1,1,1,1,1,1,0.334641002,0.037648073,1,1,1,1,1,0.043440487,0.036181231,0.004809987,0.026149611,0.155626224,0,0.001996617,0.059414418,0.408695191,0.499853221,0.594647768,0.420418028,0.34626754,0.54519814,0.526763685,0.264967536
18,0.335126287,1,1,1,1,1,1,1,1,1,0.335126287,0.00E+00,1,1,1,1,1,0,0,0,0,0,0,0,0,0.406001582,0.515431273,0.61741799,0.568273755,0.473681691,0.62103235,0.5927983,0.403621057
19,0.335638938,1,1,1,1,1,1,1,1,1,0.335638938,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.43843008,0.516082804,0.577678178,0.652210228,0.572380365,0.661906721,0.622032445,0.51155199
20,0.336087303,1,1,1,1,1,1,1,1,1,0.336087303,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.491852458,0.520416628,0.529651325,0.700567256,0.630750029,0.688013934,0.644706741,0.603755261
21,0.336601558,1,1,1,1,1,1,1,1,1,0.336601558,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.539713579,0.520892294,0.528015108,0.714611662,0.688600719,0.696186675,0.684102822,0.664765096
22,0.337119349,1,1,1,1,1,1,1,1,1,0.337119349,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.578294926,0.522496553,0.526436495,0.712841543,0.728730583,0.699086051,0.709671076,0.704702119
23,0.33756802,1,1,1,1,1,1,1,1,1,0.33756802,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.609144272,0.516955217,0.540723697,0.677488439,0.750362401,0.696134485,0.728454576,0.71426265
24,0.338081969,1,1,1,1,1,1,1,1,1,0.338081969,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.630551987,0.510232399,0.568910039,0.606110568,0.758372072,0.697746479,0.731033796,0.697502751
25,0.338530334,1,1,1,1,1,1,1,1,1,0.338530334,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.648481588,0.537468855,0.585766764,0.504368724,0.76009313,0.702478144,0.736623181,0.661964402
26,0.339044589,1,1,1,1,1,1,1,1,1,0.339044589,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.662976885,0.568818714,0.596076478,0.394325619,0.752875476,0.70136963,0.740815323,0.607829922
27,0.339561082,1,1,1,1,1,1,1,1,1,0.339561082,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.667517964,0.582078277,0.607827229,0.308626546,0.735769694,0.684141191,0.728117715,0.530834181
28,0.340009447,1,1,1,1,1,1,1,1,1,0.340009447,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.665931623,0.591398322,0.612115793,0.249479764,0.705145462,0.662993499,0.707609373,0.460292067
29,0.340523702,1,1,1,1,1,1,1,1,1,0.340523702,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.655102111,0.581449865,0.603968349,0.215870217,0.666357508,0.645463225,0.694216188,0.401718353
30,0.341008681,1,1,1,1,1,1,1,1,1,0.341008681,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.651390034,0.572989355,0.585414131,0.204761514,0.624767806,0.616610692,0.686301486,0.358598842
31,0.341486016,1,1,1,1,1,1,1,1,1,0.341486016,0.006440407,1,1,1,1,1,0.003284911,0.031389102,0.006187665,0,0,0.006137172,0.005638953,0.001494987,0.6451162,0.586115658,0.567705092,0.20385766,0.573862105,0.580569557,0.680739618,0.322958232
32,0.342004113,1,1,1,1,1,1,1,1,1,0.342004113,0.149154331,1,1,1,1,1,0.227743149,0.25602904,0.101603058,0.175617154,0.189898435,0.064694895,0.055885379,0.168627204,0.634083157,0.584580745,0.560274781,0.212350247,0.525797237,0.553950134,0.683775558,0.300070555
33,0.342489092,1,1,1,1,1,1,1,1,1,0.342489092,0.413698373,1,1,1,1,1,0.636988466,0.407009441,0.224245432,0.642224643,0.6827992,0.127707599,0.130040747,0.599121336,0.506976462,0.4603178,0.508872156,0.164291746,0.376538251,0.526169871,0.67527002,0.214917641
34,0.342966733,1,1,1,1,1,1,1,1,1,0.342966733,0.475943289,1,1,1,1,1,0.690796812,0.446797239,0.284808932,0.716991189,0.774053342,0.159562518,0.192694999,0.704251581,0.388756835,0.392435166,0.4257502,0.129675854,0.223537389,0.517827808,0.637896481,0.157193518
35,0.343450414,1,1,1,1,1,1,1,1,1,0.343450414,0.46406116,1,1,1,1,1,0.650108339,0.411716597,0.337169941,0.643738292,0.725720736,0.188590449,0.234754333,0.657599175,0.383616784,0.432126263,0.402420901,0.125039516,0.215017765,0.508808935,0.577239736,0.15038569
36,0.34392775,1,1,1,1,1,1,1,1,1,0.34392775,0.450191748,1,1,1,1,1,0.635289371,0.371926764,0.368069157,0.589149394,0.678253765,0.205670749,0.248762826,0.615713369,0.424055715,0.464018263,0.404715163,0.148302586,0.229148884,0.495189591,0.532799819,0.164148195
37,0.344445846,1,1,1,1,1,1,1,1,1,0.344445846,0.466099713,1,1,1,1,1,0.659586123,0.374794421,0.418835043,0.603902559,0.66933555,0.199243094,0.303493637,0.630865169,0.475593475,0.505251206,0.445891878,0.176061686,0.225482053,0.485926374,0.51275652,0.184588238
38,0.344930825,1,1,1,1,1,1,1,1,1,0.344930825,0.510969307,1,1,1,1,1,0.713687863,0.343773827,0.500733031,0.673169449,0.698734239,0.208595252,0.419277052,0.695013511,0.515280694,0.525265456,0.503684196,0.203424535,0.213594959,0.473324264,0.514174232,0.196420591
39,0.34540816,1,1,1,1,1,1,1,1,1,0.34540816,0.552502965,1,1,1,1,1,0.754081222,0.252524924,0.573757551,0.725254757,0.738900426,0.271441107,0.48939303,0.752880915,0.528894703,0.52408415,0.548481957,0.206239433,0.197085237,0.469393179,0.538075787,0.196653083
40,0.345893445,1,1,1,1,1,1,1,1,1,0.345893445,0.410378608,1,1,1,1,1,0.61008853,0.154420235,0.439822119,0.469385624,0.662893412,0.177100068,0.302358209,0.563097095,0.525684865,0.510035443,0.577427228,0.20741895,0.176209342,0.478458085,0.538383308,0.182044683
41,0.346378424,1,1,1,1,1,1,1,1,1,0.346378424,0.076280424,1,1,1,1,1,0.136895837,0.023219038,0.063542067,0.055381234,0.231276682,0.008375186,0.022922527,0.100526615,0.469826676,0.48309905,0.595171439,0.214795264,0.145888656,0.527527736,0.625543083,0.166328005
42,0.346888571,1,1,1,1,1,1,1,1,1,0.346888571,0.00E+00,1,1,1,1,1,0,0,0,0,0,0,0,0,0.635935171,0.528997556,0.711762336,0.261908035,0.225566122,0.5778516,0.729202003,0.216439754
43,0.347372558,1,1,1,1,1,1,1,1,1,0.347372558,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.687289723,0.541491064,0.756501863,0.256311514,0.271819969,0.636365745,0.766951887,0.213971417
44,0.347849894,1,1,1,1,1,1,1,1,1,0.347849894,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.696388657,0.549708862,0.775757428,0.235221819,0.284257038,0.686747959,0.778677139,0.187987671
45,0.348335178,1,1,1,1,1,1,1,1,1,0.348335178,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.692391764,0.56913446,0.782356047,0.20620932,0.276162505,0.724853758,0.771761577,0.151304742
46,0.348820157,1,1,1,1,1,1,1,1,1,0.348820157,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.670956938,0.601099334,0.780286467,0.160406053,0.258585597,0.744091499,0.772412591,0.128540867
47,0.349330304,1,1,1,1,1,1,1,1,1,0.349330304,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.650414916,0.612300332,0.768715265,0.132943576,0.241822779,0.759994287,0.766940687,0.099527606
48,0.349815589,1,1,1,1,1,1,1,1,1,0.349815589,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.621077667,0.619189203,0.75427518,0.121852417,0.230781142,0.758730478,0.761161251,0.089937048
49,0.350329538,1,1,1,1,1,1,1,1,1,0.350329538,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.593190139,0.626698508,0.742662369,0.127775422,0.224131699,0.754426082,0.75668801,0.080636266
50,0.350777903,1,1,1,1,1,1,1,1,1,0.350777903,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.560617238,0.617900792,0.735566395,0.147453471,0.222436127,0.741461139,0.750090492,0.073490878
