Time_Index,None,MIDAT_reference_naturalgas,NE_reference_naturalgas,NE_reference_uranium,SE_reference_naturalgas,SE_reference_uranium,MIDAT_reference_uranium
111,0,4.01,4.93,0.82,4.12,0.82,0.82
112,0,4.01,4.93,0.82,4.12,0.82,0.82
113,0,4.01,4.93,0.82,4.12,0.82,0.82
114,0,4.01,4.93,0.82,4.12,0.82,0.82
115,0,4.01,4.93,0.82,4.12,0.82,0.82
116,0,4.01,4.93,0.82,4.12,0.82,0.82
117,0,4.01,4.93,0.82,4.12,0.82,0.82
118,0,4.01,4.93,0.82,4.12,0.82,0.82
119,0,4.01,4.93,0.82,4.12,0.82,0.82
120,0,4.01,4.93,0.82,4.12,0.82,0.82
121,0,4.01,4.93,0.82,4.12,0.82,0.82
122,0,4.01,4.93,0.82,4.12,0.82,0.82
123,0,4.01,4.93,0.82,4.12,0.82,0.82
124,0,4.01,4.93,0.82,4.12,0.82,0.82
125,0,4.01,4.93,0.82,4.12,0.82,0.82
126,0,4.01,4.93,0.82,4.12,0.82,0.82
127,0,4.01,4.93,0.82,4.12,0.82,0.82
128,0,4.01,4.93,0.82,4.12,0.82,0.82
129,0,4.01,4.93,0.82,4.12,0.82,0.82
130,0,4.01,4.93,0.82,4.12,0.82,0.82
131,0,4.01,4.93,0.82,4.12,0.82,0.82
132,0,4.01,4.93,0.82,4.12,0.82,0.82
133,0,4.01,4.93,0.82,4.12,0.82,0.82
134,0,4.01,4.93,0.82,4.12,0.82,0.82
135,0,4.01,4.93,0.82,4.12,0.82,0.82
136,0,4.01,4.93,0.82,4.12,0.82,0.82
137,0,4.01,4.93,0.82,4.12,0.82,0.82
138,0,4.01,4.93,0.82,4.12,0.82,0.82
139,0,4.01,4.93,0.82,4.12,0.82,0.82
140,0,4.01,4.93,0.82,4.12,0.82,0.82
141,0,4.01,4.93,0.82,4.12,0.82,0.82
142,0,4.01,4.93,0.82,4.12,0.82,0.82
143,0,4.01,4.93,0.82,4.12,0.82,0.82
144,0,4.01,4.93,0.82,4.12,0.82,0.82
145,0,4.01,4.93,0.82,4.12,0.82,0.82
146,0,4.01,4.93,0.82,4.12,0.82,0.82
147,0,4.01,4.93,0.82,4.12,0.82,0.82
148,0,4.01,4.93,0.82,4.12,0.82,0.82
149,0,4.01,4.93,0.82,4.12,0.82,0.82
150,0,4.01,4.93,0.82,4.12,0.82,0.82
151,0,4.01,4.93,0.82,4.12,0.82,0.82
152,0,4.01,4.93,0.82,4.12,0.82,0.82
153,0,4.01,4.93,0.82,4.12,0.82,0.82
154,0,4.01,4.93,0.82,4.12,0.82,0.82
155,0,4.01,4.93,0.82,4.12,0.82,0.82
156,0,4.01,4.93,0.82,4.12,0.82,0.82
157,0,4.01,4.93,0.82,4.12,0.82,0.82
158,0,4.01,4.93,0.82,4.12,0.82,0.82
159,0,4.01,4.93,0.82,4.12,0.82,0.82
160,0,4.01,4.93,0.82,4.12,0.82,0.82
161,0,4.01,4.93,0.82,4.12,0.82,0.82
162,0,4.01,4.93,0.82,4.12,0.82,0.82
163,0,4.01,4.93,0.82,4.12,0.82,0.82
164,0,4.01,4.93,0.82,4.12,0.82,0.82
165,0,4.01,4.93,0.82,4.12,0.82,0.82
166,0,4.01,4.93,0.82,4.12,0.82,0.82
167,0,4.01,4.93,0.82,4.12,0.82,0.82
168,0,4.01,4.93,0.82,4.12,0.82,0.82
169,0,4.01,4.93,0.82,4.12,0.82,0.82
170,0,4.01,4.93,0.82,4.12,0.82,0.82
171,0,4.01,4.93,0.82,4.12,0.82,0.82
172,0,4.01,4.93,0.82,4.12,0.82,0.82
173,0,4.01,4.93,0.82,4.12,0.82,0.82
174,0,4.01,4.93,0.82,4.12,0.82,0.82
175,0,4.01,4.93,0.82,4.12,0.82,0.82
176,0,4.01,4.93,0.82,4.12,0.82,0.82
177,0,4.01,4.93,0.82,4.12,0.82,0.82
178,0,4.01,4.93,0.82,4.12,0.82,0.82
179,0,4.01,4.93,0.82,4.12,0.82,0.82
180,0,4.01,4.93,0.82,4.12,0.82,0.82
181,0,4.01,4.93,0.82,4.12,0.82,0.82
182,0,4.01,4.93,0.82,4.12,0.82,0.82
183,0,4.01,4.93,0.82,4.12,0.82,0.82
184,0,4.01,4.93,0.82,4.12,0.82,0.82
185,0,4.01,4.93,0.82,4.12,0.82,0.82
186,0,4.01,4.93,0.82,4.12,0.82,0.82
187,0,4.01,4.93,0.82,4.12,0.82,0.82
188,0,4.01,4.93,0.82,4.12,0.82,0.82
189,0,4.01,4.93,0.82,4.12,0.82,0.82
190,0,4.01,4.93,0.82,4.12,0.82,0.82
191,0,4.01,4.93,0.82,4.12,0.82,0.82
192,0,4.01,4.93,0.82,4.12,0.82,0.82
193,0,4.01,4.93,0.82,4.12,0.82,0.82
194,0,4.01,4.93,0.82,4.12,0.82,0.82
195,0,4.01,4.93,0.82,4.12,0.82,0.82
196,0,4.01,4.93,0.82,4.12,0.82,0.82
197,0,4.01,4.93,0.82,4.12,0.82,0.82
198,0,4.01,4.93,0.82,4.12,0.82,0.82
199,0,4.01,4.93,0.82,4.12,0.82,0.82
200,0,4.01,4.93,0.82,4.12,0.82,0.82
201,0,4.01,4.93,0.82,4.12,0.82,0.82
202,0,4.01,4.93,0.82,4.12,0.82,0.82
203,0,4.01,4.93,0.82,4.12,0.82,0.82
204,0,4.01,4.93,0.82,4.12,0.82,0.82
205,0,4.01,4.93,0.82,4.12,0.82,0.82
206,0,4.01,4.93,0.82,4.12,0.82,0.82
207,0,4.01,4.93,0.82,4.12,0.82,0.82
208,0,4.01,4.93,0.82,4.12,0.82,0.82
209,0,4.01,4.93,0.82,4.12,0.82,0.82
210,0,4.01,4.93,0.82,4.12,0.82,0.82
211,0,4.01,4.93,0.82,4.12,0.82,0.82
212,0,4.01,4.93,0.82,4.12,0.82,0.82
213,0,4.01,4.93,0.82,4.12,0.82,0.82
