Time_Index,Price_mmbtu_global,Price_mmbtu_z1,Price_mmbtu_z2,Price_mmbtu_z3
1,28.53,28.53,28.53,28.53
2,28.53,28.53,28.53,28.53
3,28.53,28.53,28.53,28.53
4,28.53,28.53,28.53,28.53
5,28.53,28.53,28.53,28.53
6,28.53,28.53,28.53,28.53
7,28.53,28.53,28.53,28.53
8,28.53,28.53,28.53,28.53
9,28.53,28.53,28.53,28.53
10,28.53,28.53,28.53,28.53
11,28.53,28.53,28.53,28.53
12,28.53,28.53,28.53,28.53
13,28.53,28.53,28.53,28.53
14,28.53,28.53,28.53,28.53
15,28.53,28.53,28.53,28.53
16,28.53,28.53,28.53,28.53
17,28.53,28.53,28.53,28.53
18,28.53,28.53,28.53,28.53
19,28.53,28.53,28.53,28.53
20,28.53,28.53,28.53,28.53
21,28.53,28.53,28.53,28.53
22,28.53,28.53,28.53,28.53
23,28.53,28.53,28.53,28.53
24,28.53,28.53,28.53,28.53
25,28.53,28.53,28.53,28.53
26,28.53,28.53,28.53,28.53
27,28.53,28.53,28.53,28.53
28,28.53,28.53,28.53,28.53
29,28.53,28.53,28.53,28.53
30,28.53,28.53,28.53,28.53
31,28.53,28.53,28.53,28.53
32,28.53,28.53,28.53,28.53
33,28.53,28.53,28.53,28.53
34,28.53,28.53,28.53,28.53
35,28.53,28.53,28.53,28.53
36,28.53,28.53,28.53,28.53
37,28.53,28.53,28.53,28.53
38,28.53,28.53,28.53,28.53
39,28.53,28.53,28.53,28.53
40,28.53,28.53,28.53,28.53
41,28.53,28.53,28.53,28.53
42,28.53,28.53,28.53,28.53
43,28.53,28.53,28.53,28.53
44,28.53,28.53,28.53,28.53
45,28.53,28.53,28.53,28.53
46,28.53,28.53,28.53,28.53
47,28.53,28.53,28.53,28.53
48,28.53,28.53,28.53,28.53
49,28.53,28.53,28.53,28.53
50,28.53,28.53,28.53,28.53
51,28.53,28.53,28.53,28.53
52,28.53,28.53,28.53,28.53
53,28.53,28.53,28.53,28.53
54,28.53,28.53,28.53,28.53
55,28.53,28.53,28.53,28.53
56,28.53,28.53,28.53,28.53
57,28.53,28.53,28.53,28.53
58,28.53,28.53,28.53,28.53
59,28.53,28.53,28.53,28.53
60,28.53,28.53,28.53,28.53
61,28.53,28.53,28.53,28.53
62,28.53,28.53,28.53,28.53
63,28.53,28.53,28.53,28.53
64,28.53,28.53,28.53,28.53
65,28.53,28.53,28.53,28.53
66,28.53,28.53,28.53,28.53
67,28.53,28.53,28.53,28.53
68,28.53,28.53,28.53,28.53
69,28.53,28.53,28.53,28.53
70,28.53,28.53,28.53,28.53
71,28.53,28.53,28.53,28.53
72,28.53,28.53,28.53,28.53
73,28.53,28.53,28.53,28.53
74,28.53,28.53,28.53,28.53
75,28.53,28.53,28.53,28.53
76,28.53,28.53,28.53,28.53
77,28.53,28.53,28.53,28.53
78,28.53,28.53,28.53,28.53
79,28.53,28.53,28.53,28.53
80,28.53,28.53,28.53,28.53
81,28.53,28.53,28.53,28.53
82,28.53,28.53,28.53,28.53
83,28.53,28.53,28.53,28.53
84,28.53,28.53,28.53,28.53
85,28.53,28.53,28.53,28.53
86,28.53,28.53,28.53,28.53
87,28.53,28.53,28.53,28.53
88,28.53,28.53,28.53,28.53
89,28.53,28.53,28.53,28.53
90,28.53,28.53,28.53,28.53
91,28.53,28.53,28.53,28.53
92,28.53,28.53,28.53,28.53
93,28.53,28.53,28.53,28.53
94,28.53,28.53,28.53,28.53
95,28.53,28.53,28.53,28.53
96,28.53,28.53,28.53,28.53
97,28.53,28.53,28.53,28.53
98,28.53,28.53,28.53,28.53
99,28.53,28.53,28.53,28.53
100,28.53,28.53,28.53,28.53
101,28.53,28.53,28.53,28.53
102,28.53,28.53,28.53,28.53
103,28.53,28.53,28.53,28.53
104,28.53,28.53,28.53,28.53
105,28.53,28.53,28.53,28.53
106,28.53,28.53,28.53,28.53
107,28.53,28.53,28.53,28.53
108,28.53,28.53,28.53,28.53
109,28.53,28.53,28.53,28.53
110,28.53,28.53,28.53,28.53
111,28.53,28.53,28.53,28.53
112,28.53,28.53,28.53,28.53
113,28.53,28.53,28.53,28.53
114,28.53,28.53,28.53,28.53
115,28.53,28.53,28.53,28.53
116,28.53,28.53,28.53,28.53
117,28.53,28.53,28.53,28.53
118,28.53,28.53,28.53,28.53
119,28.53,28.53,28.53,28.53
120,28.53,28.53,28.53,28.53
121,28.53,28.53,28.53,28.53
122,28.53,28.53,28.53,28.53
123,28.53,28.53,28.53,28.53
124,28.53,28.53,28.53,28.53
125,28.53,28.53,28.53,28.53
126,28.53,28.53,28.53,28.53
127,28.53,28.53,28.53,28.53
128,28.53,28.53,28.53,28.53
129,28.53,28.53,28.53,28.53
130,28.53,28.53,28.53,28.53
131,28.53,28.53,28.53,28.53
132,28.53,28.53,28.53,28.53
